id redshift xray_box_car_2to10keV xray_box_car_2to10keV_err xray_box_car_0p5to2keV xray_box_car_0p5to2keV_err FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err VLA_C VLA_C_err VLA_L VLA_L_err HI21cm HI21cm_err
"3C 234.0" 0.18494 nan nan nan nan 0.10159999801544473 0.015652477 0.07938000198919326 0.007938000198919326 0.12168760283278365 0.004588063170048556 0.19911266922463255 0.003982253384492651 0.46338666991990374 0.009870157999999999 0.5747533335428064 0.01403923 0.604496665497815 0.016634980329802016 2.0773333342125015 0.61318843 nan nan 5.038461468827267 0.6604544 11.51666669199864 0.6910000015199184 14.700000000000001 0.441 25.4 0.7619999999999999 24.97916678947707 1.4987500073686242 42.7 1.2810000000000001 nan nan 160.0 28.8 115.22500169277191 6.9135001015663144 289.92499858140945 17.395499914884567 274.5 10.98 258.0 35.2 231.0 36.900000000000006 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"[VV2003c] J035734.0-053719" 0.20373 nan nan nan nan nan nan 0.029999999242136255 0.008472308 0.026066666376007356 0.0059363288 0.04456666627245593 0.0028653096 0.06335555533749154 0.0039357333 0.07691000064369291 0.005328227 0.0813222213764675 0.020337406000000002 nan nan nan nan nan nan 0.5563944441174261 0.03338366664704556 0.12849999999999998 0.003854999999999999 0.124 0.004102011701592281 0.34267083359421424 0.028033685445872796 0.10965 0.016064233564039087 0.7225 0.021675 nan nan 1.3519999940134586 0.2390570062973284 6.2909999458491805 1.726803385574954 3.7524999536946417 0.15009999814778568 nan nan nan nan nan nan 49.0 6.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"SDSS J143417.15+020742.3" 0.18029 nan nan nan nan 0.04054999953950755 0.006788961400000001 0.06442500125558581 0.006442500125558581 0.0919666660289901 0.0043451123000000005 0.13514999591279775 0.002702999918255955 0.22149999737545537 0.0057445627 0.30966666963649914 0.006193333392729983 0.27999999292660505 0.015231546 0.20300000323913991 0.004060000064782798 0.24900000425986946 0.004980000085197389 0.3020000003743917 0.0060400000074878335 0.42286666723904714 0.02537200003434283 0.34750000000000003 0.02036295656332842 0.293 0.02416795398870165 0.415666665261567 0.027876603266334725 0.47150000000000003 0.08617569262849008 1.7850000000000001 0.05913036445008605 nan nan 1.9879166630997012 0.1709181065557681 6.725833370362718 1.3754090461217854 5.56499990016222 0.2225999960064888 nan nan nan nan nan nan 76.0 6.0 nan nan nan nan nan nan nan nan 50.25000052452087 9.628213233068337 nan nan nan nan nan nan nan nan nan nan
"IRAS 11119+3257" 0.18758 nan nan nan nan nan nan 0.021899999410379678 0.0042 0.011293999887129758 0.0034785052999999995 0.10048888846843813 0.0038987177999999993 0.5089999823313621 0.010179999646627243 1.3500000350177288 0.027000000700354576 1.7322222314154108 0.057445628000000006 3.6892307062561693 0.34985711999999997 7.196153872288191 0.77955116 15.454545193775132 0.9949874000000001 33.268332938353225 1.9960999763011935 34.25 1.0274999999999999 nan nan 49.258333685000736 2.955500021100044 62.1 1.863 nan nan 166.99999785423282 19.021303845951255 103.47500069396837 6.208500041638102 293.6346103961651 17.618076623769905 nan nan 347.99999499320984 24.979441547000203 1590.0000166893005 121.98872898755853 nan nan nan nan 1519.9999904632568 119.5031380341119 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 109.2499994734923 3.523595514195159
"LEDA  166692" 0.181 nan nan nan nan 0.02769999991869554 0.009123596 0.030300000920154464 0.0062936474000000004 nan nan 0.1049999991664663 0.002099999983329326 0.3100000030826777 0.0062000000616535544 0.8580000139772892 0.017160000279545784 0.8280000183731318 0.02 2.9289999743923545 0.27856778 6.034000031650066 0.49668900000000005 15.050000417977571 0.9219545 39.0041666460534 2.3402499987632037 nan nan nan nan 67.07916709209482 4.024750025525689 nan nan nan nan 229.0000010728836 27.54183181997886 181.1704538193616 10.870227229161696 452.0999940037728 27.125999640226368 430.5 17.22 527.9999985694885 20.155644370746373 883.0000081062317 43.769966872274416 nan nan nan nan 1450.0000476837158 310.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 19.074999947845935 0.7035623806407219
"2MASS J14025120+2631175" 0.18748 0.000103 2.76e-05 0.00019500000000000002 4.6399999999999996e-05 0.134333332728905 0.03518522 0.22516666649607942 0.025690466000000002 0.4875769395417032 0.01302881403345865 0.5811538430862129 0.015182226542945085 0.7962307650954104 0.015924615301908206 1.274374983040616 0.03316624827771825 1.1520833456112691 0.024392624015378603 2.0111764315515757 0.36674243 3.322352929150357 0.5492722999999999 5.739230626764206 0.6552862 10.132499939724804 0.6079499963834882 10.300000198185444 0.3090000059455633 12.400000356137753 0.3720000106841326 12.883333467443785 0.773000008046627 nan nan nan nan nan nan 16.23636327778751 0.9741817966672506 27.066667005668084 1.939980686230551 24.575000184774396 0.9830000073909758 nan nan nan nan nan nan 29.899999499320984 4.4 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"IRAS 13342+3932" 0.178992 nan nan nan nan nan nan nan nan 0.16308333215420134 0.004663689589829093 0.2996583357344207 0.012216383 0.6034608348954862 0.016176837 1.2101999949663877 0.0429651 1.4404624904879406 0.028809249809758814 1.8835000577382743 0.39484177000000004 3.146500082220882 0.5701754 5.3737501439172775 0.6675328 11.622940536230313 0.6973764321738187 10.95 0.32849999999999996 nan nan 15.838964323892393 0.9503378594335435 17.8 0.534 nan nan nan nan 57.49583336363236 3.4497500018179412 183.0606046571876 10.983636279431256 nan nan nan nan 1110.0 134.0 nan nan nan nan 1630.0 163.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 6.797500008810312 0.6370439838563445
"LEDA  165618" 0.20281 nan nan nan nan 0.06956666766200215 0.014213021999999999 0.03433333282979826 0.007505997499999999 0.11703124937412213 0.005045790610955879 0.17285625017393613 0.0034571250034787226 0.32749999809311703 0.006549999961862341 0.5273125061648898 0.010546250123297796 0.5540625015783007 0.012549900512553972 nan nan 2.3206250480143353 0.7184705999999998 9.99142841569015 1.0728 42.01363631134683 2.5208181786808095 52.6 1.578 80.55000000000001 2.4165 85.58181831890887 5.134909099134532 128.0 3.84 nan nan 262.0 36.7 162.2500021755695 9.73500013053417 255.38888592190213 15.323333155314128 241.0 9.64 442.4999966621399 47.312788968734445 1210.0 81.17394902307021 nan nan nan nan 713.0 143.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.756249972712248 0.3805259587781767
"[VV2003c] J135355.9+664800" 0.19827 nan nan nan nan 0.06514999950013589 0.012681481999999999 0.1082500002667075 0.01118034 0.0974083324460177 0.0057314919999999995 0.14071666373638436 0.0036441738 0.1652999987224272 0.0039268307 0.19353333239754042 0.0047413077 0.18899999849963933 0.015407142 nan nan nan nan nan nan 0.2631766695775829 0.01659533048411457 0.31266666666666665 0.038021309814365946 0.19 0.023617154782064668 0.236833334648917 0.02188499515803065 0.2965 0.07824046267756857 1.3833333333333335 0.07244984472033049 nan nan 1.697499998152877 0.1544943399175783 4.741666691824794 1.2867245829620269 11.261666599089901 0.4504666639635961 nan nan nan nan nan nan 70.0 4.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"LEDA 2149945" 0.20553 0.00011999999999999999 5.52e-06 0.000523 1.99e-05 1.268333347979933 0.1268333347979933 1.226666693886121 0.1226666693886121 1.133846152627554 0.028722812851432546 1.0247499885736033 0.077058416 0.9190000055241399 0.07566373 1.6162500008552647 0.04183300496394153 1.297374998102896 0.029107558297077778 2.027999993879348 0.37175263000000003 2.844499982893467 0.50911686 5.350625142455101 0.6667833700000001 7.800595156569923 0.46803570939419537 8.3600003272295 0.250800009816885 11.900000274181366 0.357000008225441 12.504359036187331 0.7502615421712399 nan nan nan nan nan nan 25.37916658520698 1.5227499951124188 52.45000019236044 3.4568700707321938 46.1833328684171 1.847333314736684 nan nan 201.0 66.46803743153546 58.69999900460243 5.869999900460243 112.50000140070915 7.142128534267638 nan nan 50.50000175833702 5.050000175833702 111.0 18.3 52.49999836087227 8.5 nan nan nan nan nan nan nan nan nan nan nan nan
