id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"2MASS J13000535+1632148" 0.07993 nan nan 0.024666666528598096 0.005960704 0.21484999888343737 0.016248076889447016 0.8364499924937263 0.018411953325684707 2.232700002787169 0.08780091509073495 3.4850151430212217 0.06970030286042443 5.616999889025465 0.1123399977805093 4.738888832637006 0.6480741 7.277777754805154 1.1301769 11.521249893121421 1.1670904000000002 25.551666749812043 1.5331000049887225 nan nan nan nan 41.49033305126552 2.489419983075931 nan nan nan nan nan nan 90.7500009417534 5.4450000565052035 173.89583517362672 10.433750110417604 148.0 5.92 nan nan nan nan nan nan 68.9999982714653 7.3999999999999995 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"LEDA 3095998" 0.07978 0.014199999895936344 0.0014199999895936344 0.028899999961140566 0.0028899999961140566 0.06208571383987354 0.0033637776061479505 0.1866428564036531 0.003732857128073062 0.3286428587411397 0.006572857174822794 0.45085714581156416 0.009017142916231284 0.5494285786491154 0.012093387093392197 0.7010769376602883 0.18982096 nan nan nan nan 0.5412222162750032 0.032473332976500194 0.491 0.01473 0.36025 0.0108075 0.3561111128913859 0.025943254979626667 0.353 0.010589999999999999 1.405 0.04215 nan nan 1.2049999904260038 0.20706822785264983 nan nan 2.8504167033856116 0.11401666813542446 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"LEDA  101275" 0.108 0.2119999990100041 0.022627417 0.6830000202171504 0.06830000202171504 1.6728687485283444 0.03345737497056689 2.672961743370278 0.1153357363796159 5.972411770798157 0.2548377336775558 6.317949898743791 0.47060553497534946 7.241228300654257 0.14482456601308513 13.479999965056777 1.6643318 20.700000640418793 2.5317979 43.087501311674714 3.7656342999999994 149.4305553370052 8.96583332022031 nan nan nan nan 239.02777547306482 14.34166652838389 304.0 9.12 nan nan 623.0000047683716 35.279739228061196 437.2500045150518 26.235000270903107 707.0624951124191 42.42374970674515 nan nan 857.0000128746033 52.84325879428709 651.4999859333038 56.19005694960631 nan nan nan nan nan nan 736.9999885559082 73.69999885559082 nan nan 573.0000138282776 57.30000138282776 254.0000081062317 17.78000056743622 134.0000033378601 9.38000023365021 57.100001722574234 8.6
"LEDA 1365424" 0.08292 0.014000000192027073 0.0045343136 0.030899999728717376 0.0043139307 0.18906363501710902 0.0077110310689843704 0.7141666622677196 0.017007351226530912 1.5579999999317806 0.033896901908015344 2.6196250279705664 0.18121536034608823 3.5188750456048483 0.07037750091209696 2.8137500630691648 0.64637454 3.878750081639737 0.9462558 3.9814286200063567 0.8959911 4.765624968484044 0.2859374981090426 nan nan nan nan 6.430833343102908 0.38585000058617447 nan nan nan nan nan nan 33.016667285064855 1.9810000371038912 127.23333277304965 7.633999966382979 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"LEDA   27453" 0.10212 0.2339999955438543 0.029051678 0.22600000374950469 0.02260000037495047 0.2728571416810155 0.007937254999999999 0.34428571650226203 0.011135528 0.2981249999720603 0.009433981 0.49271428308981874 0.01161895 0.3598571430692183 0.01979899 nan nan nan nan nan nan 0.41878333524179956 0.025127000114507973 0.4105 0.012315 0.422 0.01266 0.3956999984486028 0.02395469720292937 0.41850000000000004 0.014238033572091337 1.49 0.0447 nan nan 3.1145833335568502 0.19700379936806553 21.058333231260377 1.752440333685846 20.99999977350235 0.839999990940094 nan nan nan nan nan nan 123.0 5.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"Mrk  877" 0.112 1.466666697524488 0.1466666697524488 1.9566666645308337 0.1956666664530834 2.5792857133118168 0.06999999999999999 2.78178569195526 0.16507575025304716 2.6060714985110933 0.05522680559589157 4.051785724836269 0.2478911047933929 2.785714293297912 0.07280110000000001 4.128571516568107 0.55253954 4.031818148426034 0.45188496 7.284545424309644 0.5406477999999999 27.820833365557096 2.9552979028047663 nan nan nan nan 23.7833331513529 1.426999989081174 nan nan nan nan 65.0 13.0 35.161905102076986 2.1097143061246193 53.98571413542543 3.239142848125526 49.92500019967556 1.9970000079870225 71.0 17.0 nan nan 35.50000116229057 3.5500001162290573 49.4999997317791 5.3 nan nan 32.099999487400055 3.2099999487400055 nan nan nan nan nan nan nan nan nan nan
"Mrk 1383" 0.086 nan nan nan nan 5.552499991608784 0.11104999983217567 5.562500096857548 0.13527749839799014 5.787500087171793 0.15116216115402029 9.979374794056639 0.4690415482165413 7.9393751511815935 0.15878750302363187 10.436875221785158 1.628527 15.313124691601843 2.1377793 23.689285585922853 2.5357640999999997 28.86166652912895 1.731699991747737 nan nan nan nan 38.07878786740881 2.284727272044529 nan nan nan nan nan nan 89.11250086352229 5.346750051811337 196.72222088442908 11.803333253065745 183.5 7.34 189.5 52.49847616836131 290.6666666666667 76.46463234724928 296.999990940094 29.6999990940094 301.9999861717224 12.079999446868896 nan nan 344.0000116825104 34.40000116825104 298.99999499320984 32.0 347.9999899864197 34.79999899864197 149.99999850988388 10.499999895691873 62.300002202391624 8.117419540716128 nan nan
"LEDA   50824" 0.087 1.7866666506355007 0.17866666506355008 2.556666654224197 0.2556666654224197 5.323166648546854 0.10646333297093709 5.322840482733682 0.14682387546321019 5.107854997485598 0.10920164674468208 6.633672119013076 0.22311487512548078 6.884944403686354 0.13769888807372707 7.629091004756364 0.5602677699999999 10.518181645734742 0.6633249600000001 16.918181187727235 0.9949874000000001 29.496666603783765 1.7697999962270259 nan nan nan nan 43.653030800458154 2.6191818480274893 nan nan nan nan 115.0 10.0 82.07666576902072 4.924599946141243 128.61111146873898 7.716666688124339 120.0 4.8 160.0 12.0 162.0 24.041630560342618 97.49999642372131 9.749999642372131 121.00000131130219 5.424979262633175 nan nan 116.99999868869781 11.699999868869781 82.69999940395356 11.171951485752167 135.00000536441803 13.500000536441803 76.89999788999557 11.0 41.29999876022339 8.200000000000001 nan nan
"2MASX J14305363+3458364" 0.0839 nan nan 0.03144999936921522 0.008250453999999999 0.15100000018719584 0.003605551275463989 0.5067499878350645 0.01013499975670129 0.39999998989515007 0.027999999999999997 1.1687499718391337 0.023374999436782673 1.5297499849111773 0.030594999698223546 1.7075000505428761 0.35874784 1.813333355433618 0.5343220000000001 1.670909082432362 0.4593474 1.2216428589521509 0.07329857153712904 1.2349999999999999 0.03704999999999999 1.2550000000000001 0.03765 1.202541661110978 0.07215249966665868 2.055 0.06165 6.819999999999999 0.20459999999999998 nan nan 12.881250008568168 0.7728750005140901 82.92708341976007 4.975625005185604 79.55000000000001 3.1820000000000004 126.0 20.9 280.0 39.1 nan nan 353.0 14.120000000000001 nan nan nan nan nan nan nan nan 60.30000001192093 4.221000000834465 13.500000350177288 1.3 nan nan
"2XMM J094046.2+033929" 0.0873 nan nan 0.01874999952633516 0.0054506877 0.11183333117514849 0.005700877004192797 0.504999996337574 0.01009999992675148 0.8455000206595287 0.016910000413190573 1.8359166375982263 0.036718332751964525 2.4779166415100917 0.049558332830201834 1.935555612564915 0.48672373 2.3200000222358437 0.6128621 2.2133332677185535 0.72567206 1.489777772002336 0.08938666632014015 nan nan nan nan 0.9701833306153614 0.05937922399880808 nan nan nan nan nan nan 2.088874990348704 0.36665684247639513 nan nan 3.951666685516636 0.15806666742066544 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2MASS J08105865+7602424" 0.1 nan nan nan nan nan nan 8.239999879151583 0.2554407954888961 7.585000013932586 0.15170000027865171 9.973224937311898 0.19946449874623795 8.299999870359898 0.21000000000000002 10.235714593103953 0.7483314 15.264285794858422 1.1224973 28.907691630033348 1.992486 62.82435935124372 3.769461561074623 nan nan nan nan 86.20384620657335 5.172230772394401 nan nan nan nan 165.49999999999997 32.617326683834776 126.2833348264297 7.577000089585781 208.0454560843381 12.482727365060285 188.99999999999997 19.000337703314646 209.5 31.852943349084715 nan nan 119.00000274181366 11.900000274181366 116.50000169873238 11.40175425099138 121.0 36.0 78.19999754428864 7.8199997544288635 33.0 6.6 45.00000178813934 13.0 nan nan nan nan nan nan
"PB  3894" 0.081 2.3499999660998583 0.23499999660998583 2.859999891370535 0.2859999891370535 3.6636875356634846 0.15279154345920753 4.158812492096331 0.4102514389037067 3.9655249915995228 0.27127198553031545 5.007057086290192 0.6521389337731036 4.67037501221057 0.1362295866733274 10.510370549228456 1.4998 12.579166679643095 1.9052558 20.486364141106606 1.8574174 32.386363741078156 1.9431818244646892 nan nan nan nan 50.61000032797456 3.0366000196784735 nan nan nan nan 172.0 38.0 119.89999940991402 7.193999964594841 260.9000031352043 15.654000188112258 240.5 9.620000000000001 362.0 51.0 nan nan 119.00000274181366 11.900000274181366 140.00000059604645 9.0 nan nan 84.60000157356262 8.460000157356262 nan nan 47.600001096725464 8.0 nan nan nan nan nan nan
"2XMM J135315.8+634546" 0.086 1.3699999544769526 0.13699999544769526 2.1899999119341373 0.21899999119341373 4.901428474113345 0.1009950472190159 5.098571407697385 0.24020824069261093 5.3430953495470535 0.10686190699094107 7.359523791819811 0.5565069267733166 6.425357091107538 0.12850714182215078 6.404615258081601 0.58326666 7.632307672443298 0.963068 12.123076818310299 1.0583006000000001 24.510605778567715 1.4706363467140628 nan nan nan nan 37.18333306294499 2.2309999837766994 nan nan nan nan 149.75000232458115 18.4143965418365 140.0500018298626 8.403000109791755 438.200003862381 26.292000231742858 423.66666666666663 16.946666666666665 532.7499961853027 16.829524651635293 738.3333195050557 36.53837024280092 587.0000123977661 58.70000123977661 596.4999935626984 23.859999742507934 1082.000011920929 121.79490958164058 538.9999747276306 53.89999747276306 321.0000065565109 25.85033848907979 323.0000138282776 32.30000138282776 nan nan nan nan nan nan
"2MASS J10520202+5633010" 0.12361 nan nan nan nan 0.05316666647559032 0.0055425626 0.14633333436601484 0.0032496152 0.33900000562425703 0.0067800001124851406 0.5090000001170362 0.010180000002340723 0.6496666610473767 0.017233688 0.6491250242106616 0.1601874 nan nan nan nan 0.572333339313666 0.03434000035881996 0.486 0.01458 0.372 0.01116 0.4269444412241897 0.02767499010669425 0.3735 0.011205 0.9705 0.029115 nan nan 1.5816666686721144 0.23721773525229015 5.4600000197688745 1.6445287495268213 4.782499993182719 0.19129999972730877 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2MASS J00070361+1554238" 0.11405 nan nan nan nan 0.12762500045937486 0.010099505000000002 0.31762499565957114 0.006352499913191423 0.6423749910027254 0.012847499820054509 1.2790000016268874 0.02558000003253775 1.4565000019501895 0.04060788 1.356000010855496 0.27367865999999996 2.169999945908785 0.38987180000000005 3.7411110372179084 0.5507268000000001 6.9022727220302285 0.4141363633218137 nan nan nan nan 9.789393866391796 0.5873636319835077 nan nan nan nan nan nan 25.05208312900116 1.5031249877400696 66.22142790300506 3.9732856741803038 62.999999231100084 2.5199999692440036 nan nan nan nan nan nan 263.0000114440918 10.520000457763672 nan nan nan nan 257.999986410141 51.0 nan nan nan nan nan nan nan nan
"ICRF J134733.3+121724" 0.12118 nan nan 0.04566666636189135 0.007706491 0.16482142945321918 0.011271756907912671 0.7341291529883165 0.027593385912924026 1.8331874941092487 0.08149539656599018 3.2287856717760275 0.06457571343552056 3.4793333268478617 0.06958666653695723 2.198571414088032 0.5724509000000001 2.95000006112137 0.95315266 3.926666666908811 0.8704596499999999 7.316323572540875 0.43897941435245247 8.200000000000001 0.6 13.4 0.9 13.701821550066981 0.8221092930040188 20.9 1.1 42.3 1.9 nan nan 87.80999937610079 5.268599962566047 437.3181782222607 26.23909069333564 479.0 21.0 656.5833467642466 77.89212319792821 1979.9999841054282 269.047396489461 nan nan 1950.0 186.0 1993.3333317438762 292.6798595873662 nan nan nan nan nan nan nan nan nan nan nan nan
"2MASX J14304627+3513133" 0.0839 nan nan 0.07210000330815092 0.008485282 0.16820000018924475 0.008944272 0.38240000285441056 0.009848858 0.6492000189609826 0.019519222000000003 0.21899999410379678 0.006 1.075199994374998 0.03176476 0.8991111276878251 0.27321238 nan nan nan nan 1.2738095261564566 0.0764285715693874 1.1775 0.035324999999999995 1.2100000000000002 0.036300000000000006 1.278333351852683 0.07670000111116097 1.6150000000000002 0.04845000000000001 5.755 0.17265 nan nan 6.779166679779688 0.40675000078678125 17.68333362241586 1.5256175242267385 16.95 0.6779999999999999 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 87.7000018954277 6.13900013267994 24.900000542402267 2.4 nan nan
"3C 452" 0.081086 nan nan nan nan nan nan 0.16799999866634607 0.004 0.28199999360367656 0.018000000000000002 0.5740000051446259 0.011480000102892518 0.6009999779053032 0.024 3.1449999660253525 0.5212485 3.8025000249035656 0.7998124999999999 3.3837500086519867 0.8161495 8.037500011669472 0.4822500007001683 3.31 0.0993 4.41 0.1323 8.142361120738917 0.488541667244335 6.7749999999999995 0.20325 12.05 0.3615 nan nan 24.925000019371506 1.4955000011622903 68.17499981075525 4.090499988645315 55.74999999999999 2.23 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
