                         id  redshift                    FUV                FUV_err                   NUV               NUV_err               u_prime            u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err             J_2mass          J_2mass_err             H_2mass           H_2mass_err            Ks_2mass         Ks_2mass_err                WISE1             WISE1_err                IRAC1             IRAC1_err                IRAC2             IRAC2_err                WISE2             WISE2_err               IRAC3            IRAC3_err                IRAC4            IRAC4_err               WISE3            WISE3_err               WISE4           WISE4_err               MIPS1            MIPS1_err              IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err  IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3          MIPS3_err           PACS_red       PACS_red_err             PSW_ext         PSW_ext_err 
    2MASS J00105486+0014510   0.24358                    nan                    nan  0.027875000341737177  0.008947075754443095                   nan                    nan  0.09828102604212921  0.013897920858930195    0.214048717073941   0.02678821674203351   0.3233582270073799  0.039888162636440544   0.4297024982406583    0.0933499504022517  0.5294444466320177  0.17849121988797917                 nan                   nan  1.0911111409465473   0.2529925558133171   0.8580512856537811   0.10006511539914721   0.9522499834783374   0.09941781700618851    1.027250019352883   0.10724805063328394   0.8983589696073666   0.10476575872166692  1.0105000000000002  0.13716644086656182                2.435  0.25422146349197194   3.668333372235524   0.5234626867166912   9.307424168379017   2.065328388221822   7.499999886900186   0.8077747088889529                nan                 nan                 nan                 nan               111.0  12.174152947946729    nan                 nan                 nan                 nan                 nan                nan                nan                nan                 nan                 nan 
 [VV2003c] J005439.8+155446   0.23658                    nan                    nan                   nan                   nan   0.03486000023258384   0.006488620498691069  0.05876000032003503  0.006395105621297182  0.10484999947948381   0.01115639833585908  0.14779999837628566  0.016076330427143595  0.17450000013923272  0.026124749485261122                 nan                  nan                 nan                   nan                 nan                  nan   0.4957833372199286   0.05781777579190539  0.34299999999999997  0.039873550130380915               0.3735   0.04548705859912245   0.4905499996938743   0.05720746900462716              0.4735  0.09463335828342984                1.395  0.15406524591873405  1.9926190516663094   0.3321318355720323   5.450476187911063  1.7706572257774416  4.7700000334531065   0.5137447262036415                nan                 nan                 nan                 nan                 nan                 nan    nan                 nan                 nan                 nan                 nan                nan                nan                nan                 nan                 nan 
    2MASS J15011320+2329082   0.25782                    nan                    nan                   nan                   nan  0.012957916889414871  0.0037671708849276635  0.06443181783569427  0.006668364979812946  0.23172727080898106  0.023631637513731887   0.4055454535938969  0.041357683630482346   0.6496136365140873   0.06673626303486686                 nan                  nan                 nan                   nan   2.753076985335121   0.5686777264435426    5.661562493788078    0.6602459710187736                  nan                   nan                  nan                   nan    8.628645818287817    1.0062643736818866                 nan                  nan                  nan                  nan   18.36025627694833   2.1411554225583442   49.81666647096475   5.809571715074965   47.82500029057264    5.150910169319784                nan                 nan                 nan                 nan  112.99999803304672  20.412985953913886    nan                 nan                 nan                 nan  212.99999952316284  57.11996146679962                nan                nan                 nan                 nan 
    2MASS J14294306+4747262  0.220706     0.4929999995511025    0.07303759204012274     0.477666665877526   0.06755226771775351    0.6310624903562712     0.0643559990524617   0.6095625012676464   0.06216342177436312   0.6682187577098375    0.0688869585978484   0.9252187610400142   0.09524073474375774   0.7156666678686937   0.07428181321458636  1.3100000040140003   0.3383208452928192   1.693500013789162    0.5220914604748854  2.7093750541098416   0.5493697710993086    3.657395825566103   0.42652198238567923    3.809999907389283    0.3977756683206493    5.229999776929617      0.54602800712679     5.53009804403665    0.6449147133711158                 nan                  nan                  nan                  nan  13.214285591297916   1.5410372721521106   43.64487214126648   5.164656799117924  43.049999965727324    4.636626895251528               82.0  26.310454196003533   79.59999889135361   11.25713979970356  100.34999868869782  11.959984212707663    nan                 nan    64.9000033736229   9.178246496903713                 nan                nan  44.70000043511391  7.010057088853973                 nan                 nan 
                    2C 1883      0.22    0.03593333409905123   0.009328561163482255   0.05920000088129503  0.009335759071658742   0.15250000069499947   0.016600075394784156  0.25800000366871245  0.026310941064275496   0.4327500064391643   0.04413201454681404    0.618500002019573    0.0630748715890996   0.6670000002486631    0.0712382615096499  0.7027777739697032   0.1623390389059505  0.9954444895912377    0.2577558772791971  1.7044444232144291  0.29436594218466866   1.7380833250461147   0.20269360515153326                  nan                   nan                  nan                   nan    2.053692330969641   0.23949962377393377                 nan                  nan                  nan                  nan   7.629363690197467   0.8897290533164172  49.555000135004526  5.9409094942218434  51.233334039648376   5.5179989484496135  620.7499885559082   90.88627774819255                 nan                 nan               512.0   55.14408762505733  748.5  229.25863669663573                 nan                 nan               490.0  52.77461510991814                nan                nan                 nan                 nan 
 [VV2003c] J082001.7+505039    0.2174                    nan                    nan   0.03047500058528385  0.007717982529822901  0.050120000378228724  0.0065513466821834985  0.07992000173544511  0.008253003493141845   0.1205600012326613  0.012294755976882203  0.13299999991431832  0.014031749718926102  0.12285999982850626   0.01871859509939073                 nan                  nan                 nan                   nan                 nan                  nan   0.1472916690864173  0.019740458948827328  0.16899999999999998  0.017644118000058828  0.34900000000000003  0.036436669716097825  0.31268749806284907   0.04384050294366107               0.794  0.08289603368074978                 2.35  0.24534720295939794   2.294166682058324  0.32836909263189074  11.613333215614158  2.1668493286561423  12.649999838322401   1.3624466787918192                nan                 nan                 nan                 nan                68.0   8.440379138403678    nan                 nan                 nan                 nan                 nan                nan                nan                nan                 nan                 nan 
   SDSS J231812.99-004126.1   0.25167    0.06277500142459758   0.016112635610421012   0.07682499926886521  0.013781538728962466   0.09542526257327584   0.017555360183491176  0.13482414485734784  0.014919440255852501  0.18274634252210067  0.021305921094300767  0.18121219419277268   0.02193715074771397  0.20857619041895045   0.04806891085882827  0.1017500017042039  0.01469321709048277  0.2500000118743628  0.026925825138179434  0.2880000101868063  0.03396233293924322   0.3736666713016898   0.04357664770134249  0.38075000053085384   0.03975146708809969    0.845500005889684   0.08827279214773977   0.8784090884920548    0.1024392227798416                1.59  0.18003321915691006                3.925   0.4097820304747391  3.6300000383953255  0.48694481292302544  12.550000172191197  2.4390725785060168  13.625000005215407   1.4674574105058689                nan                 nan                 nan                 nan                65.0   7.632168761236874    nan                 nan                 nan                 nan                 nan                nan                nan                nan                 nan                 nan 
    2MASS J10272497+1219196   0.23087  0.0047399998948094435  0.0011977796082869067                   nan                   nan   0.03198181812794328   0.007242814975868889  0.13263636157551612  0.015934994398525262  0.35495454556605016   0.03896058666549636   0.6347272693264214   0.06804988647969297   0.7205714244351146   0.08132792728679814   1.171176417675965   0.2022783734258595  1.7823529470821515    0.3049062503431504  3.2412500586360693  0.48441409911983696    5.608333316668868    0.6540384355950873    6.060000043362379    0.6326825789671446    9.150000289082527    0.9552880757464172    9.686904780275764    1.1296775156746994                 nan                  nan                  nan                  nan  27.025000041226544    3.151629503971685   85.65000012665988   9.988420610640953   82.92500137984753    8.931295981246702                nan                 nan                 nan                 nan   99.50000047683716   13.89577277264226    nan                 nan                 nan                 nan                 nan                nan                nan                nan                 nan                 nan 
 [VV2003c] J124819.8+662143      0.26                    nan                    nan   0.03559999944021305  0.007947552995433496   0.05059999966761097   0.005486674758273764   0.0716499998816289   0.00730689495090693  0.09979999958886765   0.01017764290720376  0.09504999979981221  0.009959167853054327  0.12400000196066685   0.01434433700552103                 nan                  nan                 nan                   nan                 nan                  nan  0.17450000031758098   0.02150804034366599               0.1235  0.022951742853212692                0.134   0.02715382109390868     0.16133333352375  0.024333044433317172               0.298  0.07864782260177328  0.39099999999999996  0.06088300255407908  0.5887500007520431   0.1755178482600995                 nan                 nan  2.2175000343099236  0.23883206289170714                nan                 nan                 nan                 nan                 nan                 nan    nan                 nan                 nan                 nan                 nan                nan                nan                nan                 nan                 nan 
                PG 0953+414    0.2341                    nan                    nan                   nan                   nan     3.734375030035153    0.38083302298445776   3.7584834230478417    0.3887638567796069    3.778750024240354    0.3932109106443224    4.457399993700367    0.4735076609855725   3.9556250267196447   0.40339618399398897  3.3192308261417427   0.4758917538164598   4.250769431774433    0.6067045354939417   6.563636389645663   0.8487715973854268   18.055555751257472    2.1056215404055947                  nan                   nan                  nan                   nan    23.57222241279152     2.748969898871631                 nan                  nan                  nan                  nan  28.594444254371858    3.334656578141558   48.16666700310177  5.7320462264928596   42.49166646401087    4.576492536769775                nan                 nan   35.30000150203705   4.992174087597142  28.750000908970833   6.852346351627173    nan                 nan  32.099999487400055   5.446475894641492                 nan                nan  52.49999836087227  9.990620515209049                 nan                 nan 
