                       id             redshift                   FUV               FUV_err                   NUV               NUV_err               u_prime           u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err              J_2mass          J_2mass_err              H_2mass           H_2mass_err            Ks_2mass         Ks_2mass_err                WISE1            WISE1_err                IRAC1            IRAC1_err               IRAC2            IRAC2_err               WISE2            WISE2_err                IRAC3            IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3           WISE3_err               WISE4           WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err            PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err            PLW_ext         PLW_ext_err 
    2XMM J094506.4+035552              0.15591  0.019100000524000887  0.006190969202113158   0.03733333384540553  0.006587698922674638   0.09710833213224154  0.011052727362485588  0.21363333386640687  0.021786410762773822  0.43824999859983416   0.04469290589385131   0.5874166599824093  0.059904980237196065    0.685916672712968   0.07354465834277354                  nan                  nan                  nan                   nan                 nan                  nan   0.8288166603238011  0.09665580151988845                  nan                  nan                 nan                  nan  1.0784666585053009  0.12576974411877928                  nan                  nan                 nan                  nan                 nan                 nan   5.414444412150316  0.6481044190394278   19.11874994598329   2.886354297794235  17.683333455522856  1.9045532999501174                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
                 Mrk 1014              0.16349    0.8897499938029796    0.1258296508357551    1.1000000328446429   0.15556349650597442    1.6947767788743866   0.18404532763487305   1.8102898580052524   0.19524726473472764   2.1580855745186622    0.2362696202364076   2.7203004415241594   0.33930939497357954   2.7809684670337287    0.3024282667780661    4.149583342950791    1.110491124486327   6.4154166805868345    1.7290100326231534  11.231999844312668    2.040215180551855   14.204588224169086   1.6565254124243196   18.766667122642197   2.0005710712058185  22.666666666666668   2.5462557391349714   20.34512499543489   2.3726289028599115                 28.2   2.9441664355127752                46.4    4.844302220134495                 nan                 nan   85.76166597604751   10.00144297456248   454.0916633605957    52.9557328981184   232.5000036507845  25.041016746376965   578.4999935626985    130.581856689384   2328.333290417989   321.6342792904646   2369.999885559082   335.1685980980337                 nan                 nan    2211.66664759318  309.12933151152214  2089.9999141693115   295.5706223976845                 nan                 nan  1289.9999618530273  182.43354415133265  472.9999899864197   57.73700684010716  180.99999924500784  24.670021821511316                nan                 nan 
             LEDA 2816291              0.14671   0.07060000098135788   0.01149667741157564   0.09657499867898878  0.013657767291798966    0.1380999989454391  0.014690765675114736    0.200218181403629  0.020418328279063286  0.25899999540838925   0.02832904820082596   0.3607545411961672   0.03678988890352937  0.34403181242933817   0.03703824216574533                  nan                  nan   0.5508750255103223   0.17979052051321864                 nan                  nan   0.5617769140088931  0.06551388322441001                0.655  0.06937650899259779  0.9974999999999999  0.10414205742638273   1.044791680163568  0.12184260054336724                 2.75  0.29337234020950237  11.950000000000001   1.2476166278148109                 nan                 nan  10.637500150832865  1.2405350332183214   39.58472273217307   4.616332280441808  44.325000384449964   4.773948642931266                 nan                 nan               480.0   74.97839688870388                 nan                 nan               477.0   51.37447226006317                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
  2MASS J13234951+6541480               0.1678                   nan                   nan                   nan                   nan    1.2164286038439187   0.12405186375785138   1.2625000381376594    0.1287502466075112   1.4757142593485437   0.15281467800855397   1.8973214277398907   0.24964631898327164     1.56571427803664   0.15967215312839333    1.875384639088924   0.3709052108629736    2.661538471539433    0.5440017133425282   4.898333301146825    0.719747676428934    7.600384548117335   0.8863495336479543    7.969999685883522   0.8320923959654477  10.700000450015068   1.1171128434363813  11.211666522050898    1.307493763022526                  nan                  nan                 nan                  nan                 nan                 nan  21.523333504547676  2.5100304456345923    46.7555558025837   5.452587934032413   44.18333321114382  4.7586906214109765                 nan                 nan                 nan                 nan   83.89999717473984  11.865251388758145  131.50000298023224  14.770663757530022               100.0   34.48187929913333   78.10000330209732  11.045008389120953                92.3   19.08095647497787   67.00000166893005  13.743725922629798                nan                 nan                 nan                 nan                nan                 nan 
             LEDA    3237                0.155    1.5680000185966492   0.22174868921006466    1.4379999600350857   0.20336390461735868    2.4324999831151217    0.2480672976143625   2.1187499951338395   0.22285873345247176   2.3457143189651624   0.24191683871294792    4.055000026710331   0.41353048527630487    3.216875033103861   0.32805817133172044    4.453333172326286    0.634918713320957    5.719166753503184    0.8302943245673317   8.620000133911768   1.0592185699555308    11.81515168339917   1.3778716219240206   12.299999594688416   1.2841576582802259  15.799999237060547   1.6495683487546495   16.57121198412144   1.9325187983739214                  nan                  nan                 nan                  nan                 nan                 nan   35.55000056475401   4.145806863096078   79.16833438177903   9.232534987503616   68.26666659116745   7.352545008542796                 nan                 nan                93.0  27.101475974566405   72.70000129938126   10.28133278221266    79.0999982535839  10.109060155977398               163.0  56.406471259953854  111.00000143051147  15.697770744646228   65.10000000000001  15.439562817644806   146.9999998807907  20.788939350025757  80.20000159740448  13.613243645885312   41.29999876022339  10.450688923508562                nan                 nan 
                 Mrk  817              0.15838     4.629999864846468    0.6547808602651473      5.30666671693325    0.7504760042080909      4.56333320794834     0.465370501487091    8.640833069673844    0.9170005287232688    11.42749993596226    1.1826992634430729   13.064999948255718    1.3418894277650266   17.480000481009483    1.7826172710055723    20.22941174971707    3.465875330778081   24.253333111604054     4.467912276479257   32.88571470017944    4.751284035101676     64.2151513742678    7.488709171671293                 64.4    7.661338003247215   74.89999999999999    8.912294878424973   83.54393878380456      9.7428137630853                104.0    11.87887200032057               188.0   20.040049900137475  343.75000244379044   40.44617595414702  254.83333145909842   29.71841793882341   886.5000040796067  103.38277757136699               895.5   96.44830169577898  1189.9999964237213  128.28312394260536  2212.4999737739563  242.93483304390253  2160.0000858306885   305.4701416108809                 nan                 nan   2314.999988079071   264.0023666059899                 nan                 nan                 nan                 nan  1710.0000381469727  241.83052456059588  560.9999895095825   68.47877572374743  244.00000274181366  29.783996037071244  79.00000363588333  10.602358499159317 
  2MASX J18334627+4727027             0.160705                   nan                   nan                   nan                   nan                   nan                   nan  0.08099999831756577  0.008260411440445013  0.20599999697878957   0.02175683771949897   0.2809999859891832   0.03055503103024462   0.3260000084992498   0.03334306607699882   1.0606000199913979  0.31505671401919044                  nan                   nan  1.6366666855497494  0.48423835382384744   2.6261111526439587  0.30625455603167334                  nan                  nan                 nan                  nan   4.611999998614191   0.5378470026189188                  nan                  nan                 nan                  nan                 nan                 nan   17.92500015366823   2.090396272222681  50.117856859309335   5.844696248387507   45.46666688422361   4.896909888052576                45.0   8.112490369793976                66.0  11.898319209031165                 nan                 nan                40.0                 5.0                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
                Ton  1565              0.18295    1.1000000328446429   0.15556349650597442    1.3666666733721893    0.1932758544726271    1.5507142940935281   0.16239503747559259   1.8632142954239888    0.2368347046598014   2.3467856808565557   0.23978955426182877    3.139285703322717    0.3689866449813008     2.54807689298804    0.2598538759896178   3.3337499771732837   0.5081721222316988   3.7612499290844426    0.6584603621131777   5.860769368994694   0.8270345616239249   10.055595263874245   1.1726738451536993   10.599999688565731   1.1066724574298261  14.800000004470348   1.5451653637854794  15.740476129487869   1.8356391822600902                  nan                  nan                 nan                  nan                 nan                 nan  39.819047887055646   4.643659054559258  111.14999875059495   12.96220591653669  108.16666568319003   11.64990642684397                 nan                 nan               147.0   48.29171771639522   78.59999686479568   11.11571815686768   65.54999970793723   9.151662396368527                 nan                 nan                 nan                 nan  45.900000000000006   12.56813828695404                 nan                 nan   66.1499984562397  14.195710743112553  38.299999199807644  12.550654028344365                nan                 nan 
            QSO B1048+342              0.16707    0.7229999852521966   0.10224763847392042    0.6819999980507419   0.09644936467817836    0.6853422861884236   0.07087150676131948   0.6094099895562977   0.06564232838543506   0.6920733473331591    0.0706938129084722   0.7108363497536629   0.08473124119845771   0.8842281437182464   0.09181565268830497    1.356499979738146   0.3755008966043954   1.6825000115204602    0.5198154075020799   2.574666620542606     0.58419955472189   3.5506943955694115    0.414078564277241                  nan                  nan                 nan                  nan   5.360882401872317   0.6251809479848042                  nan                  nan                 nan                  nan                 nan                 nan  12.833333313216768  1.4966109839976527  26.196969854651073  3.6036491912152298  24.541667050123213    2.64321843413472                 nan                 nan                 nan                 nan  30.400000512599945   4.486825192902078   62.60000169277191  11.797779541903234                 nan                 nan   45.69999873638153   6.462955801342407  133.00000131130219   22.38057200984961   79.09999787807465  12.516313220877551                nan                 nan                 nan                 nan                nan                 nan 
   2MASSI J0918486+211717              0.14903                   nan                   nan                   nan                   nan  0.042071317005820674  0.005475852167360972   0.1863875011319275   0.01955642879788421   0.4751708371031782    0.0485193080484371   0.7762400010202934   0.09166212695515173   1.0870071999569948   0.11389634088233688    1.871500030392781   0.3254614018735454    3.338999906554818    0.5460670291227382   6.245555692455834   0.8557275871623188   11.510000030696391   1.3422851297731717    12.09999993443489   1.2632770807329783  15.699999406933784   1.6391280599810256  16.486666621764503     1.92265919955721                  nan                  nan                 nan                  nan                 nan                 nan   35.18095275965475   4.102768863127437   94.37692263080524  11.006145916875242   92.96666640837988  10.012816403580416                 nan                 nan               260.0   46.87216658103186                 nan                 nan  204.99999821186066  23.264780090699947                 nan                 nan                 nan                 nan  181.99999630451202   37.68607151917568                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
  2MASX J08584172+1041223              0.14803                   nan                   nan  0.023799999326001853  0.006172876084216189   0.11256999932811595  0.015512254900693492  0.38709090916778555   0.04107789782564955    0.748428565982197   0.07632503724946975   1.4365000194326665   0.14649483260727164   1.8149999906943943    0.1887094319924801   1.7460000235587358  0.43241782747634255   2.7506666723638773    0.7743136616203773    4.38615378852074   0.7545087729595799     7.66075004927814    0.893389300315492    9.174999999999999   0.9578981221925429  11.799999999999999   1.2319561680514448   11.10138886330856   1.2946332885584715                 15.0   1.5660459763365826  35.949999999999996   3.7532901899533426  104.99999672174454  28.040149662861353   36.63750011324883   4.272630014154863  104.62083325137695  12.200780917748213                 nan                 nan  192.00000083446503  28.136142294286643   1142.500010728836   135.7522228940462                 nan                 nan                 nan                 nan  1947.5000262260437   275.8288659387788                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
             LEDA   70560                0.173  0.040800001443130895  0.010838191514115757   0.04610000178217888  0.007575097570041632    0.1731428596290893  0.020513032403947133  0.33142857708818546    0.0361102342431871   0.7798333317623474   0.07952770752012571   1.4509999891743064   0.14797354518045416   2.0892857324465046   0.21515610298869256   2.5553333573043346    0.573146815206682     5.97866674264272    1.0992927440892992  14.930769228018246   2.0758801457645686    36.75096173813711    4.285861799687554   46.449999999999996     4.84952237338895                 nan                  nan   61.43942266267079    7.165006359862032                 89.7    9.364954938492764                 nan                  nan   197.9999994635582   32.13845045853472  158.91666663686436  18.532708768974462   416.9204558242451   48.62086243776297   425.7499940395355  45.854677690788634   425.9999995231628   53.91273036989823   1149.999988079071  128.25400471649468                 nan                 nan                 nan                 nan   833.0000021457672   147.7164176242725                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
  2MASS J10514425+3539307              0.15879                   nan                   nan                   nan                   nan   0.03553333317540819  0.006612766175477865  0.16948332874259603   0.01728397600974316   0.4635542858133184   0.04727344697943356   0.8980833481473383   0.09158689034072041   1.2461785829925376    0.1270857782420071   1.0046363406052645  0.26174021560213073    1.741818194700913    0.4184964812962159   2.685000072233379  0.48476001996399726    2.979979172085101    0.347522304001383                  nan                  nan                 nan                  nan   4.490034900184536   0.5236235501830511                  nan                  nan                 nan                  nan                 nan                 nan  11.547916736422726  1.3467069395151972   34.83333362284161   4.164872304551557   32.33333338350058  3.4824065806834907                 nan                 nan                 nan                 nan                 nan                 nan  53.599998354911804   9.629620877088852                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
 SDSS J120424.54+192509.7              0.16788                   nan                   nan   0.02366666619006234  0.007432436610163644   0.05964999945717864  0.007082458910000233  0.16346666476844499  0.016670394269524626  0.18577999908302445   0.01952439708602777  0.33660000099189347   0.03432659946666031    0.544333330860051   0.05615147155405973   0.5809230765757653  0.18255607151569467   0.7635384726409729    0.2594569331392543  1.0772726858373392   0.2559397895088795    1.069642861303208   0.1247407213784738   1.2200000000000002  0.12737173940870875                2.17  0.22655465124335894  2.1926666747157775  0.25570667803396213    4.944999999999999   0.5162731568656267               22.55   2.3542891177593295  107.00000077486038   35.64393358845515   39.83846190204987     4.6459230983096   247.8295446742665  28.901643062341243   275.9999930858612  29.726108990706923    347.750002682209  63.669485266505724  1729.9999940395355  203.80444004562028                 nan                 nan                 nan                 nan  1779.9999856948855  241.34881290517657                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
             LEDA 2817285  0.16410965772722075                   nan                   nan                   nan                   nan   0.05483333249382364  0.010704061093554314  0.11124999946332537  0.011356743550428757  0.19710749870682776   0.02037654678804301  0.30730000162293436  0.032178609677613025   0.5343333250493743  0.059608061889976784                  nan                  nan                  nan                   nan                 nan                  nan   0.6690466675328401  0.07802357867581096                  nan                  nan                 nan                  nan  0.9090714224532547  0.10601503466607037                  nan                  nan                 nan                  nan                 nan                 nan  7.7940908733281224  0.9089393789285817  39.613636317849156   4.619704154985503   45.00000178813934  4.8466485190095545                 nan                 nan  1075.0000214576723  136.51831547942555                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
          IRAS 07598+6508             0.148603   0.31999999191612005   0.05084289590886032    1.9049999536946416   0.26940767708350805     5.379999910170833    0.5486544905017701    6.275833196317157    0.6400119186414913    6.497499959853789    0.6626175816972562   7.6749998455246295     0.782699479583034    6.795833352953196    0.6930417375566605    9.512857001807008   1.1969730373574634   20.650000178388186     2.526702423744894   44.55384497459118    5.025977585995325    74.15400175377727    8.945963193991803                  nan                  nan                 nan                  nan  111.62799980957061   13.017949940148132                  nan                  nan                 nan                  nan  252.49999833106995   32.68290824837813  182.17778226567637  21.245397694015207   395.0750089716166   46.07326744338144   450.3333394726117   48.50238502414529   579.0000064373016   69.62020139691182              1720.0  206.57514210358664                 nan                 nan                 nan                 nan  1800.0000023841858  220.56745019569567                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
