Idx, Name ID, ID from
10538, NGC  2685, SIMBAD
10539, NGC  3081, SIMBAD
10541, NGC  2273, SIMBAD
10542, NGC  4051, SIMBAD
10544, NGC  6221, SIMBAD
10547, NGC  4725, SIMBAD
10549, NGC  7172, SIMBAD
10550, NGC  6814, SIMBAD
10587, Mrk  705, SIMBAD
10603, ESO 263-13, SIMBAD
10606, NGC  3998, SIMBAD
10620, NGC  4941, SIMBAD
10628, NGC  4395, SIMBAD
10636, 3C 459, NED
10637, LEDA   68751, SIMBAD
10639, NGC  6300, SIMBAD
10640, ESO 103-35, SIMBAD
10653, Mrk   79, SIMBAD
10654, Mrk  573, SIMBAD
10667, NGC  5548, SIMBAD
10699, IC  486, SIMBAD
10742, IC 2560, SIMBAD
10755, NGC   424, SIMBAD
10861, LEDA   89032, SIMBAD
10907, NGC  6240, SIMBAD
10922, NGC   262, SIMBAD
10952, NGC  7679, SIMBAD
11029, NGC  7592, SIMBAD
11038, IC 5298, SIMBAD
11075, NGC  4507, SIMBAD
11076, NGC  4477, SIMBAD
11077, UGC  6728, SIMBAD
11078, NGC  7319, SIMBAD
11121, ESO   5-4, SIMBAD
11469, NGC  6951, SIMBAD
11683, NGC  1142, SIMBAD
11685, ESO 253-3, SIMBAD
11800, Mrk 1073, SIMBAD
11895, M 106, SIMBAD
11914, NGC  5252, SIMBAD
11918, ESO 339-11, SIMBAD
11919, UGC 12282, SIMBAD
11940, LEDA   90196, SIMBAD
11941, NGC  4945, SIMBAD
11962, NGC  3976, SIMBAD
11963, NGC  5273, SIMBAD
11965, NGC  5899, SIMBAD
11966, NGC  4939, SIMBAD
12024, NGC    34, SIMBAD
12025, NGC  7674, SIMBAD
12026, UGC  5101, SIMBAD
12029, UGC  7064, SIMBAD
12030, NGC  7469, SIMBAD
12102, MCG-02-08-039, SIMBAD
12120, ESO 417-6, SIMBAD
12121, NGC  1194, SIMBAD
12124, Mrk    3, SIMBAD
12182, IC 4553, SIMBAD
12183, IC 5063, SIMBAD
12322, 3C 196, SIMBAD
12417, NGC  1808, SIMBAD
12556, ESO 113-45, SIMBAD
12557, NGC  3783, SIMBAD
12592, NGC  7314, SIMBAD
12915, ICRF J054236.1+495107, SIMBAD
12943, Mrk  352, SIMBAD
13542, 3C  22.0, SIMBAD
13637, LEDA  165618, SIMBAD
14485, IRAS 11119+3257, SIMBAD
15769, 2MASS J15011320+2329082, SIMBAD
16933, NGC  3367, SIMBAD
17350, NGC  4968, SIMBAD
17385, NGC   660, SIMBAD
17418, Z  41-20, SIMBAD
17851, M  58, SIMBAD
18258, NGC  6926, SIMBAD
18261, NGC   973, SIMBAD
18542, NGC  4138, SIMBAD
18547, NGC  5395, SIMBAD
18554, NGC  7603, SIMBAD
18555, NGC  7213, SIMBAD
18557, UGC  1395, SIMBAD
18597, NGC   863, SIMBAD
18633, 2MASS J08105865+7602424, SIMBAD
18642, ICRF J052109.8+163822, SIMBAD
18645, PG 0947+396, NED
18662, ESO 121-28, SIMBAD
18684, Ton  182, SIMBAD
18686, 2MASX J14510879+2709272, SIMBAD
18704, NGC  1566, SIMBAD
18705, Mrk  704, SIMBAD
18728, 7C 1821+6419, SIMBAD
18839, NGC  4922, SIMBAD
19112, WISEA J151653.23+190048.3, NED
19327, IC 3639, SIMBAD
19332, Mrk  609, SIMBAD
19726, ESO 602-25, SIMBAD
19753, NGC  1358, SIMBAD
19756, NGC  3147, SIMBAD
19762, NGC  1056, SIMBAD
19787, ESO 511-30, SIMBAD
19864, SDSS J032845.99+011150.8, SIMBAD
20093, NGC  5643, SIMBAD
20224, SHOC 198, NED
20558, 3C 343.1, SIMBAD
20674, SBS 1626+554, NED
20882, 2MASX J08035923+2345201, SIMBAD
20907, NGC  3660, SIMBAD
21104, LEDA   24384, SIMBAD
21180, LEDA 2816291, SIMBAD
21482, WISEA J135356.02+664800.5, NED
21549, SDSS J143417.15+020742.3, SIMBAD
22145, 2MASX J22041914+0333511, SIMBAD
