Name_Id,id_from,RA,DEC,otype_txt,redshift,rvz_type,otypes,Ne_IR_info,SMB_sample
NGC  4235,SIMBAD,184.2911850951532,7.19157363632,Sy1,0.00742,z,X  |HI |Sy1|Sy1|G  |QSO|Sy1|AGN|Rad|IR |gam|X  |G  |GiG,NeII|NeIII|NeV,3772
NGC  6860,SIMBAD,302.1953630353719,-61.0999393167676,Sy1,0.015247214791507532,c,cm |Sy1|Sy1|G  |Sy1|AGN|IR |X  |G  ,NeII|NeIII|NeV,3773
Mrk  520,SIMBAD,330.1723040795791,10.552235981304,Sy1,0.027259,z,Sy2|Sy1|G  |Sy1|AGN|X  |IR |IG |G  ,NeII,3844
MCG+04-48-002,SIMBAD,307.1460874999999,25.73338333333334,Sy2,0.014810245826797951,c,AGN|GiG|Sy2|Sy2|G  |Sy2|gam|G  |X  ,NeII|NeIII|NeV,3884
ICRF J145907.5+714019,SIMBAD,224.7815963210875,71.672185392584,Sy1,0.904499,z,Bla|Bla|X  |QSO|Rad|Bz?|Rad|QSO|Sy1|IR |G  |X  |Rad|QSO|*  |UV ,NeII|NeIII|NeV,4057
2E  2503,SIMBAD,174.9876055817422,65.7970784688063,Sy1,0.652,z,X  |Rad|Rad|QSO|Sy1|UV |IR |G  |X  |Rad|*  |BH?,NeII|NeIII|NeV,4137
MCG+00-29-023,SIMBAD,170.3010875,-2.984166666666667,Sy2,0.0247,z,Sy2|G  |G  |G  |AGN|IR |*  |LIN|G  |GiG,NeII|NeIII|NeV,4143
Z 218-7,SIMBAD,200.951874,43.301183,Sy2,0.02734,z,Rad|rG |AG?|SyG|Sy2|G  |Sy2|EmG|IR |G  ,NeII|NeIII|NeV,4280
Mrk  463E,SIMBAD,209.012025,18.3719,Sy2,0.05131629180871311,v,Sy2|AGN|PoG|G  ,NeII|NeIII|NeV,4435
LEDA   27453,SIMBAD,144.5562158933197,54.473604673889,Sy2,0.10212,z,H2G|SBG|*  |G  |QSO|Sy2|AGN|G  |H2G|PoG|HII,NeIII,4593
IRAS 07598+6508,SIMBAD,121.1269346146067,64.9979974245922,Sy1,0.148603,z,X  |IR |QSO|Sy1|AGN|*  |G  ,NeII,4596
NGC  4151,SIMBAD,182.6357382282221,39.4058493687009,Sy1,0.003262,z,G  |IR |X  |AGN|SyG|Sy1|Sy1|G  |QSO|Sy1|GiP|V* |AGN|*  |Rad|X  |gam|G  |GiG,NeII|NeIII|NeV,4608
NGC  1365,SIMBAD,53.40190833333333,-36.14065833333333,Sy1,0.005475769605340908,v,HI |BiC|BiC|AGN|Sy2|Sy1|G  |Sy1|AGN|Rad|X  |IR |EmG|G  |IG |smm|GiG,NeII|NeIII|NeV,4611
2XMM J101756.8+390526,SIMBAD,154.487062351183,39.0911109858141,Sy2,0.05398,z,G  |X  |AGN|IR |G  |G  |AGN|AGN|Sy2|*  ,NeV,4656
3C  84,SIMBAD,49.9506656698585,41.5116983765094,Sy2,0.017558813971230724,c,G  |SyG|AGN|Bz?|UV |Bla|Sy2|Sy2|Bz?|G  |*  |G  |Bla|QSO|GiC|Sy1|rG |V* |AGN|X  |IR |Sy2|Rad|gam|G  |QSO|BiC|smm|GiG,NeII|NeIII|NeV,4660
ESO 141-55,SIMBAD,290.3089465854363,-58.6702726757513,Sy1,0.03710900559079442,c,AGN|Sy1|Sy1|G  |Sy1|AGN|IR |UV |X  |gam|G  ,NeII|NeIII|NeV,4674
MCG+10-17-021,SIMBAD,173.9545469154894,56.9523069553181,Sy2,0.05141,z,Rad|SyG|AGN|G  |Sy2|rG |Sy2|AGN|IR |G  ,NeII|NeIII|NeV,4686
Mrk  509,SIMBAD,311.0406267213892,-10.7235346816901,Sy1,0.03407575862939649,v,G  |AGN|Sy1|Sy1|Sy1|G  |Sy1|V* |AGN|IR |X  |G  |gam|QSO|BH?,NeII|NeIII|NeV,4689
NGC  7591,SIMBAD,349.5677846702363,6.5858641844839,SyG,0.016635768586959365,v,LIN|*  |G  |SyG|AGN|IR |G  |GiG,NeII|NeIII|NeV,4691
Mrk  493,SIMBAD,239.7900951356692,35.0298800005511,Sy1,0.03102,z,AGN|AGN|X  |QSO|*  |Sy1|G  |Rad|Sy1|AGN|IR |UV |AGN|X  |G  |GiG,NeII|NeIII|NeV,4729
Mrk 1239,SIMBAD,148.07986666666667,-1.61225,Sy1,0.019596890592891433,c,G  |Sy1|AGN|X  |IR |AGN|UV |AGN|G  ,NeII|NeIII|NeV,4730
Mrk  231,SIMBAD,194.0593087455582,56.8736773764425,Sy1,0.04146535267408228,c,G  |*  |G  |QSO|Sy1|AGN|IR |Rad|G  |Mas|X  |gam|QSO,NeII|NeIII|NeV,4733
NGC  3079,SIMBAD,150.49084758333333,55.679789666666665,Sy2,0.003766,z,X  |Sy2|Sy2|G  |Sy2|AGN|X  |IR |Rad|G  |GiG,NeII|NeIII|NeV,4741
NGC  4355,SIMBAD,186.72761666666665,-0.8776416666666668,Sy2,0.00708,z,IR |G  |G  |G  |HI |G  |Sy2|GiP|AGN|IR |*  |G  |smm|GiG,NeII,4775
IRAS 13342+3932,SIMBAD,204.1002587089348,39.2919734129709,Sy1,0.178992,z,QSO|QSO|Sy1|QSO|Rad|AGN|G  |IR ,NeII|NeIII|NeV,4799
WISEA J165939.77+183436.7,NED,254.9156941038306,18.5768838681959,Sy1,0.17078,z,IR |AGN|X  |Sy1|QSO|QSO|Sy1|AGN,NeII|NeIII|NeV,4817
Mrk  876,SIMBAD,243.4882465863319,65.7194316360182,Sy1,0.13851185963947543,v,X  |AGN|Sy1|Sy1|Sy1|UV |X  |G  |QSO|IR ,NeII|NeIII|NeV,4896
MCG+13-07-002,SIMBAD,131.1887500982981,76.88596300565371,Sy1,0.131344,z,QSO|Sy1|AGN|UV |IR |*  |X  |G  ,NeII|NeIII|NeV,4903
NGC   253,SIMBAD,11.888058333333332,-25.2888,SyG,0.0008636368125056748,v,HI |cm |AGN|G  |G  |G  |SyG|AGN|IR |Rad|EmG|X  |gam|GiG,NeII|NeIII|NeV,4919
3C 286,SIMBAD,202.7845354419433,30.509155784751947,Sy1,0.849,z,QSO|AGN|X  |Rad|QSO|QSO|QSO|QSO|QSO|QSO|Rad|Rad|IR |X  |Rad|G  |Q? |Sy1|QSO|*  |UV ,NeII|NeIII|NeV,4925
NGC  3982,SIMBAD,179.11724199999998,55.125234000000006,Sy1,0.00371,z,G  |G  |G  |HI |G  |Sy1|AGN|X  |IR |Rad|G  |GiG,NeII|NeIII|NeV,4927
