Name_Id,id_from,RA,DEC,otype_txt,redshift,rvz_type,otypes,Ne_IR_info,SMB_sample
NGC  3393,NGC  3393,162.09777214705,-25.16207990244,Sy2,0.012575037748216333,v,AGN|EmG|G  |GiC|GiG|HI |IR |Rad|Sy2|X  ,NeIII|NeV,25501
ESO 209-12,ESO 209-12,120.49155223099,-49.77844311473,Sy1,0.040324563468504604,c,AGN|G  |IR |Sy1|X  ,NeII,25663
2MASX J10181928+3722419,2MASX J10181928+3722419,154.58017544017,37.37842791621,Sy2,0.04932,z,AG?|AGN|G  |IR |Sy2,NeII|NeIII|NeV,25746
LEDA   52314,LEDA   52314,219.56734601437,-6.97240636309,Sy1,0.129,z,*  |AGN|G  |IR |QSO|Sy1|UV |X  ,NeII|NeV,25877
SDSS J032845.99+011150.8,SDSS J032845.99+011150.8,52.19169566373,1.19747617032,Sy1,0.14213,z,AGN|G  |Sy1,NeIII,25902
NGC   931,NGC   931,37.06028712677999,31.31151926759,Sy1,0.016778923723728134,v,AGN|G  |GiG|IG |IR |QSO|Rad|Sy1|X  |gam,NeII|NeIII|NeV,26174
2MASS J13234951+6541480,2MASS J13234951+6541480,200.95632601265,65.696712351,Sy1,0.1678,z,*  |AGN|BH?|IR |QSO|Sy1|UV |X  ,NeII,26403
Mrk  335,Mrk  335,1.5814051412599996,20.20294927891,Sy1,0.025418,z,*  |AGN|BH?|EmG|G  |IR |QSO|Sy1|UV |V* |X  |gam,NeII|NeIII|NeV,26464
NGC  3976,NGC  3976,178.98863947061,6.74928338703,Sy2,0.00835734557831258,v,*  |AGN|G  |HI |Sy2|X  ,NeII|NeIII|NeV,26756
Ton  951,Ton  951,131.92686900629,34.75124514314,Sy1,0.064,z,*  |AGN|G  |IR |QSO|Sy1|UV |V* |X  |blu|gam,NeV,26791
M  58,M  58,189.43165416666668,11.818088888888887,SyG,0.005073035001475601,v,AGN|G  |GiC|GiG|HI |IR |LIN|Rad|SyG|X  |smm,NeII|NeIII|NeV,26860
2dFGRS TGN336Z243,SDSS J134133.37-002432.0,205.38906752932,-0.40890027237,Sy1,0.0719,z,AGN|G  |Rad|Sy1|X  ,NeV,26871
LEDA 1487448,LEDA 1487448,159.15809327618,15.54498924457,Sy2,0.01968724266125732,v,*  |AGN|G  |IR |Sy2,NeII|NeIII|NeV,26976
NGC  4395,NGC  4395,186.45359712912,33.54686115781999,Sy2,0.0010546186507665034,v,AGN|G  |GiC|GiG|HI |HII|Sy1|Sy2|X  |gam,NeII|NeIII|NeV,26981
MCG+00-25-010,MCG+00-25-010,146.0078092381,-0.6422203757499999,Sy1,0.00502,z,*  |AGN|EmG|G  |GiP|H2G|IR |Sy1,NeII|NeIII,27157
LEDA    3237,LEDA    3237,13.717159859449996,25.42749534487,Sy1,0.155,z,BH?|G  |IR |QSO|Sy1|UV |V* |X  ,NeII,27206
NGC  6890,NGC  6890,304.57544074884,-44.80687517588,Sy2,0.008,z,*  |AGN|G  |GiG|IR |Sy2,NeII|NeIII|NeV,27350
2MASX J14254352+3345275,2MASX J14254352+3345275,216.43149554988,33.75758388485,Sy2,0.0747,z,*  |AGN|EmG|G  |IR |SBG|Sy2,NeII|NeIII,27410
LEDA    1790,LEDA    1790,7.307088520669999,13.26776327174,Sy1,0.142,z,*  |BH?|G  |IR |QSO|Rad|Sy1|UV |V* |X  ,NeII|NeIII|NeV,27436
