Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.004019999876618385 0.00011
GALEX:NUV 0.23119646641474512 0.00570000009611249 0.00011
SDSS:u' 0.3519021246126397 0.0031399999279528856 1e-05
SDSS:g' 0.48199694202385923 0.014299999922513962 0.0014
SDSS:r' 0.6246977662012919 0.03519999980926514 0.0035014283
SDSS:i' 0.7634912086792645 0.053450001403689384 0.004801042
SDSS:z' 0.9017941824088558 0.08460000157356262 0.0001
2MASS:J 1.239016606050587 0.06151100043207407 0.0072004236
2MASS:H 1.649477072902339 0.07748299925588072 0.012187736
2MASS:Ks 2.163785333814508 0.05617777672078875 0.008096913
WISE:W1 3.3500107051067163 0.05040000068644682 0.00250998
WISE:W2 4.600019302768061 0.027616666940351326 0.001183216
WISE:W3 11.559823320737253 0.029319999366998674 0.0011180341
WISE:W4 22.090668189521775 0.051340000331401826 0.0040853396
Spitzer/MIPS:24 23.674678828081813 0.038600001484155655 0.0013
"NUV (GALEX)" 0.23239725426356592 0.000873 2.7380058436752835e-05
"u (SDSS) AB" 0.3556256915776987 0.0139 0.000475
"g (SDSS) AB" 0.48275758132045093 0.0483 0.00089
"r (SDSS) AB" 0.6258715198329854 0.0879 0.00162
"W1 (WISE)" 3.3533831991051453 0.060066666666666664 0.0011817719746211619
"W2 (WISE)" 4.60510688172043 0.033299999999999996 0.0005958263169750057
"W3 (WISE)" 11.574998378378377 0.053700000000000005 0.000862423329925623
"W4 (WISE)" 22.0435630882353 0.0769 0.002795943490129942
"12 microns (IRAS)" 11.99169832 0.199 0.0338
"60 microns (IRAS)" 59.958491599999995 1.76 0.123
"100 microns (IRAS)" 99.93081933333333 6.32 0.379
