Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.014000000432133675 0.0015
SDSS:r' 0.6246977662012919 0.025599999353289604 0.0016
SDSS:i' 0.7634912086792645 0.031099999323487282 0.0027
SDSS:u 0.3519021246126397 0.006850000005215406 0.0012
SDSS:g 0.48199694202385923 0.014100000262260437 0.0015
SDSS:r 0.6246977662012919 0.025699999183416367 0.0017
SDSS:i 0.7634912086792645 0.031199999153614044 0.0027
SDSS:z 0.9017941824088558 0.014399999752640724 0.0011
2MASS:J 1.239016606050587 0.048279999475926164 0.0067320135
2MASS:H 1.649477072902338 0.06851428463345483 0.012573782
2MASS:Ks 2.163785333814508 0.08425555709335539 0.01055462
:=3.6um 3.599986286565157 0.1459999978542328 0.015
WISE:W1 3.3500107051067163 0.143966001799951 0.010392325
WISE:W2 4.600019302768061 0.19921428390911647 0.011874342
WISE:W3 11.559823320737255 0.6369166572888693 0.027184555
WISE:W4 22.09066818952177 2.0333333214124045 0.089442715
Herschel/PACS:70 69.99917297095358 3.049999952316284 0.22627416
Herschel/PACS:160 160.0002444361424 4.489999771118164 0.27
Herschel/SPIRE:250 249.99371080720482 2.859999895095825 0.24
Herschel/SPIRE:350 362.9976001356129 1.190000057220459 0.1
Herschel/SPIRE:500 516.9994274578785 0.4020000100135803 0.05
:=250um 249.99371080720482 2.859999895095825 0.24
:=350um 349.99995096608495 1.190000057220459 0.1
:=500um 499.99576043629816 0.4020000100135803 0.05
:=1.4GHz 214137.47000000003 0.045775000005960464 0.0031622779
"2-10 keV (XMM)" 0.00020675341931034483 3.3149999999999996e-06 1.0862435270232913e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 5.08e-06 3.97e-08
"W1 (WISE)" 3.3533831991051453 0.14733333333333334 0.0029617991154026633
"W2 (WISE)" 4.60510688172043 0.19499999999999998 0.00360372668219997
"W3 (WISE)" 11.574998378378377 0.6466666666666666 0.010117801144517519
"W4 (WISE)" 22.0435630882353 1.9066666666666665 0.0297872808426684
"3.6 microns (IRAC)" 3.5520433412322276 0.08199999999999999 4.533001213324347e-05
"4.5 microns (IRAC)" 4.494639550224888 0.11199999999999999 5.7569610038630624e-05
"5.8 microns (IRAC)" 5.732169369024856 0.2085 0.0001682408987137194
"12 microns (IRAS)" 11.99169832 0.84 0.0588
"25 microns (IRAS)" 24.982704833333333 2.49 0.0504
"60 microns (IRAS)" 59.958491599999995 3.26 0.195
"100 microns (IRAS)" 99.93081933333333 4.9 0.539
"24 microns (MIPS)" 23.60570535433071 1.5999999999999999 0.002225599469805832
1.4GHz 214137.47 0.0446 0.002
