Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0017799999914132059 0.00033136085
GALEX:NUV 0.23119646641474512 0.0025775000103749335 0.00012165525
SDSS:u' 0.3519021246126397 0.0034199999645352364 2.828427e-05
SDSS:g' 0.48199694202385923 0.006440000142902136 0.0009
SDSS:r' 0.6246977662012919 0.0346000005180637 0.0020049938
SDSS:i' 0.7634912086792646 0.05183333531022072 0.0029034463
2MASS:J 1.239016606050587 0.12054375256411731 0.028757608
2MASS:H 1.6494770729023385 0.11695000223283257 0.042920977
2MASS:Ks 2.163785333814508 0.10260000188524525 0.04876474
:=3.6um 3.599986286565157 0.14300000667572021 0.004
:=4.5um 4.499969349004068 0.09709999710321426 0.0031
:=5.8um 5.800039815817985 0.1289999932050705 0.012
:=8um 8.00001222180712 0.39100000262260437 0.012
WISE:W1 3.3500107051067167 0.05347999893128872 0.005439669
WISE:W2 4.600019302768061 0.035559999383986 0.0038742742
WISE:W3 11.559823320737255 0.13494999799877405 0.019231744
WISE:W4 22.09066818952177 0.2514999993145466 0.03560899
IRAS:25 23.880234028994742 0.3630000054836273 0.05656854
IRAS:60 61.84986032885642 3.200000047683716 0.3676955
IRAS:100 101.94941780588996 11.5 1.0
Spitzer/MIPS:24 23.674678828081813 0.16599999368190765 0.001
Herschel/PACS:70 69.99917297095358 5.099999904632568 0.3676955
Herschel/PACS:160 160.0002444361424 13.199999809265137 0.7
Herschel/SPIRE:250 249.99371080720482 8.319999694824219 0.58
Herschel/SPIRE:350 362.9976001356129 3.759999990463257 0.29
Herschel/SPIRE:500 516.9994274578785 1.340000033378601 0.11
:=250um 249.99371080720482 8.809999942779541 0.78568435
:=350um 349.99995096608495 3.759999990463257 0.29
:=500um 499.99576043629816 1.4100000262260437 0.1421267
:=1.4GHz 214137.47000000003 0.03112333423147599 0.002832402
"W1 (WISE)" 3.3533831991051453 0.04766666666666667 0.0008116914438381127
"W2 (WISE)" 4.60510688172043 0.03236666666666667 0.0005308125846285108
"W3 (WISE)" 11.574998378378377 0.10423333333333333 0.001353580806601512
"W4 (WISE)" 22.0435630882353 0.2316666666666667 0.00491156797774397
"4.5 microns (IRAC)" 4.494639550224888 0.012199999999999999 2.461747346906258e-05
"5.8 microns (IRAC)" 5.732169369024856 0.014950000000000001 4.609913231287548e-05
"8.0 microns (IRAC)" 7.86856845144357 0.0214 3.690541965619684e-05
"12 microns (IRAS)" 11.99169832 0.261 0.0209
"25 microns (IRAS)" 24.982704833333333 0.386 0.0209
"60 microns (IRAS)" 59.958491599999995 3.41 0.17
"100 microns (IRAS)" 99.93081933333333 10.7 0.533
