Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0007334999972954392 4.6518813e-05
GALEX:NUV 0.23119646641474512 0.0012894999817945063 7.7620876e-05
SDSS:u' 0.3519021246126397 0.0015150000108405948 2.236068e-05
SDSS:g' 0.48199694202385923 0.006313333365445335 7.34847e-05
SDSS:r' 0.6246977662012919 0.00887999963015318 9e-05
SDSS:i' 0.7634912086792646 0.021499999798834324 0.0003162278
SDSS:z' 0.9017941824088558 0.03945000097155571 0.00014142136
2MASS:J 1.239016606050587 0.03859199983999133 0.005024172
2MASS:H 1.649477072902339 0.043497273634949866 0.0070913257
2MASS:Ks 2.163785333814508 0.030110000260174276 0.0057122675
WISE:W1 3.350010705106716 0.037766666462024055 0.0061991937
WISE:W2 4.600019302768061 0.033039230244377486 0.005232743
WISE:W3 11.559823320737253 0.1763000026345253 0.025651513
WISE:W4 22.09066818952177 0.4318445396651937 0.055641714
IRAS:12 11.59021333024047 0.2705000042915344 0.03606938
IRAS:25 23.880234028994742 0.6675000190734863 0.07574299
IRAS:60 61.84986032885642 5.31000018119812 0.47853944
IRAS:100 101.94941780588996 11.450000286102295 1.2206556
Spitzer/MIPS:24 23.674678828081813 0.574999988079071 0.053
:=1.4GHz 214137.47000000006 0.10329333335782091 0.007976842
"u (SDSS) AB" 0.3552043341232228 0.00451 0.00029747773025892206
"g (SDSS) AB" 0.46842571562499996 0.0174 0.000801
"r (SDSS) AB" 0.6168569094650206 0.03025 0.0019807321878537744
"i (SDSS) AB" 0.747612114713217 0.0473 0.00218
"z (SDSS) AB" 0.8922394583333333 0.0571 0.003723922662999327
"J (2MASS) AB" 1.2337138189300412 0.08885000000000001 0.0057934877232976
"H (2MASS) AB" 1.6472113076923076 0.118 0.00542
"Ks (2MASS) AB" 2.156780273381295 0.103 0.00473
"W1 (WISE)" 3.3533831991051453 0.03916666666666666 0.0006946063633454562
"W2 (WISE)" 4.60510688172043 0.0371 0.000673640853867994
"W3 (WISE)" 11.574998378378377 0.17966666666666667 0.0026229641629271264
"W4 (WISE)" 22.0435630882353 0.4486666666666667 0.009342274883560214
"3.6 microns (IRAC)" 3.5520433412322276 0.01245 7.025667228100118e-06
"4.5 microns (IRAC)" 4.494639550224888 0.014249999999999999 8.231500470752583e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0222 2.8711670101197526e-05
"8.0 microns (IRAC)" 7.86856845144357 0.036699999999999997 1.8386951895297926e-05
"12 microns (IRAS)" 11.99169832 0.278 0.025
"25 microns (IRAS)" 24.982704833333333 0.633 0.0223
"60 microns (IRAS)" 59.958491599999995 5.3 0.212
"100 microns (IRAS)" 99.93081933333333 11.3 0.68
"4.89 GHz (VLA)" 61307.251124744376 0.039349999999999996 0.003023243291566195
"1.46 GHz (VLA)" 205337.3 0.146 0.0073
