                         id  redshift                  FUV               FUV_err                   NUV               NUV_err               u_prime            u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err             J_2mass          J_2mass_err             H_2mass         H_2mass_err            Ks_2mass         Ks_2mass_err               WISE1             WISE1_err                IRAC1             IRAC1_err                IRAC2             IRAC2_err                WISE2             WISE2_err   IRAC3            IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3            WISE3_err               WISE4           WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err          PACS_blue      PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err         PACS_green     PACS_green_err             MIPS3           MIPS3_err           PACS_red       PACS_red_err 
                   3C 234.0   0.18494  0.10159999801544473  0.018660804704055844   0.07938000198919326  0.011226027539432037   0.12168760283278365    0.01300496253298136  0.19911266922463255  0.020305587715598938  0.46338666991990374   0.04737818145032102   0.5747533335428064   0.05916514111517512    0.604496665497815   0.06269676831027794  2.0773333342125015   0.6474204109388035                 nan                 nan   5.038461468827267   0.8306990756031514   11.51666669199864    1.3430625894002246   14.700000000000001    1.5347250568098512                 25.4    2.6518378532632796    24.97916678947707    2.9130463984551622    42.7    4.458010879304806                 nan                  nan               160.0    32.9460164511584  115.22500169277191   13.437428839080427  289.92499858140945  33.810774396825806               274.5   29.56455479116843  291.00000047683716  36.408378194794565  171.99999901652336  25.622109527063543                nan                nan                 nan                 nan                 nan                 nan                nan                nan               nan                 nan                nan                nan 
  [VV2000] J235225.0+244009     0.212                  nan                   nan                   nan                   nan                   nan                    nan   0.1063071423621815  0.012360100477259085  0.23268571723227588  0.026280723208783042   0.3421714230041419  0.036397978460253395   0.4358499967825732   0.06078365259929631                 nan                  nan                 nan                 nan  3.9409091272814702   0.8076556758967239    7.76599996317178    0.9056634440125007                 9.29    0.9699044746777901                  nan                   nan   12.327777631415263    1.4376535667826469    17.4   1.8166133325504357                 nan                  nan                 nan                 nan   27.31250019352883   3.1851574951283914   90.86875104531646  10.597026321798278   97.69999980926514  10.522612012598048                 nan                 nan              1020.0  130.87398519186308                nan                nan                 nan                 nan              1450.0   336.8100354799423                nan                nan               nan                 nan                nan                nan 
            IRAS 11119+3257   0.18758                  nan                   nan  0.021899999410379678  0.004736676022459875  0.011293999887129758  0.0036572590086884683  0.10048888846843813  0.010778690437166234   0.5089999823313621  0.051908016846519967   1.3500000350177288   0.13767353043812683   1.7322222314154108   0.18249914730324698  3.6892307062561693   0.5084331189591492   7.196153872288191   1.060917676633691  15.454545193775132   1.8380504883226523  33.268332938353225    3.8797209797047016                34.25     3.575804979301864                  nan                   nan   49.258333685000736     5.744459482749543    62.1   6.4834303420334525                 nan                  nan  166.99999785423282  25.312052323609354  103.47500069396837   12.067155027312273   293.6346103961651   34.24338575763361                 nan                 nan  347.99999499320984  42.837045476465114  1590.0000166893005  200.40521582713302                nan                nan                 nan                 nan  1519.9999904632568  193.35200984236758                nan                nan               nan                 nan                nan                nan 
    2MASS J14294306+4747262  0.220706   0.4929999995511025   0.07303759204012274     0.477666665877526   0.06755226771775351    0.6310624903562712     0.0643559990524617   0.6095625012676464   0.06216342177436312   0.6682187577098375    0.0688869585978484   0.9252187610400142   0.09524073474375774   0.7156666678686937   0.07428181321458636  1.3100000040140003   0.3383208452928192   1.693500013789162  0.5220914604748854  2.7093750541098416   0.5493697710993086   3.657395825566103   0.42652198238567923    3.809999907389283    0.3977756683206493    5.229999776929617      0.54602800712679     5.53009804403665    0.6449147133711158     nan                  nan                 nan                  nan                 nan                 nan  13.214285591297916   1.5410372721521106   43.64487214126648   5.164656799117924   42.81666671832402   4.611496135406514                 nan                 nan                82.0  26.310454196003533  79.59999889135361  11.25713979970356  100.34999868869782  11.959984212707663                 nan                 nan   64.9000033736229  9.178246496903713               nan                 nan  44.70000043511391  7.010057088853973 
               LEDA  165618   0.20281  0.06956666766200215   0.01582419687909748   0.03433333282979826  0.008253955167192469   0.11703124937412213   0.012744533580727468  0.17285625017393613   0.01762794785366753  0.32749999809311703   0.03339857761956807   0.5273125061648898   0.05377553517392577   0.5540625015783007    0.0568097928127453                 nan                  nan  2.3206250480143353  0.7550185489106046    9.99142841569015   1.4660103198335972   42.01363631134683     4.899589845179782                 52.6      5.49160122368695    80.55000000000001     8.409666892927449    85.58181831890887      9.98046931381896   128.0   13.363592331405505                 nan                  nan               262.0  45.092460567150255   162.2500021755695    18.92143915248582  255.38888592190213  29.783206165774914               241.0  25.956494370388313   442.4999966621399   64.78088043906118              1210.0  145.70590241990885                nan                nan                 nan                 nan               713.0    159.789517803891                nan                nan               nan                 nan                nan                nan 
 [VV2003c] J135355.9+664800   0.19827  0.06514999950013589  0.014257110859672833    0.1082500002667075  0.015562153709979277    0.0974083324460177    0.01130193934000723  0.14071666373638436  0.014535879650560992   0.1652999987224272  0.016990023399713342  0.19353333239754042  0.019925649454786865  0.18899999849963933  0.024384216594690936                 nan                  nan                 nan                 nan                 nan                  nan  0.2631766695775829   0.03111309351344647  0.31266666666666665   0.04922625767255159                 0.19  0.030311219045099456    0.236833334648917  0.032246756380701055  0.2965  0.08367014103011898  1.3833333333333335  0.15615726403568655                 nan                 nan   1.697499998152877  0.22952900362232745   4.741666691824794  1.3713111180772979  11.191666648151974  1.2053793873361798                 nan                 nan                 nan                 nan                nan                nan                70.0    8.06225774829855                 nan                 nan                nan                nan               nan                 nan                nan                nan 
                    2C 1883      0.22  0.03593333409905123  0.009328561163482255   0.05920000088129503  0.009335759071658742   0.15250000069499947   0.016600075394784156  0.25800000366871245  0.026310941064275496   0.4327500064391643   0.04413201454681404    0.618500002019573    0.0630748715890996   0.6670000002486631    0.0712382615096499  0.7027777739697032   0.1623390389059505  0.9954444895912377  0.2577558772791971  1.7044444232144291  0.29436594218466866  1.7380833250461147   0.20269360515153326                  nan                   nan                  nan                   nan    2.053692330969641   0.23949962377393377     nan                  nan                 nan                  nan                 nan                 nan   7.629363690197467   0.8897290533164172  49.555000135004526  5.9409094942218434   52.05833403517803   5.606854167285862                 nan                 nan   620.7499885559082   90.88627774819255                nan                nan               512.0   55.14408762505733               748.5  229.25863669663573                nan                nan             490.0   52.77461510991814                nan                nan 
               LEDA 2149945   0.20553    1.268333347979933   0.17936942223232955     1.226666693886121    0.1734768675005118     1.133846152627554    0.11696611029003864   1.0247499885736033    0.1282151506930638   0.9190000055241399    0.1190403718872156   1.6162500008552647   0.16695101364460055    1.297374998102896    0.1329626594463373   2.027999993879348  0.42347120051269516   2.844499982893467  0.5831910310207702   5.350625142455101   0.8549221933364952   7.800595156569923    0.9096979021824493      8.3600003272295    0.8728096583086847   11.900000274181366    1.2423965031857305   12.504359036187331    1.4582463203176494     nan                  nan                 nan                  nan                 nan                 nan   25.37916658520698    2.959693989792144   52.45000019236044    6.28171759057267   46.11666631499926   4.966916969237985                 nan                 nan               201.0   69.44069412095476  58.69999900460243  8.301433470359594  112.50000140070915  13.325633311463873                 nan                 nan  50.50000175833702  7.141778738650536             111.0  21.403270778084366  52.49999836087227  9.990620515209049 
 [VV2003c] J082001.7+505039    0.2174                  nan                   nan   0.03047500058528385  0.007717982529822901  0.050120000378228724  0.0065513466821834985  0.07992000173544511  0.008253003493141845   0.1205600012326613  0.012294755976882203  0.13299999991431832  0.014031749718926102  0.12285999982850626   0.01871859509939073                 nan                  nan                 nan                 nan                 nan                  nan  0.1472916690864173  0.019740458948827328  0.16899999999999998  0.017644118000058828  0.34900000000000003  0.036436669716097825  0.31268749806284907   0.04384050294366107   0.794  0.08289603368074978                2.35  0.24534720295939794                 nan                 nan   2.294166682058324  0.32836909263189074  11.613333215614158  2.1668493286561423  12.724999943748116   1.370524437357218                 nan                 nan                 nan                 nan                nan                nan                68.0   8.440379138403678                 nan                 nan                nan                nan               nan                 nan                nan                nan 
           IRAS F15146+1911      0.19  0.14400000509340316  0.020364676018488553   0.21899999410379678  0.030971276182121726    1.2914285429620318    0.13295817727468906   2.1071428366537606       0.2149430374577   3.3785714767873287    0.3445480377641316    5.434285716286728    0.5636617892429551    4.287142772227526    0.4388575308637754   6.649999879300594   0.8297137909032083   9.423636662011797  1.1424750613646533  18.945454027165066   2.2823895958698834  30.021212370603372    3.5010449031584585                  nan                   nan                  nan                   nan    47.94393989516027      5.59117614356068     nan                  nan                 nan                  nan                 nan                 nan   85.68333462973435     9.99230804831827  136.22222330835132  15.886104622397415  133.24999928474426  14.351464133978052                 nan                 nan                 nan                 nan                nan                nan   82.50000327825546   12.73391163033267                 nan                 nan                nan                nan  94.9999988079071   28.62254352315712                nan                nan 
