#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
    10547.7525787415        8.559927e-16                       |         2.84224015e+14      3.17664895e-29                    
    10552.7525787415        8.441969e-16                       |         2.84089347e+14      3.13584480e-29                    
    10557.7525787415        8.272372e-16                       |         2.83954806e+14      3.07575906e-29                    
    10562.7525787415        8.244822e-16                       |         2.83820393e+14      3.06841992e-29                    
    10567.7525787415        8.303137e-16                       |         2.83686107e+14      3.09304880e-29                    
    10572.7525787415        8.300341e-16                       |         2.83551948e+14      3.09493383e-29                    
    10577.7525787415        8.202062e-16                       |         2.83417916e+14      3.06118201e-29                    
    10582.7525787415        7.874891e-16                       |         2.83284010e+14      2.94185411e-29                    
    10587.7525787415        7.623673e-16                       |         2.83150231e+14      2.85069742e-29                    
    10592.7525787415        7.556538e-16                       |         2.83016578e+14      2.82826320e-29                    
    10597.7525787415          7.8871e-16                       |         2.82883052e+14      2.95477350e-29                    
    10602.7525787415        8.060592e-16                       |         2.82749651e+14      3.02261956e-29                    
    10607.7525787415        8.163966e-16                       |         2.82616376e+14      3.06427153e-29                    
    10612.7525787415        8.122212e-16                       |         2.82483226e+14      3.05147415e-29                    
    10617.7525787415        8.321887e-16                       |         2.82350202e+14      3.12943771e-29                    
    10622.7525787415        8.575779e-16                       |         2.82217304e+14      3.22795156e-29                    
    10627.7525787415        8.723741e-16                       |         2.82084530e+14      3.28673681e-29                    
    10632.7525787415        8.822687e-16                       |         2.81951881e+14      3.32714389e-29                    
    10637.7525787415        8.768062e-16                       |         2.81819357e+14      3.30965464e-29                    
    10642.7525787415        8.789684e-16                       |         2.81686957e+14      3.32093587e-29                    
    10647.7525787415        8.689643e-16                       |         2.81554682e+14      3.28622376e-29                    
    10652.7525787415        8.651698e-16                       |         2.81422531e+14      3.27494739e-29                    
    10657.7525787415        8.350899e-16                       |         2.81290504e+14      3.16405333e-29                    
    10662.7525787415        8.197335e-16                       |         2.81158600e+14      3.10878468e-29                    
    10667.7525787415        8.022407e-16                       |         2.81026821e+14      3.04529841e-29                    
    10672.7525787415        8.140561e-16                       |         2.80895164e+14      3.09304696e-29                    
    10677.7525787415        8.223464e-16                       |         2.80763631e+14      3.12747465e-29                    
    10682.7525787415        8.433297e-16                       |         2.80632222e+14      3.21028087e-29                    
    10687.7525787415        8.567266e-16                       |         2.80500935e+14      3.26433205e-29                    
    10692.7525787415        8.585034e-16                       |         2.80369771e+14      3.27416341e-29                    
    10697.7525787415        8.443062e-16                       |         2.80238729e+14      3.22303018e-29                    
    10702.7525787415        8.380104e-16                       |         2.80107810e+14      3.20198782e-29                    
    10707.7525787415        8.528008e-16                       |         2.79977014e+14      3.26154631e-29                    
    10712.7525787415        8.807595e-16                       |         2.79846339e+14      3.37162124e-29                    
    10717.7525787415          8.8765e-16                       |         2.79715786e+14      3.40117131e-29                    
    10722.7525787415        8.903192e-16                       |         2.79585355e+14      3.41458246e-29                    
    10727.7525787415        8.838101e-16                       |         2.79455046e+14      3.39278042e-29                    
    10732.7525787415        8.857735e-16                       |         2.79324858e+14      3.40348793e-29                    
    10737.7525787415        8.704017e-16                       |         2.79194791e+14      3.34754028e-29                    
    10742.7525787415        8.551607e-16                       |         2.79064846e+14      3.29198749e-29                    
    10747.7525787415        8.411761e-16                       |         2.78935021e+14      3.24116799e-29                    
    10752.7525787415        8.545648e-16                       |         2.78805317e+14      3.29582088e-29                    
    10757.7525787415        8.561462e-16                       |         2.78675733e+14      3.30499139e-29                    
    10762.7525787415         8.74504e-16                       |         2.78546270e+14      3.37899702e-29                    
    10767.7525787415        8.675759e-16                       |         2.78416928e+14      3.35534291e-29                    
    10772.7525787415        8.798585e-16                       |         2.78287705e+14      3.40600672e-29                    
    10777.7525787415        8.719457e-16                       |         2.78158602e+14      3.37850958e-29                    
    10782.7525787415        8.952706e-16                       |         2.78029619e+14      3.47210539e-29                    
    10787.7525787415        9.281604e-16                       |         2.77900755e+14      3.60300019e-29                    
    10792.7525787415        9.741769e-16                       |         2.77772011e+14      3.78513667e-29                    
    10797.7525787415        9.946615e-16                       |         2.77643386e+14      3.86831068e-29                    
    10802.7525787415        1.043393e-15                       |         2.77514880e+14      4.06158992e-29                    
    10807.7525787415        1.115378e-15                       |         2.77386493e+14      4.34582423e-29                    
    10812.7525787415        1.248629e-15                       |         2.77258225e+14      4.86950980e-29                    
    10817.7525787415         1.49904e-15                       |         2.77130076e+14      5.85149186e-29                    
    10822.7525787415        2.054427e-15                       |         2.77002044e+14      8.02685596e-29                    
    10827.7525787415        2.882934e-15                       |         2.76874131e+14      1.12743274e-28                    
    10832.7525787415        3.521115e-15                       |         2.76746336e+14      1.37827904e-28                    
    10837.7525787415        3.479729e-15                       |         2.76618659e+14      1.36333688e-28                    
    10842.7525787415        2.780009e-15                       |         2.76491100e+14      1.09019602e-28                    
    10847.7525787415        1.924153e-15                       |         2.76363659e+14      7.55263401e-29                    
    10852.7525787415        1.349012e-15                       |         2.76236334e+14      5.29998832e-29                    
    10857.7525787415        1.073147e-15                       |         2.76109127e+14      4.22005774e-29                    
    10862.7525787415        9.823199e-16                       |         2.75982038e+14      3.86644657e-29                    
    10867.7525787415        9.358284e-16                       |         2.75855065e+14      3.68684603e-29                    
    10872.7525787415         9.01656e-16                       |         2.75728208e+14      3.55548772e-29                    
    10877.7525787415        8.812856e-16                       |         2.75601469e+14      3.47835835e-29                    
    10882.7525787415        8.750221e-16                       |         2.75474846e+14      3.45681254e-29                    
    10887.7525787415        8.686067e-16                       |         2.75348339e+14      3.43462207e-29                    
    10892.7525787415        8.527935e-16                       |         2.75221949e+14      3.37519178e-29                    
    10897.7525787415        8.406448e-16                       |         2.75095674e+14      3.33016470e-29                    
    10902.7525787415         8.49638e-16                       |         2.74969515e+14      3.36887996e-29                    
    10907.7525787415        8.450774e-16                       |         2.74843472e+14      3.35387089e-29                    
    10912.7525787415        8.500605e-16                       |         2.74717544e+14      3.37674099e-29                    
    10917.7525787415        8.613138e-16                       |         2.74591732e+14      3.42457906e-29                    
    10922.7525787415         8.83178e-16                       |         2.74466035e+14      3.51472807e-29                    
    10927.7525787415        9.163599e-16                       |         2.74340453e+14      3.65011946e-29                    
    10932.7525787415        9.627778e-16                       |         2.74214986e+14      3.83852526e-29                    
    10937.7525787415        1.016602e-15                       |         2.74089633e+14      4.05682660e-29                    
    10942.7525787415        1.049738e-15                       |         2.73964395e+14      4.19288908e-29                    
    10947.7525787415        1.034429e-15                       |         2.73839271e+14      4.13551814e-29                    
    10952.7525787415        9.918126e-16                       |         2.73714262e+14      3.96876580e-29                    
    10957.7525787415        9.076505e-16                       |         2.73589367e+14      3.63530561e-29                    
    10962.7525787415         8.30279e-16                       |         2.73464586e+14      3.32845411e-29                    
    10967.7525787415        7.804814e-16                       |         2.73339918e+14      3.13167830e-29                    
    10972.7525787415        7.674887e-16                       |         2.73215364e+14      3.08235360e-29                    
    10977.7525787415        7.643593e-16                       |         2.73090924e+14      3.07258373e-29                    
    10982.7525787415        7.887974e-16                       |         2.72966596e+14      3.17370946e-29                    
    10987.7525787415         7.93086e-16                       |         2.72842382e+14      3.19387064e-29                    
    10992.7525787415        8.112388e-16                       |         2.72718281e+14      3.26994852e-29                    
    10997.7525787415        7.823837e-16                       |         2.72594293e+14      3.15650862e-29                    
    11002.7525787415        8.078024e-16                       |         2.72470418e+14      3.26202383e-29                    
    11007.7525787415        8.182088e-16                       |         2.72346655e+14      3.30704999e-29                    
    11012.7525787415        8.267167e-16                       |         2.72223004e+14      3.34447359e-29                    
    11017.7525787415        8.173663e-16                       |         2.72099466e+14      3.30964989e-29                    
    11022.7525787415        8.106061e-16                       |         2.71976039e+14      3.28525649e-29                    
    11027.7525787415        8.297816e-16                       |         2.71852725e+14      3.36602334e-29                    
    11032.7525787415        8.219252e-16                       |         2.71729522e+14      3.33717783e-29                    
    11037.7525787415        8.261009e-16                       |         2.71606432e+14      3.35717284e-29                    
    11042.7525787415        8.129227e-16                       |         2.71483452e+14      3.30661194e-29                    
    11047.7525787415        8.053772e-16                       |         2.71360584e+14      3.27888742e-29                    
    11052.7525787415        8.137606e-16                       |         2.71237827e+14      3.31601778e-29                    
    11057.7525787415        8.266648e-16                       |         2.71115181e+14      3.37164994e-29                    
    11062.7525787415        8.129942e-16                       |         2.70992646e+14      3.31889216e-29                    
    11067.7525787415        7.450551e-16                       |         2.70870221e+14      3.04429386e-29                    
    11072.7525787415        6.860719e-16                       |         2.70747907e+14      2.80582202e-29                    
    11077.7525787415        6.948135e-16                       |         2.70625704e+14      2.84413931e-29                    
    11082.7525787415        7.718208e-16                       |         2.70503611e+14      3.16221249e-29                    
    11087.7525787415        8.419041e-16                       |         2.70381628e+14      3.45246252e-29                    
    11092.7525787415        8.641832e-16                       |         2.70259755e+14      3.54702106e-29                    
    11097.7525787415        8.605226e-16                       |         2.70137991e+14      3.53518099e-29                    
    11102.7525787415        8.306359e-16                       |         2.70016338e+14      3.41547662e-29                    
    11107.7525787415        8.271932e-16                       |         2.69894794e+14      3.40438483e-29                    
    11112.7525787415        8.041254e-16                       |         2.69773359e+14      3.31242738e-29                    
    11117.7525787415         8.23633e-16                       |         2.69652033e+14      3.39583863e-29                    
    11122.7525787415        8.327823e-16                       |         2.69530817e+14      3.43665024e-29                    
    11127.7525787415        8.462403e-16                       |         2.69409710e+14      3.49532788e-29                    
    11132.7525787415        8.508204e-16                       |         2.69288711e+14      3.51740441e-29                    
    11137.7525787415        8.429301e-16                       |         2.69167821e+14      3.48791578e-29                    
    11142.7525787415        8.482695e-16                       |         2.69047039e+14      3.51316156e-29                    
    11147.7525787415        8.317143e-16                       |         2.68926366e+14      3.44768918e-29                    
    11152.7525787415        8.457734e-16                       |         2.68805801e+14      3.50911380e-29                    
    11157.7525787415        8.543411e-16                       |         2.68685344e+14      3.54784019e-29                    
    11162.7525787415        8.604809e-16                       |         2.68564995e+14      3.57654034e-29                    
    11167.7525787415        8.526107e-16                       |         2.68444754e+14      3.54700370e-29                    
    11172.7525787415        8.331677e-16                       |         2.68324620e+14      3.46922193e-29                    
    11177.7525787415        8.198013e-16                       |         2.68204594e+14      3.41662160e-29                    
    11182.7525787415        8.337834e-16                       |         2.68084675e+14      3.47800316e-29                    
    11187.7525787415        8.370467e-16                       |         2.67964863e+14      3.49473855e-29                    
    11192.7525787415           8.618e-16                       |         2.67845159e+14      3.60130242e-29                    
    11197.7525787415        8.411878e-16                       |         2.67725561e+14      3.51830913e-29                    
    11202.7525787415        8.394365e-16                       |         2.67606070e+14      3.51412037e-29                    
    11207.7525787415        8.356224e-16                       |         2.67486686e+14      3.50127674e-29                    
    11212.7525787415        8.446721e-16                       |         2.67367408e+14      3.54235370e-29                    
    11217.7525787415        8.438759e-16                       |         2.67248236e+14      3.54217157e-29                    
    11222.7525787415        8.416318e-16                       |         2.67129171e+14      3.53590191e-29                    
    11227.7525787415        8.395589e-16                       |         2.67010211e+14      3.53033674e-29                    
    11232.7525787415        8.583195e-16                       |         2.66891358e+14      3.61244015e-29                    
    11237.7525787415        8.598975e-16                       |         2.66772610e+14      3.62230415e-29                    
    11242.7525787415        8.652043e-16                       |         2.66653968e+14      3.64790291e-29                    
    11247.7525787415        8.467397e-16                       |         2.66535432e+14      3.57322799e-29                    
    11252.7525787415        8.394029e-16                       |         2.66417001e+14      3.54541682e-29                    
    11257.7525787415        8.360884e-16                       |         2.66298675e+14      3.53455621e-29                    
    11262.7525787415        8.341472e-16                       |         2.66180454e+14      3.52948288e-29                    
    11267.7525787415        8.475448e-16                       |         2.66062338e+14      3.58935624e-29                    
    11272.7525787415         8.48169e-16                       |         2.65944326e+14      3.59518829e-29                    
    11277.7525787415         8.51892e-16                       |         2.65826420e+14      3.61417319e-29                    
    11282.7525787415        8.588807e-16                       |         2.65708618e+14      3.64705463e-29                    
    11287.7525787415        8.633531e-16                       |         2.65590920e+14      3.66929569e-29                    
    11292.7525787415        8.675635e-16                       |         2.65473326e+14      3.69045738e-29                    
    11297.7525787415        8.497911e-16                       |         2.65355837e+14      3.61805857e-29                    
    11302.7525787415        8.317004e-16                       |         2.65238451e+14      3.54417084e-29                    
    11307.7525787415        8.371427e-16                       |         2.65121170e+14      3.57051930e-29                    
    11312.7525787415        8.271355e-16                       |         2.65003992e+14      3.53095786e-29                    
    11317.7525787415        8.285474e-16                       |         2.64886917e+14      3.54011235e-29                    
    11322.7525787415        8.173169e-16                       |         2.64769946e+14      3.49521431e-29                    
    11327.7525787415        8.173039e-16                       |         2.64653078e+14      3.49824624e-29                    
    11332.7525787415         8.21191e-16                       |         2.64536314e+14      3.51798749e-29                    
    11337.7525787415        8.321255e-16                       |         2.64419652e+14      3.56797725e-29                    
    11342.7525787415        8.417187e-16                       |         2.64303093e+14      3.61229483e-29                    
    11347.7525787415        8.400067e-16                       |         2.64186637e+14      3.60812655e-29                    
    11352.7525787415         8.25119e-16                       |         2.64070283e+14      3.54730254e-29                    
    11357.7525787415        8.101576e-16                       |         2.63954032e+14      3.48605001e-29                    
    11362.7525787415        8.179897e-16                       |         2.63837883e+14      3.52285064e-29                    
    11367.7525787415        8.218462e-16                       |         2.63721837e+14      3.54257515e-29                    
    11372.7525787415        8.342961e-16                       |         2.63605892e+14      3.59940479e-29                    
    11377.7525787415        8.308506e-16                       |         2.63490049e+14      3.58769243e-29                    
    11382.7525787415        8.182882e-16                       |         2.63374309e+14      3.53655304e-29                    
    11387.7525787415        8.046949e-16                       |         2.63258669e+14      3.48086027e-29                    
    11392.7525787415        7.992381e-16                       |         2.63143132e+14      3.46029245e-29                    
    11397.7525787415        8.190241e-16                       |         2.63027695e+14      3.54906887e-29                    
    11402.7525787415        8.245165e-16                       |         2.62912360e+14      3.57600443e-29                    
    11407.7525787415        8.225688e-16                       |         2.62797126e+14      3.57068644e-29                    
    11412.7525787415        8.222545e-16                       |         2.62681993e+14      3.57245164e-29                    
    11417.7525787415        8.329438e-16                       |         2.62566960e+14      3.62206509e-29                    
    11422.7525787415         8.33159e-16                       |         2.62452029e+14      3.62617472e-29                    
    11427.7525787415        8.099979e-16                       |         2.62337198e+14      3.52845714e-29                    
    11432.7525787415        8.088037e-16                       |         2.62222467e+14      3.52633879e-29                    
    11437.7525787415        8.173308e-16                       |         2.62107837e+14      3.56663409e-29                    
    11442.7525787415        8.263043e-16                       |         2.61993307e+14      3.60894550e-29                    
    11447.7525787415        8.280929e-16                       |         2.61878877e+14      3.61991877e-29                    
    11452.7525787415        8.259223e-16                       |         2.61764547e+14      3.61358475e-29                    
    11457.7525787415        8.409506e-16                       |         2.61650317e+14      3.68255007e-29                    
    11462.7525787415         8.48679e-16                       |         2.61536186e+14      3.71963725e-29                    
    11467.7525787415        8.615555e-16                       |         2.61422155e+14      3.77936802e-29                    
    11472.7525787415        8.726596e-16                       |         2.61308223e+14      3.83141700e-29                    
    11477.7525787415        8.699331e-16                       |         2.61194391e+14      3.82277616e-29                    
    11482.7525787415        8.639284e-16                       |         2.61080657e+14      3.79969783e-29                    
    11487.7525787415        8.537354e-16                       |         2.60967023e+14      3.75813807e-29                    
    11492.7525787415        8.484281e-16                       |         2.60853487e+14      3.73802717e-29                    
    11497.7525787415        8.390035e-16                       |         2.60740051e+14      3.69972109e-29                    
    11502.7525787415        8.286786e-16                       |         2.60626713e+14      3.65737065e-29                    
    11507.7525787415        8.159255e-16                       |         2.60513473e+14      3.60421619e-29                    
    11512.7525787415        8.135514e-16                       |         2.60400332e+14      3.59685255e-29                    
    11517.7525787415        8.182251e-16                       |         2.60287289e+14      3.62065866e-29                    
    11522.7525787415        8.213223e-16                       |         2.60174344e+14      3.63751995e-29                    
    11527.7525787415         8.21789e-16                       |         2.60061497e+14      3.64274619e-29                    
    11532.7525787415        8.123701e-16                       |         2.59948748e+14      3.60411945e-29                    
    11537.7525787415        8.162574e-16                       |         2.59836096e+14      3.62450639e-29                    
    11542.7525787415        8.168443e-16                       |         2.59723543e+14      3.63025683e-29                    
    11547.7525787415        8.189466e-16                       |         2.59611086e+14      3.64275380e-29                    
    11552.7525787415        8.153337e-16                       |         2.59498727e+14      3.62982455e-29                    
    11557.7525787415        8.209604e-16                       |         2.59386465e+14      3.65803866e-29                    
    11562.7525787415        8.175407e-16                       |         2.59274301e+14      3.64595365e-29                    
    11567.7525787415        8.204628e-16                       |         2.59162233e+14      3.66215037e-29                    
    11572.7525787415        8.326139e-16                       |         2.59050262e+14      3.71960043e-29                    
    11577.7525787415        8.332958e-16                       |         2.58938388e+14      3.72586416e-29                    
    11582.7525787415         8.32471e-16                       |         2.58826610e+14      3.72539192e-29                    
    11587.7525787415        8.185102e-16                       |         2.58714929e+14      3.66607899e-29                    
    11592.7525787415        8.214344e-16                       |         2.58603345e+14      3.68235213e-29                    
    11597.7525787415        8.162243e-16                       |         2.58491856e+14      3.66215308e-29                    
    11602.7525787415        8.074463e-16                       |         2.58380464e+14      3.62589319e-29                    
    11607.7525787415        7.993251e-16                       |         2.58269167e+14      3.59251865e-29                    
    11612.7525787415        8.188965e-16                       |         2.58157966e+14      3.68365252e-29                    
    11617.7525787415        8.316004e-16                       |         2.58046861e+14      3.74402062e-29                    
    11622.7525787415        8.615586e-16                       |         2.57935852e+14      3.88223752e-29                    
    11627.7525787415        8.565279e-16                       |         2.57824938e+14      3.86289029e-29                    
    11632.7525787415        8.555752e-16                       |         2.57714120e+14      3.86191282e-29                    
    11637.7525787415        8.290064e-16                       |         2.57603396e+14      3.74520348e-29                    
    11642.7525787415        8.173433e-16                       |         2.57492768e+14      3.69568663e-29                    
    11647.7525787415        8.061844e-16                       |         2.57382235e+14      3.64836230e-29                    
    11652.7525787415        8.114398e-16                       |         2.57271796e+14      3.67529879e-29                    
    11657.7525787415        8.073418e-16                       |         2.57161453e+14      3.65987626e-29                    
    11662.7525787415        8.124195e-16                       |         2.57051204e+14      3.68605456e-29                    
    11667.7525787415        8.163022e-16                       |         2.56941049e+14      3.70684720e-29                    
    11672.7525787415        8.228116e-16                       |         2.56830989e+14      3.73960956e-29                    
    11677.7525787415        8.208412e-16                       |         2.56721023e+14      3.73385098e-29                    
    11682.7525787415        8.062589e-16                       |         2.56611151e+14      3.67066014e-29                    
    11687.7525787415        7.978153e-16                       |         2.56501374e+14      3.63532861e-29                    
    11692.7525787415        7.947998e-16                       |         2.56391690e+14      3.62468746e-29                    
    11697.7525787415        8.054766e-16                       |         2.56282099e+14      3.67652130e-29                    
    11702.7525787415        8.142017e-16                       |         2.56172603e+14      3.71952384e-29                    
    11707.7525787415         8.29824e-16                       |         2.56063200e+14      3.79413132e-29                    
    11712.7525787415        8.311604e-16                       |         2.55953890e+14      3.80348824e-29                    
    11717.7525787415        8.261019e-16                       |         2.55844674e+14      3.78356818e-29                    
    11722.7525787415        8.156578e-16                       |         2.55735551e+14      3.73892270e-29                    
    11727.7525787415        8.086755e-16                       |         2.55626521e+14      3.71007912e-29                    
    11732.7525787415        8.090179e-16                       |         2.55517584e+14      3.71481552e-29                    
    11737.7525787415        8.094077e-16                       |         2.55408739e+14      3.71977378e-29                    
    11742.7525787415        8.085207e-16                       |         2.55299988e+14      3.71886369e-29                    
    11747.7525787415        7.992736e-16                       |         2.55191329e+14      3.67946221e-29                    
    11752.7525787415        7.980943e-16                       |         2.55082762e+14      3.67716139e-29                    
    11757.7525787415        7.992156e-16                       |         2.54974288e+14      3.68546153e-29                    
    11762.7525787415        8.090718e-16                       |         2.54865906e+14      3.73408572e-29                    
    11767.7525787415        8.050449e-16                       |         2.54757616e+14      3.71865986e-29                    
    11772.7525787415        8.080783e-16                       |         2.54649418e+14      3.73584435e-29                    
    11777.7525787415        7.963246e-16                       |         2.54541312e+14      3.68463337e-29                    
    11782.7525787415        7.962776e-16                       |         2.54433297e+14      3.68754485e-29                    
    11787.7525787415        7.928156e-16                       |         2.54325375e+14      3.67462906e-29                    
    11792.7525787415        7.971961e-16                       |         2.54217543e+14      3.69806751e-29                    
    11797.7525787415        8.038782e-16                       |         2.54109804e+14      3.73222755e-29                    
    11802.7525787415        8.056676e-16                       |         2.54002155e+14      3.74370656e-29                    
    11807.7525787415        8.163012e-16                       |         2.53894598e+14      3.79633229e-29                    
    11812.7525787415        8.140005e-16                       |         2.53787131e+14      3.78883927e-29                    
    11817.7525787415        8.122085e-16                       |         2.53679756e+14      3.78369928e-29                    
    11822.7525787415        7.978014e-16                       |         2.53572471e+14      3.71972892e-29                    
    11827.7525787415        7.879776e-16                       |         2.53465278e+14      3.67703386e-29                    
    11832.7525787415        7.770559e-16                       |         2.53358174e+14      3.62913501e-29                    
    11837.7525787415        7.721598e-16                       |         2.53251161e+14      3.60931678e-29                    
    11842.7525787415        7.689183e-16                       |         2.53144239e+14      3.59720182e-29                    
    11847.7525787415        7.820857e-16                       |         2.53037407e+14      3.66189252e-29                    
    11852.7525787415        7.916143e-16                       |         2.52930665e+14      3.70963657e-29                    
    11857.7525787415        8.068894e-16                       |         2.52824013e+14      3.78440907e-29                    
    11862.7525787415        8.137617e-16                       |         2.52717451e+14      3.81986035e-29                    
    11867.7525787415        8.367567e-16                       |         2.52610978e+14      3.93111240e-29                    
    11872.7525787415        8.520467e-16                       |         2.52504596e+14      4.00631902e-29                    
    11877.7525787415        8.848201e-16                       |         2.52398303e+14      4.16392429e-29                    
    11882.7525787415        9.058824e-16                       |         2.52292099e+14      4.26663239e-29                    
    11887.7525787415        9.135536e-16                       |         2.52185985e+14      4.30638490e-29                    
    11892.7525787415         8.99659e-16                       |         2.52079960e+14      4.24445557e-29                    
    11897.7525787415        8.655416e-16                       |         2.51974024e+14      4.08692914e-29                    
    11902.7525787415        8.391957e-16                       |         2.51868177e+14      3.96585980e-29                    
    11907.7525787415        8.222303e-16                       |         2.51762419e+14      3.88895016e-29                    
    11912.7525787415        8.207957e-16                       |         2.51656749e+14      3.88542573e-29                    
    11917.7525787415        8.234071e-16                       |         2.51551169e+14      3.90106003e-29                    
    11922.7525787415        8.097028e-16                       |         2.51445677e+14      3.83935261e-29                    
    11927.7525787415        8.027485e-16                       |         2.51340273e+14      3.80957074e-29                    
    11932.7525787415        7.873076e-16                       |         2.51234958e+14      3.73942658e-29                    
    11937.7525787415        7.991194e-16                       |         2.51129731e+14      3.79870980e-29                    
    11942.7525787415        8.046589e-16                       |         2.51024592e+14      3.82824730e-29                    
    11947.7525787415        8.028088e-16                       |         2.50919541e+14      3.82264406e-29                    
    11952.7525787415        7.927312e-16                       |         2.50814578e+14      3.77781865e-29                    
    11957.7525787415        7.848578e-16                       |         2.50709702e+14      3.74342728e-29                    
    11962.7525787415        7.863312e-16                       |         2.50604915e+14      3.75359182e-29                    
    11967.7525787415        7.862159e-16                       |         2.50500215e+14      3.75617936e-29                    
    11972.7525787415        7.822747e-16                       |         2.50395602e+14      3.74047362e-29                    
    11977.7525787415           7.773e-16                       |         2.50291077e+14      3.71979185e-29                    
    11982.7525787415        7.740674e-16                       |         2.50186639e+14      3.70741546e-29                    
    11987.7525787415        7.851422e-16                       |         2.50082288e+14      3.76359738e-29                    
    11992.7525787415        8.074113e-16                       |         2.49978024e+14      3.87357409e-29                    
    11997.7525787415         8.13955e-16                       |         2.49873847e+14      3.90822442e-29                    
    12002.7525787415        8.005288e-16                       |         2.49769757e+14      3.84696260e-29                    
    12007.7525787415        7.952274e-16                       |         2.49665753e+14      3.82467108e-29                    
    12012.7525787415         7.86753e-16                       |         2.49561836e+14      3.78706507e-29                    
    12017.7525787415        7.959281e-16                       |         2.49458006e+14      3.83441973e-29                    
    12022.7525787415        7.953609e-16                       |         2.49354261e+14      3.83487623e-29                    
    12027.7525787415        8.002035e-16                       |         2.49250604e+14      3.86143487e-29                    
    12032.7525787415         7.87103e-16                       |         2.49147032e+14      3.80137607e-29                    
    12037.7525787415        7.739836e-16                       |         2.49043546e+14      3.74112207e-29                    
    12042.7525787415        7.722321e-16                       |         2.48940146e+14      3.73575747e-29                    
    12047.7525787415        7.973422e-16                       |         2.48836832e+14      3.86043394e-29                    
    12052.7525787415        8.137153e-16                       |         2.48733604e+14      3.94297715e-29                    
    12057.7525787415        8.221021e-16                       |         2.48630462e+14      3.98692246e-29                    
    12062.7525787415        8.146022e-16                       |         2.48527405e+14      3.95382747e-29                    
    12067.7525787415         8.18733e-16                       |         2.48424433e+14      3.97717212e-29                    
    12072.7525787415        8.246046e-16                       |         2.48321546e+14      4.00901470e-29                    
    12077.7525787415        8.256308e-16                       |         2.48218745e+14      4.01732936e-29                    
    12082.7525787415        8.142235e-16                       |         2.48116029e+14      3.96510501e-29                    
    12087.7525787415        7.978114e-16                       |         2.48013398e+14      3.88839752e-29                    
    12092.7525787415        7.870057e-16                       |         2.47910852e+14      3.83890626e-29                    
    12097.7525787415          7.8913e-16                       |         2.47808390e+14      3.85245209e-29                    
    12102.7525787415         7.93174e-16                       |         2.47706013e+14      3.87539590e-29                    
    12107.7525787415        7.988293e-16                       |         2.47603721e+14      3.90625290e-29                    
    12112.7525787415        7.992175e-16                       |         2.47501513e+14      3.91137966e-29                    
    12117.7525787415        8.004718e-16                       |         2.47399389e+14      3.92075309e-29                    
    12122.7525787415        8.015155e-16                       |         2.47297350e+14      3.92910562e-29                    
    12127.7525787415        8.008083e-16                       |         2.47195395e+14      3.92887777e-29                    
    12132.7525787415        8.021436e-16                       |         2.47093524e+14      3.93867459e-29                    
    12137.7525787415        8.030472e-16                       |         2.46991737e+14      3.94636207e-29                    
    12142.7525787415        8.107849e-16                       |         2.46890033e+14      3.98767026e-29                    
    12147.7525787415        8.160071e-16                       |         2.46788414e+14      4.01666035e-29                    
    12152.7525787415        8.207203e-16                       |         2.46686878e+14      4.04318658e-29                    
    12157.7525787415        8.236152e-16                       |         2.46585425e+14      4.06078738e-29                    
    12162.7525787415        8.277967e-16                       |         2.46484056e+14      4.08476175e-29                    
    12167.7525787415        8.229372e-16                       |         2.46382770e+14      4.06412194e-29                    
    12172.7525787415        8.153182e-16                       |         2.46281568e+14      4.02980491e-29                    
    12177.7525787415        8.047632e-16                       |         2.46180448e+14      3.98090393e-29                    
    12182.7525787415        8.126052e-16                       |         2.46079412e+14      4.02299730e-29                    
    12187.7525787415        8.146466e-16                       |         2.45978458e+14      4.03641492e-29                    
    12192.7525787415        8.198049e-16                       |         2.45877588e+14      4.06530681e-29                    
    12197.7525787415        8.119631e-16                       |         2.45776800e+14      4.02972332e-29                    
    12202.7525787415        8.095587e-16                       |         2.45676094e+14      4.02108498e-29                    
    12207.7525787415        8.213279e-16                       |         2.45575471e+14      4.08288651e-29                    
    12212.7525787415        8.271702e-16                       |         2.45474930e+14      4.11529804e-29                    
    12217.7525787415        8.253861e-16                       |         2.45374472e+14      4.10978496e-29                    
    12222.7525787415        8.111471e-16                       |         2.45274096e+14      4.04219217e-29                    
    12227.7525787415        8.081095e-16                       |         2.45173802e+14      4.03035028e-29                    
    12232.7525787415        8.108877e-16                       |         2.45073590e+14      4.04751430e-29                    
    12237.7525787415        8.092341e-16                       |         2.44973460e+14      4.04256310e-29                    
    12242.7525787415        8.051283e-16                       |         2.44873411e+14      4.02533967e-29                    
    12247.7525787415        8.003282e-16                       |         2.44773445e+14      4.00460997e-29                    
    12252.7525787415        8.051559e-16                       |         2.44673560e+14      4.03205644e-29                    
    12257.7525787415        8.118057e-16                       |         2.44573756e+14      4.06867588e-29                    
    12262.7525787415        8.115338e-16                       |         2.44474034e+14      4.07063198e-29                    
    12267.7525787415        8.057632e-16                       |         2.44374393e+14      4.04498338e-29                    
    12272.7525787415        7.984795e-16                       |         2.44274833e+14      4.01168684e-29                    
