#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
     8417.7525787415        1.016212e-15                       |         3.56143111e+14      2.40190556e-29                    
     8422.7525787415        9.877991e-16                       |         3.55931694e+14      2.33752362e-29                    
     8427.7525787415         9.53576e-16                       |         3.55720527e+14      2.25921812e-29                    
     8432.7525787415        9.075476e-16                       |         3.55509611e+14      2.15271940e-29                    
     8437.7525787415        9.038674e-16                       |         3.55298945e+14      2.14653311e-29                    
     8442.7525787415         9.20564e-16                       |         3.55088529e+14      2.18877645e-29                    
     8447.7525787415        9.348801e-16                       |         3.54878361e+14      2.22544867e-29                    
     8452.7525787415        9.343209e-16                       |         3.54668442e+14      2.22675109e-29                    
     8457.7525787415        9.100312e-16                       |         3.54458772e+14      2.17142848e-29                    
     8462.7525787415        8.823692e-16                       |         3.54249349e+14      2.10791417e-29                    
     8467.7525787415        8.769328e-16                       |         3.54040173e+14      2.09740322e-29                    
     8472.7525787415        8.532692e-16                       |         3.53831245e+14      2.04321663e-29                    
     8477.7525787415        8.516795e-16                       |         3.53622562e+14      2.04181770e-29                    
     8482.7525787415        8.636564e-16                       |         3.53414126e+14      2.07297417e-29                    
     8487.7525787415        8.455583e-16                       |         3.53205936e+14      2.03192781e-29                    
     8492.7525787415        8.548143e-16                       |         3.52997990e+14      2.05659141e-29                    
     8497.7525787415        8.152465e-16                       |         3.52790289e+14      1.96370571e-29                    
     8502.7525787415         8.50258e-16                       |         3.52582833e+14      2.05044963e-29                    
     8507.7525787415        8.821588e-16                       |         3.52375620e+14      2.12988311e-29                    
     8512.7525787415        8.763886e-16                       |         3.52168651e+14      2.11843936e-29                    
     8517.7525787415        8.747674e-16                       |         3.51961924e+14      2.11700521e-29                    
     8522.7525787415        8.634932e-16                       |         3.51755441e+14      2.09217486e-29                    
     8527.7525787415        8.690943e-16                       |         3.51549199e+14      2.10821733e-29                    
     8532.7525787415        8.115298e-16                       |         3.51343199e+14      1.97088858e-29                    
     8537.7525787415        7.382544e-16                       |         3.51137441e+14      1.79503313e-29                    
     8542.7525787415        7.070648e-16                       |         3.50931923e+14      1.72121122e-29                    
     8547.7525787415         7.43149e-16                       |         3.50726646e+14      1.81116943e-29                    
     8552.7525787415        8.034696e-16                       |         3.50521608e+14      1.96047163e-29                    
     8557.7525787415        8.786092e-16                       |         3.50316811e+14      2.14632011e-29                    
     8562.7525787415        8.998208e-16                       |         3.50112252e+14      2.20070644e-29                    
     8567.7525787415        9.139514e-16                       |         3.49907932e+14      2.23787709e-29                    
     8572.7525787415        8.949958e-16                       |         3.49703851e+14      2.19402146e-29                    
     8577.7525787415         9.20316e-16                       |         3.49500007e+14      2.25872469e-29                    
     8582.7525787415        9.388574e-16                       |         3.49296401e+14      2.30691777e-29                    
     8587.7525787415        9.686577e-16                       |         3.49093032e+14      2.38291569e-29                    
     8592.7525787415         9.30509e-16                       |         3.48889900e+14      2.29173547e-29                    
     8597.7525787415        9.094368e-16                       |         3.48687004e+14      2.24244451e-29                    
     8602.7525787415         9.38599e-16                       |         3.48484344e+14      2.31704382e-29                    
     8607.7525787415        9.482574e-16                       |         3.48281919e+14      2.34360862e-29                    
     8612.7525787415        9.448501e-16                       |         3.48079730e+14      2.33790119e-29                    
     8617.7525787415         9.53882e-16                       |         3.47877775e+14      2.36299059e-29                    
     8622.7525787415        9.993546e-16                       |         3.47676054e+14      2.47851049e-29                    
     8627.7525787415         1.03234e-15                       |         3.47474567e+14      2.56328806e-29                    
     8632.7525787415        9.742247e-16                       |         3.47273313e+14      2.42179300e-29                    
     8637.7525787415        9.442821e-16                       |         3.47072293e+14      2.35007960e-29                    
     8642.7525787415        8.961051e-16                       |         3.46871504e+14      2.23276186e-29                    
     8647.7525787415        8.868854e-16                       |         3.46670949e+14      2.21234734e-29                    
     8652.7525787415         8.52328e-16                       |         3.46470625e+14      2.12860277e-29                    
     8657.7525787415         8.28442e-16                       |         3.46270532e+14      2.07134168e-29                    
     8662.7525787415        8.005249e-16                       |         3.46070670e+14      2.00385347e-29                    
     8667.7525787415        7.761003e-16                       |         3.45871039e+14      1.94495769e-29                    
     8672.7525787415        7.972361e-16                       |         3.45671638e+14      2.00023105e-29                    
     8677.7525787415        8.404568e-16                       |         3.45472467e+14      2.11110200e-29                    
     8682.7525787415        8.886766e-16                       |         3.45273525e+14      2.23479603e-29                    
     8687.7525787415        8.897435e-16                       |         3.45074812e+14      2.24005668e-29                    
     8692.7525787415        8.630067e-16                       |         3.44876328e+14      2.17524460e-29                    
     8697.7525787415        8.488058e-16                       |         3.44678072e+14      2.14191254e-29                    
     8702.7525787415        8.493471e-16                       |         3.44480044e+14      2.14574336e-29                    
     8707.7525787415        8.820281e-16                       |         3.44282243e+14      2.23086802e-29                    
     8712.7525787415        8.931518e-16                       |         3.44084669e+14      2.26159761e-29                    
     8717.7525787415        9.243087e-16                       |         3.43887322e+14      2.34317872e-29                    
     8722.7525787415        9.154183e-16                       |         3.43690201e+14      2.32330375e-29                    
     8727.7525787415        9.183929e-16                       |         3.43493306e+14      2.33352611e-29                    
     8732.7525787415        8.956396e-16                       |         3.43296637e+14      2.27832090e-29                    
     8737.7525787415        8.701667e-16                       |         3.43100192e+14      2.21605860e-29                    
     8742.7525787415        8.507826e-16                       |         3.42903973e+14      2.16917340e-29                    
     8747.7525787415        8.970434e-16                       |         3.42707977e+14      2.28973769e-29                    
     8752.7525787415        9.502976e-16                       |         3.42512206e+14      2.42844478e-29                    
     8757.7525787415        1.000128e-15                       |         3.42316658e+14      2.55870504e-29                    
     8762.7525787415        9.570476e-16                       |         3.42121333e+14      2.45128571e-29                    
     8767.7525787415        9.235625e-16                       |         3.41926231e+14      2.36822062e-29                    
     8772.7525787415        8.809136e-16                       |         3.41731351e+14      2.26143637e-29                    
     8777.7525787415        8.689362e-16                       |         3.41536693e+14      2.23323207e-29                    
     8782.7525787415         8.91501e-16                       |         3.41342257e+14      2.29383633e-29                    
     8787.7525787415        9.290407e-16                       |         3.41148042e+14      2.39314866e-29                    
     8792.7525787415        9.460078e-16                       |         3.40954049e+14      2.43962861e-29                    
     8797.7525787415        9.258638e-16                       |         3.40760275e+14      2.39039619e-29                    
     8802.7525787415        8.802695e-16                       |         3.40566722e+14      2.27526476e-29                    
     8807.7525787415        8.745965e-16                       |         3.40373388e+14      2.26317034e-29                    
     8812.7525787415        8.759411e-16                       |         3.40180274e+14      2.26922393e-29                    
     8817.7525787415         8.91518e-16                       |         3.39987379e+14      2.31219911e-29                    
     8822.7525787415        8.743093e-16                       |         3.39794703e+14      2.27013975e-29                    
     8827.7525787415        8.595635e-16                       |         3.39602245e+14      2.23438273e-29                    
     8832.7525787415        8.540874e-16                       |         3.39410004e+14      2.22266362e-29                    
     8837.7525787415        8.754395e-16                       |         3.39217981e+14      2.28081002e-29                    
     8842.7525787415        9.070752e-16                       |         3.39026176e+14      2.36590627e-29                    
     8847.7525787415        9.519713e-16                       |         3.38834587e+14      2.48581663e-29                    
     8852.7525787415        9.831165e-16                       |         3.38643214e+14      2.57004622e-29                    
     8857.7525787415         9.77525e-16                       |         3.38452058e+14      2.55831642e-29                    
     8862.7525787415        9.375603e-16                       |         3.38261117e+14      2.45649427e-29                    
     8867.7525787415        9.077257e-16                       |         3.38070392e+14      2.38100914e-29                    
     8872.7525787415        8.754177e-16                       |         3.37879882e+14      2.29885385e-29                    
     8877.7525787415        8.442642e-16                       |         3.37689586e+14      2.21954392e-29                    
     8882.7525787415        8.365664e-16                       |         3.37499504e+14      2.20178467e-29                    
     8887.7525787415        8.818572e-16                       |         3.37309636e+14      2.32360056e-29                    
     8892.7525787415        9.245114e-16                       |         3.37119982e+14      2.43873148e-29                    
     8897.7525787415        9.404543e-16                       |         3.36930541e+14      2.48357707e-29                    
     8902.7525787415        9.166619e-16                       |         3.36741313e+14      2.42346685e-29                    
     8907.7525787415        8.837506e-16                       |         3.36552297e+14      2.33908125e-29                    
     8912.7525787415        8.500209e-16                       |         3.36363493e+14      2.25233300e-29                    
     8917.7525787415        8.416585e-16                       |         3.36174901e+14      2.23267776e-29                    
     8922.7525787415        8.656929e-16                       |         3.35986520e+14      2.29900996e-29                    
     8927.7525787415        8.754551e-16                       |         3.35798351e+14      2.32754167e-29                    
     8932.7525787415        8.629445e-16                       |         3.35610391e+14      2.29685072e-29                    
     8937.7525787415         8.43186e-16                       |         3.35422643e+14      2.24677374e-29                    
     8942.7525787415        8.340986e-16                       |         3.35235104e+14      2.22504664e-29                    
     8947.7525787415        8.447546e-16                       |         3.35047775e+14      2.25599324e-29                    
     8952.7525787415        8.536695e-16                       |         3.34860655e+14      2.28234990e-29                    
     8957.7525787415        8.819941e-16                       |         3.34673744e+14      2.36071251e-29                    
     8962.7525787415        9.154278e-16                       |         3.34487041e+14      2.45293595e-29                    
     8967.7525787415        9.247646e-16                       |         3.34300547e+14      2.48071988e-29                    
     8972.7525787415        8.890962e-16                       |         3.34114260e+14      2.38769821e-29                    
     8977.7525787415        8.525857e-16                       |         3.33928181e+14      2.29220051e-29                    
     8982.7525787415        8.611026e-16                       |         3.33742309e+14      2.31767786e-29                    
     8987.7525787415        8.913065e-16                       |         3.33556644e+14      2.40164375e-29                    
