                         id                redshift                   FUV                FUV_err                   NUV               NUV_err               u_prime           u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err              J_2mass           J_2mass_err              H_2mass           H_2mass_err             Ks_2mass         Ks_2mass_err                WISE1            WISE1_err               IRAC1            IRAC1_err               IRAC2             IRAC2_err                WISE2            WISE2_err               IRAC3            IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3            WISE3_err               WISE4           WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err             PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err             PLW_ext         PLW_ext_err 
                      M  84                 0.00327    0.7200916729404949    0.17696908225168853    3.0804883431037724    0.7659545298792039     168.0749986730516    23.826321677602525   276.86499935186777    28.986469096211426    546.3376212349783     59.85711885422423    457.6099968398921     72.54239244919543    721.0112630273215     164.0652401263977                  nan                   nan   1214.1266842683156    242.15384525065082    763.1357269627707    184.5478150705003   457.67308149429465    55.96049815172961               412.5    90.61160246536637  175.06666666666666       49.499226061498   304.27307501664524   41.915363606890914  111.39999999999999    30.50671475473064             105.875    21.76119675089125  178.12500163912776   46.83532363380675                44.0    5.131237667463864                36.1   4.209947268078307   58.58750036656857   10.06209705431267  184.99999928474426   56.76136260833115  484.91666493813193    91.2269346113648                 nan                 nan    596.999993165334   76.22886599732537  1002.9166744152707   302.9169400648005  2390.0000351667404  475.51549263200695    586.833343664805   98.18087270347712   4257.249997138977   952.5045783227084  239.83333381017047   36.30086435626611  139.66666730244955  17.048489420915264  125.24999998509884  16.673800379058125 
                  NGC   262    0.015260233939595302   0.19701666860040276   0.027862364474825513    0.4016666728500277   0.05680424562977863    2.6366666425019503    0.2691098469425407   3.7700000684708357    0.4057450001696891     7.50999990850687    0.7658727216111312   18.175000130819775     1.853493606532029   27.443333878181875    2.7986818992578266    22.31999970972538     4.018933264297558   27.833333487311997     6.364506433603807    25.73846194606561    5.770154133425786    55.02166668723027    6.416573832549038   47.00000040233135     5.47659797485551                74.2     9.218313294741073     90.8333339681228   10.592896016330833                98.3   11.230040071166265               180.0   19.182202688951026   309.0000011920929   40.52122912868693   276.3888912068473    32.23220657793516   674.9166642824808   78.70813204921203                 nan                 nan   837.4999868869781   85.82163050603916  1289.9999809265137  164.93938195994394   808.0000281333923  114.26845981840857                 nan                 nan   1549.999976158142  232.64834351304896                 nan                 nan                 nan                 nan   995.0000047683716  140.71425013047252  1330.0000429153442  223.80572186954507   711.0000252723694  130.97790027089724                 nan                 nan 
            IRAS 04385-0828                0.015064                   nan                    nan                   nan                   nan                   nan                   nan   1.0020000190706924   0.10899674482376379    2.343500091228634    0.2398768992126715   3.5649999044835567    0.4272496263189445   1.8400000408291817   0.19686544009173856    8.709166664630175    1.6709266281897643   13.528333200762669     2.911933743732344   18.809090283784002   2.9979691034244547    52.93939418241833     6.17374121639869  53.900000000000006    7.211345963826725               109.0    12.461605033060549   120.56666661302248     14.0603686628477  174.00000000000003    19.19204639948539               356.0    37.16749117172156  435.99999845027924   51.92504199792654  369.03333534797036   43.036312520166575   1267.888901895947     147.85998389927              1320.0   142.1683509083509  1644.9999785423279   177.3353089320979   2860.000023841858   335.0074646388559                 nan                 nan                 nan                 nan   2335.000052452087    336.336516675654                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                    IC 4553                  0.0184   0.08233333452759932    0.01917779385441401   0.35633333027362823   0.05039314283985364    2.0955496549475456   0.22184474904949658    6.090174537533597     0.679672043604038   10.203299961905577     1.118757371497813   25.357447133682115     2.630585280156735    37.41616512504118    3.8774389504068894    46.18781277291709     5.730082105224731    54.43269227198683     6.909862959917066   57.573076945084786    6.824015905498428    36.39090893742713    4.261201532367925                 nan                  nan                 nan                   nan   35.643181868574835    4.156673577097642                 nan                  nan                 nan                  nan   569.9999957680701   63.79780516049827   468.1999985575676   54.601033375116316   4932.500047683716    575.223409987318   5550.000190734863   753.7406856283998    7929.16664759318   818.4822834302621  103833.33333333334  10776.249631068833            139000.0  19657.568516986023             75000.0  10606.601717798212  112833.33333333334  11507.315471521199                 nan                 nan  54900.001525878906    8661.99178453865             86300.0   12204.66304327981             30500.0   3903.703369878403             12250.0   1581.336460086847              3885.0  498.53008936271846 
                  NGC  5252                 0.02294   0.15100000018719584   0.025690660042463512   0.14920000226432456   0.02110006667083043    2.4221083604061278   0.27251805280291835    10.06999984383583    1.0298417201437007    22.69034634250252      2.31397037541198    38.05416667213043    3.8807787686941055   50.888884971545146    5.1896683498977465     24.9461536653913     4.705114814704292    32.89230762479397     6.329221013907327   19.930000323802233    4.351097266004756    61.28888949751854     7.15844115329678                 nan                  nan                 nan                   nan    71.93333490027322    8.388796308785794                 nan                  nan                 nan                  nan                 nan                 nan   84.01428588799068    9.797665189853081  135.87500527501106  16.019368939017756                 nan                 nan                 nan                 nan   560.0000023841858   89.64373947299879   340.9999907016754   48.22468116194087                 nan                 nan  1700.0000476837158  254.95097885916493                 nan                 nan                 nan                 nan   298.0000078678131   42.28522255933113  395.00001072883606  60.603218435639256                 nan                 nan                 nan                 nan 
                   Mrk  279                0.030601    3.8799999747425318     0.5487148586288154     4.335000179708004    0.6130616047032863                   nan                   nan    3.864999976940453    0.4718921997845451    4.944250023982022    0.5915093684081976    7.324999896809459    0.8805715387647877    5.289999768137932    0.9590834038127204    23.87647034929079     3.278850223549405   36.970587995122465     4.806063289319783   48.620000233252846     6.06786966330754    23.49090921309861   2.7394872317551253                51.9    5.418519078124576                62.6     6.535631874578005   30.095454471626066   3.5097029455511697   79.19999999999999    8.268722755057155               113.0   11.797546355068922                 nan                 nan  133.83333113458423    15.60751431545325  359.33333081669275  41.905107324133354                 nan                 nan                 nan                 nan              1260.0  140.78295351355575   851.9999980926514  120.49099524444787                 nan                 nan              2200.0  268.54422354614144                 nan                 nan                 nan                 nan   822.0000267028809  116.24835860342604  342.00000762939453   41.74642113709555  131.99999928474426  16.560193178575087                 nan                 nan 
                   Mrk 1239    0.019596890592891433                   nan                    nan                   nan                   nan     1.660555549379852   0.16934410299385305   4.4900000328198075    0.4652698156875044    8.498888837897944    0.8667200005659504    8.542500087060034     1.346474389783493    7.040000054985285     0.717941953121285   22.426666567722958    3.4452218956970806    46.36666725079218     7.393827010337263    88.75000210744994   11.769266333373544     180.333331671026   21.030299640218704               234.0   24.933754229959035               277.0    29.518299409010677   260.79999935626984     30.4142450084419               344.0   35.914654390652295               500.0    52.20153254455275   675.4999876022339   82.66386654703602     538.44445432557    62.79287422437252   924.9374898076057  107.86532017614229                 nan                 nan   1175.000019073486   131.7148926592089  1369.9999833106995   160.7987858869375                 nan                 nan                 nan                 nan  1070.0000524520874  262.77176622018334                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                  NGC   612                0.029911    0.1049999991664663   0.015206906268192068   0.24449999909847975  0.034577521472527954                   nan                   nan    2.579999971203506   0.26610899743169325    5.554999923333526    0.5833354450762912    9.574999799951911    0.9896116469053865                  nan                   nan    36.02999933063984     4.804082548032653    40.98000042140484     7.818158543072703    34.36363623900847    6.192623947910249     32.2777780269583   3.7642034189537705                 nan                  nan                 nan                   nan    21.92222238365147   2.5565484829434517                 nan                  nan                 nan                  nan  203.33333583672842   36.34731014291041   98.04166522870462   11.433524672782076  118.16666680574417  13.780482994370145                 nan                 nan  154.83333190282187  35.865841781300695  1649.9999976158142  235.85983056077603                 nan                 nan                 nan                 nan    5302.49990940094   724.2268654348112                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                  NGC  7479    0.007967227179902725     5.495000024437905     0.7771103559800574     9.944999785423278     1.406435357434312     6.437999941408634    0.6565497465950366   12.650874952669255     1.427686457280327   23.657636767232113    2.8313484905790407    35.67568715516245     4.245701356965578    1.016979971609544   0.29129963056312286   100.47777742147446    12.718798536617411    135.3781240468379     16.45571227649327    85.90714314154216   14.207053513448528    46.12333342929681    5.378858769122796                23.3   2.4325914165761584   39.49999999999999     4.123921071019667    82.31818274530498    9.599867273179155                 nan                  nan               187.0    19.52337317166273   1221.416655222575  136.23104182463942   502.3888891670438      58.588108904756   2325.166622797648  271.15869450065986  2474.9999999999995  266.56565795315794   3822.500014305115   419.3928988395037  14399.999936421711  1879.0224265661534  14300.000190734863   2022.325421167509                 nan                 nan   24937.50006357829   3143.546137996822                 nan                 nan                 nan                 nan             26000.0  3676.9552621700473  17299.999237060547   2111.734028393302   7510.000228881836   916.7123546801896   2690.000057220459   328.3563530478838 
                  NGC  3735                 0.00901    3.1900000758469105    0.45113413712339023     4.549999876568715    0.6434671534239386     5.501999985426664    0.5610961057895556   13.485999987460673    1.3911674801939646   27.538999542593956    2.8084379210501873    64.69399956986308     6.597519324381901   2.7699999045580626    0.3303467794795596     74.3454559282823     8.988463129111556   102.32727381993425    13.050621045536417    61.78333284333348     9.13574300441867     50.1041670622925    5.843099757430399                 nan                  nan              12.125    1.2658871642054044    38.47777809202671    4.487241461502803                 nan                  nan                49.5    5.167951721910723   656.6666523615519   75.62230770901714  241.52083459248146   28.165927362232964   593.8333407924289   69.25227287431858               386.0   41.57347231107837  1068.3333190282185  118.34610600040246   6813.333237965901   721.2819130656953                 nan                 nan                 nan                 nan   18483.33314259847   1958.331442989871                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
