Ind#:8199, Id(SIMBAD): Mrk  334
Ind#:8202, Id(SIMBAD): Mrk  273
Ind#:8244, Id(SIMBAD): 2MASX J08584172+1041223
Ind#:8339, Id(SIMBAD): 2MASSI J0918486+211717
Ind#:8396, Id(SIMBAD): ESO 420-13
Ind#:8406, Id(SIMBAD): IRAS F08216+3009
Ind#:8491, Id(SIMBAD): Mrk  817
Ind#:8493, Id(SIMBAD): ICRF J130533.0-103319
Ind#:8607, Id(SIMBAD): NGC   612
Ind#:8608, Id(SIMBAD): NGC  1058
Ind#:8644, Id(SIMBAD): 4C 23.43
Ind#:8650, Id(SIMBAD): 3C 196
Ind#:8651, Id(SIMBAD): NGC  6890
Ind#:8695, Id(SIMBAD): IC 4518A
Ind#:8702, Id(SIMBAD): PG 0953+414
Ind#:8704, Id(SIMBAD): Ton  1565
Ind#:8707, Id(SIMBAD): Ton  1388
Ind#:8729, Id(SIMBAD): 2MASS J14025120+2631175
Ind#:8779, Id(SIMBAD): IRAS 17002+5153
Ind#:8843, Id(SIMBAD): IRAS 15091-2107
Ind#:8921, Id(SIMBAD): ESO  12-21
Ind#:9073, Id(SIMBAD): SDSS J231812.99-004126.1
Ind#:9094, Id(SIMBAD): NGC  4941
Ind#:9104, Id(SIMBAD): Mrk    9
Ind#:9147, Id(SIMBAD): ESO 198-24
Ind#:9238, Id(SIMBAD): NGC  2622
Ind#:9346, Id(SIMBAD): IC 1065
Ind#:9348, Id(SIMBAD): Mrk  335
Ind#:9399, Id(SIMBAD): NGC   513
Ind#:9406, Id(SIMBAD): NGC  1204
Ind#:9411, Id(SIMBAD): ESO 383-35
Ind#:9500, Id(SIMBAD): NGC  1320
Ind#:9506, Id(SIMBAD): UGC  3601
Ind#:9513, Id(SIMBAD): NGC  3783
Ind#:9515, Id(SIMBAD): NGC  5135
Ind#:9518, Id(SIMBAD): ESO 140-43
Ind#:9519, Id(SIMBAD): NGC  7410
Ind#:9643, Id(SIMBAD): NGC  1667
Ind#:9714, Id(SIMBAD): Mrk  618
Ind#:9718, Id(SIMBAD): Mrk  863
Ind#:9719, Id(SIMBAD): NGC  7682
Ind#:9756, Id(SIMBAD): M  84
Ind#:9761, Id(SIMBAD): NGC  4074
Ind#:9766, Id(SIMBAD): LEDA 1365424
Ind#:9769, Id(SIMBAD): NGC  3735
Ind#:9865, Id(SIMBAD): MCG-01-24-012
Ind#:9881, Id(SIMBAD): Z 121-75
Ind#:9883, Id(SIMBAD): ESO 263-13
Ind#:9885, Id(SIMBAD): NGC  3998
Ind#:9896, Id(SIMBAD): NGC  4395
Ind#:9898, Id(SIMBAD): NGC  6300
Ind#:9899, Id(SIMBAD): ESO 103-35
Ind#:9920, Id(SIMBAD): ICRF J015002.6-072548
Ind#:9922, Id(SIMBAD): NGC  2639
Ind#:9925, Id(SIMBAD): Mrk 1457
Ind#:9947, Id(SIMBAD): NGC  4939
Ind#:9967, Id(SIMBAD): Mrk  841
Ind#:10211, Id(SIMBAD): NGC  6951
Ind#:10393, Id(SIMBAD): NGC  5990
Ind#:10402, Id(SIMBAD): ESO 445-50
Ind#:10487, Id(SIMBAD): NGC  1142
Ind#:10618, Id(SIMBAD): Mrk 1298
Ind#:10635, Id(SIMBAD): Mrk 1095
Ind#:10647, Id(SIMBAD): M  49
Ind#:10674, Id(SIMBAD): IRAS 04385-0828
Ind#:10676, Id(SIMBAD): NGC  4253
Ind#:10678, Id(SIMBAD): NGC  4602
Ind#:10699, Id(SIMBAD): NGC   185
Ind#:10719, Id(SIMBAD): NGC  2685
Ind#:10720, Id(SIMBAD): NGC  3081
Ind#:10722, Id(SIMBAD): NGC  2273
Ind#:10723, Id(SIMBAD): NGC  4051
Ind#:10725, Id(SIMBAD): NGC  6221
Ind#:10728, Id(SIMBAD): NGC  4725
Ind#:10730, Id(SIMBAD): NGC  6814
Ind#:10731, Id(SIMBAD): NGC  7172
Ind#:10767, Id(SIMBAD): Mrk  705
Ind#:10798, Id(NED): 3C 459
Ind#:10799, Id(SIMBAD): LEDA   68751
Ind#:10805, Id(SIMBAD): Mrk   79
Ind#:10806, Id(SIMBAD): Mrk  573
Ind#:10817, Id(SIMBAD): NGC  5548
Ind#:10846, Id(SIMBAD): IC  486
Ind#:10887, Id(SIMBAD): IC 2560
Ind#:10901, Id(SIMBAD): NGC   424
Ind#:10929, Id(SIMBAD): M 106
Ind#:10968, Id(SIMBAD): NGC  5252
Ind#:10972, Id(SIMBAD): IC 4553
Ind#:10985, Id(SIMBAD): UGC 12282
Ind#:11040, Id(SIMBAD): LEDA   89032
Ind#:11089, Id(SIMBAD): NGC  6240
Ind#:11102, Id(SIMBAD): LEDA   90196
Ind#:11107, Id(SIMBAD): NGC   262
Ind#:11138, Id(SIMBAD): NGC  7679
Ind#:11188, Id(SIMBAD): Mrk  352
Ind#:11193, Id(SIMBAD): ESO 417-6
Ind#:11194, Id(SIMBAD): NGC  1194
Ind#:11197, Id(SIMBAD): Mrk    3
Ind#:11210, Id(SIMBAD): IC 5063
Ind#:11220, Id(SIMBAD): NGC  3976
Ind#:11221, Id(SIMBAD): NGC  5273
Ind#:11223, Id(SIMBAD): NGC  5899
Ind#:11229, Id(SIMBAD): NGC  7592
Ind#:11244, Id(SIMBAD): IC 5298
Ind#:11295, Id(SIMBAD): NGC  4507
Ind#:11296, Id(SIMBAD): NGC  4477
Ind#:11297, Id(SIMBAD): UGC  6728
Ind#:11298, Id(SIMBAD): NGC  7319
Ind#:11313, Id(SIMBAD): MCG-02-08-039
Ind#:11337, Id(SIMBAD): ESO   5-4
Ind#:11958, Id(SIMBAD): Mrk 1073
Ind#:11969, Id(SIMBAD): ESO 253-3
Ind#:12068, Id(SIMBAD): NGC  4945
Ind#:12116, Id(SIMBAD): NGC    34
Ind#:12117, Id(SIMBAD): NGC  7674
Ind#:12119, Id(SIMBAD): UGC  7064
Ind#:12120, Id(SIMBAD): UGC  5101
Ind#:12121, Id(SIMBAD): NGC  7469
Ind#:12127, Id(SIMBAD): ESO 339-11
Ind#:12593, Id(SIMBAD): NGC  7314
Ind#:13540, Id(SIMBAD): 3C  22.0
Ind#:13635, Id(SIMBAD): LEDA  165618
Ind#:14483, Id(SIMBAD): IRAS 11119+3257
Ind#:15767, Id(SIMBAD): 2MASS J15011320+2329082
Ind#:16931, Id(SIMBAD): NGC  3367
Ind#:17348, Id(SIMBAD): NGC  4968
Ind#:17383, Id(SIMBAD): NGC   660
Ind#:17416, Id(SIMBAD): Z  41-20
Ind#:17849, Id(SIMBAD): M  58
Ind#:18256, Id(SIMBAD): NGC  6926
Ind#:18259, Id(SIMBAD): NGC   973
Ind#:18540, Id(SIMBAD): NGC  4138
Ind#:18545, Id(SIMBAD): NGC  5395
Ind#:18552, Id(SIMBAD): NGC  7603
Ind#:18553, Id(SIMBAD): NGC  7213
Ind#:18555, Id(SIMBAD): UGC  1395
Ind#:18595, Id(SIMBAD): NGC   863
Ind#:18631, Id(SIMBAD): 2MASS J08105865+7602424
Ind#:18640, Id(SIMBAD): ICRF J052109.8+163822
Ind#:18643, Id(NED): PG 0947+396
Ind#:18660, Id(SIMBAD): ESO 121-28
Ind#:18682, Id(SIMBAD): Ton  182
Ind#:18684, Id(SIMBAD): 2MASX J14510879+2709272
Ind#:18702, Id(SIMBAD): NGC  1566
Ind#:18703, Id(SIMBAD): Mrk  704
Ind#:18726, Id(SIMBAD): 7C 1821+6419
Ind#:18837, Id(SIMBAD): NGC  4922
Ind#:19110, Id(NED): WISEA J151653.23+190048.3
Ind#:19325, Id(SIMBAD): IC 3639
Ind#:19330, Id(SIMBAD): Mrk  609
Ind#:19724, Id(SIMBAD): ESO 602-25
Ind#:19751, Id(SIMBAD): NGC  1358
Ind#:19754, Id(SIMBAD): NGC  3147
Ind#:19760, Id(SIMBAD): NGC  1056
Ind#:19785, Id(SIMBAD): ESO 511-30
Ind#:19862, Id(SIMBAD): SDSS J032845.99+011150.8
Ind#:20091, Id(SIMBAD): NGC  5643
Ind#:20222, Id(NED): SHOC 198
Ind#:20556, Id(SIMBAD): 3C 343.1
Ind#:20672, Id(NED): SBS 1626+554
Ind#:20880, Id(SIMBAD): 2MASX J08035923+2345201
Ind#:20905, Id(SIMBAD): NGC  3660
Ind#:21102, Id(SIMBAD): LEDA   24384
Ind#:21178, Id(SIMBAD): LEDA 2816291
Ind#:21480, Id(NED): WISEA J135356.02+664800.5
Ind#:21547, Id(SIMBAD): SDSS J143417.15+020742.3
Ind#:22143, Id(SIMBAD): 2MASX J22041914+0333511
Ind#:23573, Id(SIMBAD): SWIFT J0624.1-6059
Ind#:24247, Id(NED): WISEA J114540.46-182714.8
Ind#:24248, Id(SIMBAD): Mrk  926
Ind#:26682, Id(NED): WISEA J000703.61+155423.7
Ind#:26683, Id(NED): PG 1048+342
Ind#:26696, Id(SIMBAD): LEDA   45656
Ind#:26699, Id(SIMBAD): LEDA  101275
Ind#:28358, Id(SIMBAD): 2MASX J14254352+3345275
Ind#:28428, Id(SIMBAD): 2MASX J14304627+3513133
Ind#:28429, Id(SIMBAD): 2MASX J14305363+3458364
Ind#:29395, Id(SIMBAD): 2MASS J16370022+2221140
Ind#:30118, Id(SIMBAD): 2XMM J094046.2+033929
Ind#:30577, Id(SIMBAD): 2MASS J10520202+5633010
Ind#:30975, Id(SIMBAD): 2XMM J094506.4+035552
Ind#:30978, Id(SIMBAD): 2MASX J10032788+5541535
Ind#:31363, Id(SIMBAD): 2XMM J115657.8+550820
Ind#:31631, Id(SIMBAD): 2MASS J10272497+1219196
Ind#:33898, Id(SIMBAD): [LGE2006] 12
Ind#:34205, Id(SIMBAD): NGC  5347
Ind#:34225, Id(SIMBAD): MCG-03-58-007
Ind#:34258, Id(SIMBAD): 2MASX J12390630-1610472
Ind#:34298, Id(SIMBAD): IRAS 11215-2806
Ind#:34350, Id(SIMBAD): Mrk  883
Ind#:34558, Id(SIMBAD): IRAS F00183-7111
Ind#:34565, Id(SIMBAD): LEDA   37102
Ind#:34768, Id(SIMBAD): 2MASX J00215355-7910077
Ind#:34890, Id(SIMBAD): SDSS J120424.54+192509.7
Ind#:35627, Id(SIMBAD): 2MASS J10434845+5811477
Ind#:36056, Id(SIMBAD): 2XMM J142930.6+425148
Ind#:36223, Id(SIMBAD): SDSS J161647.32+371621.2
Ind#:36783, Id(SIMBAD): IRAS 03450+0055
Ind#:36859, Id(NED): WISEA J145331.51+135358.6
Ind#:36892, Id(SIMBAD): 3C 265.0
Ind#:37238, Id(SIMBAD): LEDA   50824
Ind#:37551, Id(SIMBAD): LEDA   17155
Ind#:38014, Id(SIMBAD): ESO 506-27
Ind#:38202, Id(SIMBAD): LEDA  178130
Ind#:38434, Id(NED): WISEA J183835.40+355220.1
Ind#:38491, Id(NED): WISEA J134133.37-002432.1
Ind#:38612, Id(SIMBAD): 3C 343
Ind#:38626, Id(SIMBAD): LEDA 3095998
Ind#:38635, Id(SIMBAD): Mrk   22
Ind#:38636, Id(SIMBAD): Mrk 1066
Ind#:39135, Id(SIMBAD): 2XMM J135315.8+634546
Ind#:39136, Id(SIMBAD): 2E  2389
