No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
112,2700 MHz,2.16,+/-.03,Jy,2700000000.0,2.16,0.03,0.03,,,+/-3.00E-02,Jy,1975AuJPA..38....1W,uncertainty,2700   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
113,2700 MHz,2.1,,Jy,2700000000.0,2.1,,,,,,Jy,1990PKS90.C...0000W,no uncertainty reported,2700   MHz,Broad-band measurement,01 33 40.2 +20 42 11 (B1950),Integrated from scans,,Homogenized from new and previously published data
114,2695 MHz,2.08,+/-.04,Jy,2700000000.0,2.08,0.04,0.04,,,+/-4.00E-02,Jy,1981A&AS...45..367K,uncertainty,2695   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.011,Recalibrated data
115,2695 MHz,2.06,+/-5   %,Jy,2700000000.0,2.06,0.1,0.1,,,+/-1.00E-01,Jy,1969ApJ...157....1K,rms uncertainty,2695       MHz,Broad-band measurement,,Flux integrated from map,,From new raw data
116,2695 MHz,2.083,+/-0.040,Jy,2700000000.0,2.08,0.04,0.04,,,+/-4.00E-02,Jy,1980MNRAS.190..903L,uncertainty,2695       MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
117,2650 MHz,2.22,+/-.02,Jy,2650000000.0,2.22,0.02,0.02,,,+/-2.00E-02,Jy,1975AuJPA..38....1W,uncertainty,2650   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
118,1410 MHz,3.6,,Jy,1410000000.0,3.6,,,,,,Jy,1990PKS90.C...0000W,no uncertainty reported,1410   MHz,Broad-band measurement,01 33 40.2 +20 42 11 (B1950),Integrated from scans,,Homogenized from new and previously published data
119,1410 MHz,3.94,+/-.11,Jy,1410000000.0,3.94,0.11,0.11,,,+/-1.10E-01,Jy,1981A&AS...45..367K,uncertainty,1410   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.017,Recalibrated data
120,1400 MHz,3.7,+/-.20,Jy,1400000000.0,3.7,0.2,0.2,,,+/-2.00E-01,Jy,1981A&AS...45..367K,uncertainty,1400   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.029,Recalibrated data
121,1400 MHz,3.85,+/-.10,Jy,1400000000.0,3.85,0.1,0.1,,,+/-1.00E-01,Jy,1981A&AS...45..367K,uncertainty,1400   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.029,Recalibrated data
122,1400 MHz,3.6,+/-5   %,Jy,1400000000.0,3.6,0.18,0.18,,,+/-1.80E-01,Jy,1969ApJ...157....1K,rms uncertainty,1400       MHz,Broad-band measurement,,Flux integrated from map,,From new raw data
123,1400 MHz,3.694,+/-0.093,Jy,1400000000.0,3.69,0.093,0.093,,,+/-9.30E-02,Jy,1980MNRAS.190..903L,uncertainty,1400       MHz,Broad-band measurement,,Total flux,,Homogenized from previously published data
124,1400 MHz (NRAO),3.75,+/-0.06,Jy,1400000000.0,3.75,0.06,0.06,,,+/-6.00E-02,Jy,1966ApJS...13...65P,internal error,1400       MHz,Broad-band measurement,013340.1 +204155. (B1950),Peak flux,,From new raw data
125,960 MHz,6.09,+/-.15,Jy,960000000.0,6.09,0.15,0.15,,,+/-1.50E-01,Jy,1981A&AS...45..367K,uncertainty,960   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.029,Recalibrated data
126,750 MHz,6.7,+/-5   %,Jy,750000000.0,6.7,0.34,0.34,,,+/-3.40E-01,Jy,1969ApJ...157....1K,rms uncertainty,750        MHz,Broad-band measurement,,Flux integrated from map,,From new raw data
127,750 MHz,7.0,+/-.40,Jy,750000000.0,7.0,0.4,0.4,,,+/-4.00E-01,Jy,1981A&AS...45..367K,uncertainty,750   MHz,Broad-band measurement,013340.30 +204216.0 (B1950),Not reported in paper,Recal. to Baars scale by factor of 1.046,Recalibrated data
