No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),9.79e-11,+/-0.62E-11,erg/s/cm^2^,2.53e+19,3.87e-07,2.45e-08,2.45e-08,,,+/-2.45E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,189.924 -05.313 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Suzaku),-10.1,,log(erg/s/cm^2^),2.53e+19,3.14e-07,,,,,,Jy,2012ApJ...745..107W,no uncertainty reported,104.50 keV,Broad-band measurement,12 39 39.4 -05 20 39.1 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),9.1e-11,,erg/cm^2^/s,2.53e+19,3.6e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,189.9142 -05.3442 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
4,14-195 keV (Swift),8.74e-11,,erg/cm^2^/s,2.53e+19,3.45e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,14-195 keV (Swift),8.81e-11,,erg/cm^2^/s,2.53e+19,3.48e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,14-195 keV (Swift),8.83e-11,+/-85.65E-12,erg/s/cm^2^,2.53e+19,3.49e-07,3.39e-07,3.39e-07,,,+/-3.39E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,189.91155950 -05.34149135 (J2000),From fitting to map,S/N = 39.65 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
7,15-150 keV (Swift),7.6e-11,+/-3.5e-12,erg/cm^2^/s,1.99e+19,3.82e-07,1.76e-08,1.76e-08,,,+/-1.76E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,189.909 -05.338 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,14-150 keV (Swift),7.65e-11,,erg/cm^2^/s,1.98e+19,3.86e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,40-100 keV INTEGRAL,3.77e-11,+/-4.71E-12,erg cm^-2^ s^-1^,1.69e+19,2.23e-07,2.79e-08,2.79e-08,,,+/-2.79E-08,Jy,2006ApJ...636..765B,uncertainty,70   keV,Broad-band measurement,189.927 -5.353 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
10,40-100 keV INTEGRAL,3.39e-11,+/-0.16E-11,erg cm^-2^ s^-1^,1.69e+19,2.01e-07,9.47e-09,9.47e-09,,,+/-9.47E-09,Jy,2006ApJ...638..642B,uncertainty,70   keV,Broad-band measurement,12 39 39 -05 20 39 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
11,40-100 keV INTEGRAL,4.3,+/-0.3,milliCrab,1.69e+19,2.4e-07,1.67e-08,1.67e-08,,,+/-1.67E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,189.905 -05.353 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
12,40-100 keV INTEGRAL,4.1e-11,,erg/cm^2^/s,1.69e+19,2.43e-07,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,189.91430 -5.34425 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
13,20-100 keV INTEGRAL,7.23e-11,,erg/s/cm^2^,1.45e+19,4.99e-07,,,,,,Jy,2009MNRAS.399..944M,no uncertainty reported,60.00 keV,Broad-band measurement,12 39 39.42 -05 20 39.3 (J2000),Flux integrated from map,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
14,20-100 keV (RXTE),6.29e-11,,erg/cm^2^/s,1.45e+19,4.34e-07,,,,,,Jy,2011ApJS..193....3R,no uncertainty reported,60.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
15,20-60 keV (INTEGRAL),4.48e-11,+/-0.12E-11,erg/s/cm^2^,9.67e+18,4.63e-07,1.24e-08,1.24e-08,,,+/-1.24E-08,Jy,2008A&A...485..707P,uncertainty,40.00 keV,Broad-band measurement,12 39 37 -05 21 02 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
16,17-60 keV (INTEGRAL),5.86e-11,+/-0.25E-11,erg s^-1^ cm^-2^,9.31e+18,6.29e-07,2.69e-08,2.69e-08,,,+/-2.69E-08,Jy,2007A&A...462...57S,uncertainty,38.50   keV,Broad-band measurement,,Flux integrated from map,,Averaged new and previously published data; NED frequencyassigned to mid-point of band in keV
17,15-55 keV (Swift),4.52e-11,+/-0.23E-11,erg/cm^2^/s,8.46e+18,5.34e-07,2.72e-08,2.72e-08,,,+/-2.72E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,189.898 -05.341 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
18,20-50 keV (Swift),3.01e-11,,erg/cm^2^/s,8.46e+18,3.56e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
19,15-50 keV (Suzaku),-10.6,,log(erg/s/cm^2^),7.86e+18,3.2e-07,,,,,,Jy,2012ApJ...745..107W,no uncertainty reported,32.50 keV,Broad-band measurement,12 39 39.4 -05 20 39.1 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
