No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
27,NUV (GALEX) AB,21.4237,+/-0.211441,mag,1290000000000000.0,9.78e-06,1.91e-06,1.91e-06,,,+/-1.91E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,91.412220511471 -86.63235383914 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
28,[Ne III] 3968,,<3.8E-15,erg/cm^2^/s,756000000000000.0,,,,380000000.0,,<3.80E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,3968 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=9; see paper,From reprocessed raw data
29,B (Cousins) (B_26),13.67,+/-0.09,mag,681000000000000.0,0.0145,0.00126,0.00126,,,+/-1.26E-03,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,062157 -8636.9 (B1950),Modelled datum,,From new raw data
30,B (Cousins) (B_T),13.55,+/-0.09,mag,681000000000000.0,0.0162,0.0014,0.0014,,,+/-1.40E-03,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,062157 -8636.9 (B1950),Modelled datum,,From new raw data
31,B (Cousins) (B_25),13.78,+/-0.09,mag,681000000000000.0,0.0132,0.00114,0.00114,,,+/-1.14E-03,Jy,1989ESOLV.C...0000L,typical accuracy,4400       A,Broad-band measurement; photometric system transformed,062157 -8636.9 (B1950),Modelled datum,,From new raw data
32,B (m_B),13.53,+/-0.21,mag,681000000000000.0,0.0165,0.00352,0.00352,,,+/-3.52E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,062157.0 -863654 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
33,B_J,12.9389,,mag,641000000000000.0,0.0264,,,,,,Jy,2005MNRAS.361...34D,no uncertainty reported,4680   A,Broad-band measurement,060539.5 -863754.8 (J2000),Flux in fixed aperture,,From new raw data
34,He II 4686,,<4.1E-15,erg/cm^2^/s,640000000000000.0,,,,410000000.0,,<4.10E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,4686 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=9; see paper,From reprocessed raw data
35,H{beta} line,,<0.041E-14,ergs/cm^2^/s,617000000000000.0,,,,41000000.0,,<4.10E+07,Jy-Hz,2007ApJ...669..109L,3 sigma,4861 A,Line measurement; flux integrated over line; lines measured in emission,06 05 39.24 -86 37 51.32 (J2000),Flux integrated from map,Narrow component,From new raw data; Extinction-corrected for Milky Way
36,H{beta},3.9e-15,+/-0.3E-15,erg/cm^2^/s,617000000000000.0,390000000.0,30000000.0,30000000.0,,,+/-3.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Narrow comp;spec fit flag=9; see paper,From reprocessed raw data
37,[O III] 5007 (SAAO),,<3E-15,ergs/cm^2^/s,599000000000000.0,,,,300000000.0,,<3.00E+08,Jy-Hz,2007ApJ...664L..79U,90% confidence,5007   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
38,[O III] 5007 line,,<0.5E-14,ergs/cm^2^/s,599000000000000.0,,,,500000000.0,,<5.00E+08,Jy-Hz,2007ApJ...669..109L,3 sigma,5007 A,Line measurement; flux integrated over line; lines measured in emission,06 05 39.24 -86 37 51.32 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
39,[O III] 5007,3.9e-15,+/-0.3E-15,erg/cm^2^/s,599000000000000.0,390000000.0,30000000.0,30000000.0,,,+/-3.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=9; see paper,From reprocessed raw data
40,[O I] 6300,,<3.6E-15,erg/cm^2^/s,476000000000000.0,,,,360000000.0,,<3.60E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,6300 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=2; see paper,From reprocessed raw data
