No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
68,4.5 microns (IRAC),845.96,+/-5.5060E+00,microJy,66700000000000.0,0.000846,5.51e-06,5.51e-06,,,+/-5.51E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
69,4.6 microns (WISE),0.86,,milliJy,65200000000000.0,0.00086,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,4.60 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Not reported in paper,,Averaged from previously published data
70,W2 (WISE),13.257,+/-0.03,mag,65100000000000.0,0.000855,2.36e-05,2.36e-05,,,+/-2.36E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
71,W2 (WISE),13.166,+/-0.024,mag,65100000000000.0,0.00093,2.06e-05,2.06e-05,,,+/-2.06E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
72,W2 (WISE),13.165,+/-0.045,mag,65100000000000.0,0.000931,3.86e-05,3.86e-05,,,+/-3.86E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
73,5.8 microns (IRAC),952.89,+/-9.9548E+00,microJy,52300000000000.0,0.000953,9.95e-06,9.95e-06,,,+/-9.95E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
74,5.8 microns (IRAC),1198.6,+/-1.1923E+01,microJy,52300000000000.0,0.0012,1.19e-05,1.19e-05,,,+/-1.19E-05,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
75,8.0 microns (IRAC),2846.2,+/-1.6179E+01,microJy,38100000000000.0,0.00285,1.62e-05,1.62e-05,,,+/-1.62E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
76,8.0 microns (IRAC),3281.8,+/-1.9712E+01,microJy,38100000000000.0,0.00328,1.97e-05,1.97e-05,,,+/-1.97E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
77,W3 (WISE),9.801,+/-0.06,mag,25900000000000.0,0.0038,0.00021,0.00021,,,+/-2.10E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
78,W3 (WISE),9.907,+/-0.082,mag,25900000000000.0,0.00345,0.000261,0.000261,,,+/-2.61E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
79,W3 (WISE),9.929,+/-0.049,mag,25900000000000.0,0.00338,0.000153,0.000153,,,+/-1.53E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
80,12 microns (WISE),3.33,,milliJy,25900000000000.0,0.00333,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,11.56 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Not reported in paper,,Averaged from previously published data
81,[Ne V] 14.3 Spitzer,3.58e-15,+/-0.55E-15,erg/s/cm^2^,20900000000000.0,358000000.0,55000000.0,55000000.0,,,+/-5.50E+07,Jy-Hz,2011MNRAS.411.1231G,1 sigma,14.32 microns,Line measurement; flux integrated over line; lines measured in emission,154.48708 39.09110 (J2000),Flux integrated from map,,From new raw data
82,W4 (WISE),8.228,+/-0.282,mag,13600000000000.0,0.00428,0.00111,0.00111,,,+/-1.11E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
83,W4 (WISE),7.79,+/-0.234,mag,13600000000000.0,0.0064,0.00138,0.00138,,,+/-1.38E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
84,W4 (WISE),7.648,+/-0.179,mag,13600000000000.0,0.0073,0.0012,0.0012,,,+/-1.20E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
85,24 microns (MIPS),6.41,,milliJy,12700000000000.0,0.00641,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,23.68 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Not reported in paper,,Averaged from previously published data
86,24 microns (MIPS),5905.9,+/-5.6750E+01,microJy,12700000000000.0,0.00591,5.67e-05,5.67e-05,,,+/-5.67E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
87,24 microns (MIPS),5616.9,+/-6.0657E+01,microJy,12700000000000.0,0.00562,6.07e-05,6.07e-05,,,+/-6.07E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
88,[Ne V] 24.3 Spitzer,3.65e-15,+/-0.54E-15,erg/s/cm^2^,12300000000000.0,365000000.0,54000000.0,54000000.0,,,+/-5.40E+07,Jy-Hz,2011MNRAS.411.1231G,1 sigma,24.32 microns,Line measurement; flux integrated over line; lines measured in emission,154.48708 39.09110 (J2000),Flux integrated from map,,From new raw data
89,[O IV] 25.9 Spitzer,1.289e-14,+/-0.64E-15,erg/s/cm^2^,11600000000000.0,1290000000.0,64000000.0,64000000.0,,,+/-6.40E+07,Jy-Hz,2011MNRAS.411.1231G,1 sigma,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,154.48708 39.09110 (J2000),Flux integrated from map,,From new raw data
90,70 microns (MIPS),77710.0,+/-1105,microJy,4200000000000.0,0.0777,0.00111,0.00111,,,+/-1.11E-03,Jy,2015ApJS..217...17H,uncertainty,71.42 microns,Broad-band measurement,154.486642 +39.091124 (J2000),From fitting to map,PSF flux; SN = 69.5,From new raw data
91,70 microns (MIPS),24860.0,+/-468,microJy,4200000000000.0,0.0249,0.000468,0.000468,,,+/-4.68E-04,Jy,2015ApJS..217...17H,uncertainty,71.42 microns,Broad-band measurement,154.486642 +39.091124 (J2000),Flux in fixed aperture,"aper. radius = 18""",From new raw data
92,100 microns (PACS),95.45,,milliJy,2930000000000.0,0.0955,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,102.30 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Flux in fixed aperture,,From reprocessed raw data
93,160 microns (PACS),100.84,,milliJy,1810000000000.0,0.101,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,166 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Flux in fixed aperture,,From reprocessed raw data
94,250 microns SPIRE),52.66,,milliJy,1200000000000.0,0.0527,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,250 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Flux in fixed aperture,,From reprocessed raw data
95,350 microns SPIRE),24.71,,milliJy,857000000000.0,0.0247,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,350 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Flux in fixed aperture,,From reprocessed raw data
96,500 microns SPIRE),12.98,,milliJy,600000000000.0,0.013,,,,,,Jy,2015ApJS..219...18X,no uncertainty reported,500 microns,Broad-band measurement,154.4870647 +39.0911158 (J2000),Flux in fixed aperture,,From reprocessed raw data
