No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
92,W4 (WISE),3.901,+/-0.008,mag,13600000000000.0,0.23,0.0017,0.0017,,,+/-1.70E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
93,W4 (WISE),4.181,+/-0.008,mag,13600000000000.0,0.178,0.00131,0.00131,,,+/-1.31E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
94,W4 (WISE),3.991,+/-0.025,mag,13600000000000.0,0.212,0.00488,0.00488,,,+/-4.88E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
95,[Ne V] 24.32 (IRS),1.38e-21,+/-0.21E-21,W/cm^2^,12300000000000.0,1520000000.0,210000000.0,210000000.0,,,+/-2.10E+08,Jy-Hz,2010ApJ...716.1151W,1 sigma,24.32 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
96,25 microns (IRAS),0.2769,+/-13  %,Jy,12000000000000.0,0.277,0.0216,0.0216,,,+/-2.16E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,012137.8 +333222 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
97,[O IV] 25.89 (IRS),6.69e-21,+/-0.41E-21,W/cm^2^,11600000000000.0,6690000000.0,410000000.0,410000000.0,,,+/-4.10E+08,Jy-Hz,2010ApJ...716.1151W,1 sigma,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
98,[O IV] (Spitzer),9e-21,+/-0.01E-19,W/cm^2^,11600000000000.0,9000000000.0,1000000000.0,1000000000.0,,,+/-1.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
99,[O IV] 25.89,6.54e-21,,W/cm^2^,11600000000000.0,6540000000.0,,,,,,Jy-Hz,2011ApJS..195...17W,no uncertainty reported,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Averaged from previously published data
100,[Fe II] 25.99,1.41e-21,,W/cm^2^,11500000000000.0,1410000000.0,,,,,,Jy-Hz,2011ApJS..195...17W,no uncertainty reported,25.99 microns,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Averaged from previously published data
101,30 microns (Spitzer),1.05e-19,+/-0.03E-19,W/cm^2^/microns,9990000000000.0,0.315,0.00901,0.00901,,,+/-9.01E-03,Jy,2007ApJ...671..124D,uncertainty,30.00 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
102,30 microns (IRS),0.33,+/-1.17E-02,Jy,9990000000000.0,0.33,0.0117,0.0117,,,+/-1.17E-02,Jy,2009ApJ...705...14D,uncertainty,30 microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
