No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
43,H_2 S(7) line (IRS),,<1.7E-20,W cm^-2^,54400000000000.0,,,,17000000000.0,,<1.70E+10,Jy-Hz,2006ApJ...648..323H,no uncertainty reported,5.51   microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.94 +14 21 35.30 (J2000),Flux integrated from map,,From new raw data
44,5.8 microns (IRAC),9837.9,+/-1.3061E+02,microJy,52300000000000.0,0.00984,0.000131,0.000131,,,+/-1.31E-04,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
45,5.8 microns (IRAC),9974.2,+/-1.2264E+02,microJy,52300000000000.0,0.00997,0.000123,0.000123,,,+/-1.23E-04,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
46,PAH 6.2 (Spitzer),1.94e-20,,W/cm^2^,48400000000000.0,19400000000.0,,,,,,Jy-Hz,2011ApJ...730...19S,no uncertainty reported,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.94 +14 21 35.3 (J2000),Total flux,,From reprocessed raw data
47,7.7 microns Spitzer,61.5,,milliJy,38900000000000.0,0.0615,,,,,,Jy,2011ApJ...730...19S,no uncertainty reported,7.7 microns,Broad-band measurement,15 02 31.94 +14 21 35.3 (J2000),Flux integrated from map,,From reprocessed raw data
48,[Ar III] 8.99 (IRS),3.9e-22,,W/cm^2^,33300000000000.0,390000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,8.991 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
49,H_2 S(3) line (IRS),6.8e-22,+/-0.013E-20,W cm^-2^,31000000000000.0,680000000.0,130000000.0,130000000.0,,,+/-1.30E+08,Jy-Hz,2006ApJ...648..323H,uncertainty,9.67   microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.94 +14 21 35.30 (J2000),Flux integrated from map,,From new raw data
50,[S IV] 10.51 (IRS),4.74e-18,+/-0.82E-18,W/m^2^,28500000000000.0,474000000.0,82000000.0,82000000.0,,,+/-8.20E+07,Jy-Hz,2011ApJ...740...94D,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
51,[S IV] 10.51 (IRS),2.8e-22,,W/cm^2^,28500000000000.0,280000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,10.511 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
52,PAH 11.3 (Spitzer),1.34e-20,,W/cm^2^,26500000000000.0,13400000000.0,,,,,,Jy-Hz,2011ApJ...730...19S,no uncertainty reported,11.3 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.94 +14 21 35.3 (J2000),Total flux,,From reprocessed raw data
53,W3 (WISE),7.428,+/-0.017,mag,25900000000000.0,0.0338,0.00053,0.00053,,,+/-5.30E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
54,W3 (WISE),7.426,+/-0.007,mag,25900000000000.0,0.0339,0.000219,0.000219,,,+/-2.19E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
55,W3 (WISE),7.563,+/-0.008,mag,25900000000000.0,0.0299,0.00022,0.00022,,,+/-2.20E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
56,W3 (WISE),7.429,+/-0.015,mag,25900000000000.0,0.0338,0.000467,0.000467,,,+/-4.67E-04,Jy,2014A&A...570A.110Z,uncertainty,11.56 microns,Broad-band measurement,15 02 31.90 +14 21 35.0 (J2000),From fitting to map,,Averaged from previously published data
57,12 microns (IRAS),,<1.220E-01,Jy,25000000000000.0,,,,0.122,,<1.22E-01,Jy,1990IRASF.C...0000M,90% confidence,12        microns,Broad-band measurement,150011.6 +143314 (B1950),Flux in fixed aperture,,From new raw data
58,H_2 S(2) line (IRS),,<2.8E-20,W cm^-2^,24400000000000.0,,,,28000000000.0,,<2.80E+10,Jy-Hz,2006ApJ...648..323H,no uncertainty reported,12.28   microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.94 +14 21 35.30 (J2000),Flux integrated from map,,From new raw data
59,HI 7-6 (IRS),,<0.30E-21,W/cm^2^,24200000000000.0,,,,300000000.0,,<3.00E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,12.368 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
60,[Ne II] 12.81 (IRS),6.61e-21,,W/cm^2^,23400000000000.0,6610000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,12.814 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
61,[Ne II] 12.81 (IRS),6.648e-17,+/-1.36E-18,W/m^2^,23400000000000.0,6650000000.0,136000000.0,136000000.0,,,+/-1.36E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
62,[Ne V] 14.32 (IRS),1.08e-21,,W/cm^2^,20900000000000.0,1080000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,14.322 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
63,[Ne V] 14.32 (IRS),1.589e-17,+/-1.97E-18,W/m^2^,20900000000000.0,1590000000.0,197000000.0,197000000.0,,,+/-1.97E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,14.32 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
64,[Cl II] 14.37 (IRS),,<0.98E-21,W/cm^2^,20900000000000.0,,,,980000000.0,,<9.80E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,14.369 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
65,[Ne III] 15.56 (IRS),2.797e-17,+/-0.69E-18,W/m^2^,19300000000000.0,2800000000.0,69000000.0,69000000.0,,,+/-6.90E+07,Jy-Hz,2011ApJ...740...94D,uncertainty,15.56 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
66,[Ne III] 15.56 (IRS),2.62e-21,,W/cm^2^,19300000000000.0,2620000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,15.555 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
67,H_2 S(1) line (IRS),7.7e-22,+/-0.007E-20,W cm^-2^,17600000000000.0,770000000.0,70000000.0,70000000.0,,,+/-7.00E+07,Jy-Hz,2006ApJ...648..323H,uncertainty,17.04   microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.94 +14 21 35.30 (J2000),Flux integrated from map,,From new raw data
68,[Fe II] 17.94 (IRS),,<0.78E-21,W/cm^2^,16700000000000.0,,,,780000000.0,,<7.80E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,17.936 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
69,[S III] 18.71 (IRS),2.36e-21,,W/cm^2^,16000000000000.0,2360000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,18.713 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
70,22 microns (IRS),135.3,,milliJy,13600000000000.0,0.135,,,,,,Jy,2011ApJS..193...18W,no uncertainty reported,22 microns,Broad-band measurement,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
71,W4 (WISE),4.316,+/-0.020,mag,13600000000000.0,0.157,0.00289,0.00289,,,+/-2.89E-03,Jy,2014A&A...570A.110Z,uncertainty,22.08 microns,Broad-band measurement,15 02 31.90 +14 21 35.0 (J2000),From fitting to map,,Averaged from previously published data
72,W4 (WISE),4.316,+/-0.021,mag,13600000000000.0,0.157,0.00304,0.00304,,,+/-3.04E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
73,W4 (WISE),4.307,+/-0.012,mag,13600000000000.0,0.158,0.00175,0.00175,,,+/-1.75E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data; Uncorrected for known sources in beam
74,W4 (WISE),4.597,+/-0.012,mag,13600000000000.0,0.121,0.00134,0.00134,,,+/-1.34E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
75,[Ne V] 24.32 (IRS),6.7e-22,,W/cm^2^,12300000000000.0,670000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,24.318 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
76,25 microns (Spitzer),0.189,,Jy,12000000000000.0,0.189,,,,,,Jy,2011ApJ...730...19S,no uncertainty reported,25 microns,Broad-band measurement,15 02 31.94 +14 21 35.3 (J2000),Flux in fixed aperture,,From reprocessed raw data
77,25 microns (IRAS),0.1674,+/-14  %,Jy,12000000000000.0,0.167,0.0171,0.0171,,,+/-1.71E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,150011.6 +143314 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
78,[O IV] 25.89 (IRS),1.21e-21,,W/cm^2^,11600000000000.0,1210000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,25.890 microns,Line measurement; flux integrated over line; lines measured in emission,15 02 31.9 +14 21 35 (J2000),Flux integrated from map,,From new raw data
