No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
69,3862A,0.82,+/-5   %,10^-26 erg/cm^2/s/Hz,777000000000000.0,0.0082,0.00041,0.00041,,,+/-4.10E-04,Jy,1970ApJ...162..743A,estimated error,3862       A,Broad-band measurement,,Flux in fixed aperture,"8"" aperture",From new raw data
70,[Ne III] 3869,2.098e-13,+/-2.9E-15,erg/cm^2^/s,775000000000000.0,21000000000.0,290000000.0,290000000.0,,,+/-2.90E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,3869 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
71,[Ne III] 3968,3.49e-14,+/-0.4E-15,erg/cm^2^/s,756000000000000.0,3490000000.0,40000000.0,40000000.0,,,+/-4.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,3968 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
72,4032A,0.883,+/-5   %,10^-26 erg/cm^2/s/Hz,744000000000000.0,0.00883,0.000442,0.000442,,,+/-4.42E-04,Jy,1970ApJ...162..743A,estimated error,4032       A,Broad-band measurement,,Flux in fixed aperture,"8"" aperture",From new raw data
73,4167A,0.923,+/-5   %,10^-26 erg/cm^2/s/Hz,720000000000000.0,0.00923,0.000462,0.000462,,,+/-4.62E-04,Jy,1970ApJ...162..743A,estimated error,4167       A,Broad-band measurement,,Flux in fixed aperture,"8"" aperture",From new raw data
74,4255A,0.979,+/-5   %,10^-26 erg/cm^2/s/Hz,705000000000000.0,0.00979,0.00049,0.00049,,,+/-4.90E-04,Jy,1970ApJ...162..743A,estimated error,4255       A,Broad-band measurement,,Flux in fixed aperture,"8"" aperture",From new raw data
75,4350A,0.976,+/-5   %,10^-26 erg/cm^2/s/Hz,690000000000000.0,0.00976,0.000488,0.000488,,,+/-4.88E-04,Jy,1970ApJ...162..743A,estimated error,4350       A,Broad-band measurement,,Flux in fixed aperture,"8"" aperture",From new raw data
76,m_p,13.0,+/-0.4,mag,681000000000000.0,0.0269,0.012,0.012,,,+/-1.20E-02,Jy,1968CGCG6.C...0000Z,rms noise,4400       A,Broad-band measurement,031630.0 +412000. (B1950),Estimated by eye,,From new raw data
77,B (B_25),13.14,+/-0.10,mag,681000000000000.0,0.0236,0.00228,0.00228,,,+/-2.28E-03,Jy,1989ApJS...69..365S,typical accuracy,4400       A,Broad-band measurement,031630. 411954. (B1950),Flux integrated from map,,From new raw data; Standard Johnson UBVRI filters assumed
78,B (AIT),10.96,,milliJy,681000000000000.0,0.011,,,,,,Jy,2004A&A...419...25F,no uncertainty reported,4400   A,Broad-band measurement,03 19 48.2 +41 30 42 (J2000),Not reported in paper,Averaged over 10 years,From new raw data; Extinction-corrected for Milky Way
79,B (B_T),12.64,+/-0.18,mag,681000000000000.0,0.0374,0.00675,0.00675,,,+/-6.75E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,031629.9 +411955 (B1950),From multi-aperture data,Nucleus is variable,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
80,B (m_B),12.43,+/-0.13,mag,681000000000000.0,0.0454,0.00578,0.00578,,,+/-5.78E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,031629.9 +411955 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
81,B (B_T^0),12.15,,mag,681000000000000.0,0.0588,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,031629.9 +411955 (B1950),Multiple methods,Nucleus is variable,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
82,4464A,0.997,+/-5   %,10^-26 erg/cm^2/s/Hz,672000000000000.0,0.00997,0.000499,0.000499,,,+/-4.99E-04,Jy,1970ApJ...162..743A,estimated error,4464       A,Broad-band measurement,,Flux in fixed aperture,"8"" aperture",From new raw data
83,B (Johnson),14.8,+/-0.40,milliJy,669000000000000.0,0.0148,0.0004,0.0004,,,+/-4.00E-04,Jy,1983ApJS...52..341M,1 sigma,0.448      microns,Broad-band measurement,031629.6 +411952 (B1950),Flux in fixed aperture,"22.4"" aperture",From new raw data
