No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
29,W2 (WISE),10.068,+/-0.006,mag,65100000000000.0,0.0161,8.92e-05,8.92e-05,,,+/-8.92E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
30,7.7 microns (IRS),,<1.27E-13,ergs/s/cm^2^,38900000000000.0,,,,12700000000.0,,<1.27E+10,Jy-Hz,2007ApJ...669..841S,no uncertainty reported,7.7 microns,Line measurement; flux integrated over line,,From fitting to map,,From new raw data
31,[S IV] 10.51 (IRS),,<10.86E-18,W/m^2^,28500000000000.0,,,,1090000000.0,,<1.09E+09,Jy-Hz,2011ApJ...740...94D,no uncertainty reported,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
32,[S IV] 10.5 (IRS),2.26e-21,,W/cm^2^,28500000000000.0,2260000000.0,,,,,,Jy-Hz,2009ApJ...690.1105K,no uncertainty reported,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
33,11.3 microns (IRS),4.5e-14,+/-0.25E-13,ergs/s/cm^2^,26500000000000.0,4500000000.0,2500000000.0,2500000000.0,,,+/-2.50E+09,Jy-Hz,2007ApJ...669..841S,uncertainty,11.3 microns,Line measurement; flux integrated over line,,From fitting to map,,From new raw data
34,W3 (WISE),7.32,+/-0.017,mag,25900000000000.0,0.0374,0.000585,0.000585,,,+/-5.85E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
35,W3 (WISE),7.318,+/-0.009,mag,25900000000000.0,0.0375,0.00031,0.00031,,,+/-3.10E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
36,W3 (WISE),7.448,+/-0.012,mag,25900000000000.0,0.0332,0.000367,0.000367,,,+/-3.67E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
37,12 microns (IRAS),,<9.682E-02,Jy,25000000000000.0,,,,0.0968,,<9.68E-02,Jy,1990IRASF.C...0000M,90% confidence,12        microns,Broad-band measurement,091558.2 +212947 (B1950),Flux in fixed aperture,,From new raw data
38,[Ne II] 12.8 (IRS),9.82e-22,,W/cm^2^,23400000000000.0,982000000.0,,,,,,Jy-Hz,2009ApJ...690.1105K,no uncertainty reported,12.814 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
