No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
185,H_2 S(0) line (IRS),,<97.0E-20,W cm^-2^,10600000000000.0,,,,970000000000.0,,<9.70E+11,Jy-Hz,2006ApJ...648..323H,no uncertainty reported,28.22   microns,Line measurement; flux integrated over line; lines measured in emission,15 34 57.24 +23 30 11.70 (J2000),Flux integrated from map,,From new raw data
186,H_2S(0) (Spitzer),,<0.810E-13,erg/s/cm^2^,10600000000000.0,,,,8100000000.0,,<8.10E+09,Jy-Hz,2014ApJ...790..124S,3 sigma,28.2 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
187,H_2S(0) (Spitzer),,<79E-18,W/m^2^,10600000000000.0,,,,7900000000.0,,<7.90E+09,Jy-Hz,2018AJ....156..295P,3 sigma,28.219 microns,Line measurement; flux integrated over line; lines measured in emission,233.73850 +23.503 (J2000),From fitting to map,,From reprocessed raw data
188,30 microns (Spitzer),22871.5,,milliJy,9990000000000.0,22.9,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,30 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
189,[S III] 33.48 (IRS),,<151.68E-21,W/cm^2^,8950000000000.0,,,,152000000000.0,,<1.52E+11,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,33.481 microns,Line measurement; flux integrated over line; lines measured in emission,15 34 57.1 +23 30 11 (J2000),Flux integrated from map,,From new raw data
190,[S III] line (IRS),,<35.9E-14,ergs cm^-2^ s^-1^,8950000000000.0,,,,35900000000.0,,<3.59E+10,Jy-Hz,2007ApJ...656..148A,3 sigma,33.481   microns,Line measurement; flux integrated over line; lines measured in emission,,Flux in fixed aperture,,From new raw data
191,[Si II] 34.82 (IRS),,<202.18E-21,W/cm^2^,8610000000000.0,,,,202000000000.0,,<2.02E+11,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,34.815 microns,Line measurement; flux integrated over line; lines measured in emission,15 34 57.1 +23 30 11 (J2000),Flux integrated from map,,From new raw data
192,[O III] 51.81 (PACS),,<384.21E-17,W/m^2^,5790000000000.0,,,,384000000000.0,,<3.84E+11,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,51.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
193,[O III] 51.81 (PACS),,<185.84E-17,W/m^2^,5790000000000.0,,,,186000000000.0,,<1.86E+11,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,51.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
194,[O III] 51.81 (PACS),,<509.47E-17,W/m^2^,5790000000000.0,,,,510000000000.0,,<5.10E+11,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,51.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
