No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
98,[S III] 33.5 Spitzer,6e-21,+/-0.02E-19,W/cm^2^,8950000000000.0,6000000000.0,2000000000.0,2000000000.0,,,+/-2.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,33.48 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
99,[S III] 33.48,3.12e-21,,W/cm^2^,8950000000000.0,3120000000.0,,,,,,Jy-Hz,2011ApJS..195...17W,no uncertainty reported,33.48 microns,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Averaged from previously published data
100,[S III] 33.48 (IRS),3.12e-14,+/-0.83E-14,erg/s/cm^2^,8950000000000.0,3120000000.0,830000000.0,830000000.0,,,+/-8.30E+08,Jy-Hz,2010ApJ...709.1257T,uncertainty,33.48 microns,Line measurement; flux integrated over line; lines measured in emission,01 50 02.7 -07 25 48 (J2000),Flux integrated from map,LH module,From new raw data
101,[Si II] 34.28,,<6.13E-21,W/cm^2^,8750000000000.0,,,,6130000000.0,,<6.13E+09,Jy-Hz,2011ApJS..195...17W,no uncertainty reported,34.28 microns,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Averaged from previously published data
102,[Si II] 34.82 (IRS),,<6.13E-14,erg/s/cm^2^,8610000000000.0,,,,6130000000.0,,<6.13E+09,Jy-Hz,2010ApJ...709.1257T,uncertainty,34.82 microns,Line measurement; flux integrated over line; lines measured in emission,01 50 02.7 -07 25 48 (J2000),Flux integrated from map,LH module,From new raw data
103,60 microns (IRAS),1.048,+/-17  %,Jy,5000000000000.0,1.05,0.178,0.178,,,+/-1.78E-01,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,014733.8 -074033 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
104,100 microns (IRAS),0.6475,+/-22  %,Jy,3000000000000.0,0.648,0.142,0.142,,,+/-1.42E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,014733.8 -074033 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
105,8.4 GHz (VLA),149.6,,milliJy,8400000000.0,0.15,,,,,,Jy,2007ApJS..171...61H,no uncertainty reported,8.4 GHz,Broad-band measurement,01 50 02.70 -07 25 48.7 (J2000),Flux integrated from map,,From new raw data
106,4.85 GHz,278.0,+/-18,milliJy,4850000000.0,0.278,0.018,0.018,,,+/-1.80E-02,Jy,1995ApJS...97..347G,rms noise,4.85       GHz,Broad-band measurement,015002.5 -072540 (J2000),Modelled datum,,From new raw data; Corrected for contaminating sources
107,2.3 GHz (VLBA),0.22,+/-,Jy,2300000000.0,0.22,,,,,+/-...,Jy,2006AJ....131.1872P,uncertainty,2.3   GHz,Broad-band measurement,01 50 02.697276 -07 25 48.48764 (J2000),Total flux,,From new raw data
108,1.4GHz,318.8,+/-9.6,milliJy,1400000000.0,0.319,0.0096,0.0096,,,+/-9.60E-03,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,01 50 2.66 -07 25 49.2 (J2000),Flux integrated from map,High peak,From new raw data
109,1.4 GHz (NVSS),318.0,+/-10,milliJy,1400000000.0,0.318,0.01,0.01,,,+/-1.00E-02,Jy,2014MNRAS.440..696A,uncertainty,1.4 GHz,Broad-band measurement,01 50 02.66 -07 25 49.2 (J2000),Total flux,,Averaged from previously published data
110,1.4 GHz (CHIPASS),245.0,,milliJy,1400000000.0,0.245,,,,,,Jy,2014MNRAS.440..696A,no uncertainty reported,1.4 GHz,Broad-band measurement,01 50 02.66 -07 25 49.2 (J2000),From fitting to map,Beam-weighted flux density,From reprocessed raw data
