No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
35,i (SDSS CModel) AB,18.995,,asinh mag,389000000000000.0,9.16e-05,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,7706       A,Broad-band measurement,59.3916504956 -5.6221399827 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
36,i (SDSS PSF) AB,19.312,+/-0.029,asinh mag,389000000000000.0,6.84e-05,1.83e-06,1.83e-06,,,+/-1.83E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,59.3916504956 -5.6221399827 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
37,i (SDSS CModel) AB,18.995,,asinh mag,389000000000000.0,9.17e-05,,,,,,Jy,2004SDSS2.C...0000:,no uncertainty reported,7706       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
38,i (SDSS Model) AB,18.971,+/-0.018,asinh mag,389000000000000.0,9.37e-05,1.6e-06,1.6e-06,,,+/-1.60E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,7706       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
39,i (SDSS PSF) AB,19.312,+/-0.029,asinh mag,389000000000000.0,6.84e-05,1.86e-06,1.86e-06,,,+/-1.86E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,7706       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
40,z (SDSS PSF) AB,19.322,+/-0.076,asinh mag,325000000000000.0,6.65e-05,4.67e-06,4.67e-06,,,+/-4.67E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,59.3916504956 -5.6221399827 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
41,z (SDSS PSF) AB,19.322,+/-0.076,asinh mag,325000000000000.0,6.65e-05,4.64e-06,4.64e-06,,,+/-4.64E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,9222       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
42,z (SDSS CModel) AB,18.89,,asinh mag,325000000000000.0,0.000101,,,,,,Jy,2004SDSS2.C...0000:,no uncertainty reported,9222       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
43,z (SDSS Model) AB,18.986,+/-0.075,asinh mag,325000000000000.0,9.06e-05,6.27e-06,6.27e-06,,,+/-6.27E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,9222       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
44,z (SDSS Petrosian)AB,18.921,+/-0.472,asinh mag,325000000000000.0,9.62e-05,4.19e-05,4.19e-05,,,+/-4.19E-05,Jy,2004SDSS2.C...0000:,based on count statistics only,9222       A,Broad-band measurement,59.391651 -5.622140 (J2000),Modelled datum,"SDSS Petrosian Radius =    0.78"".         
SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;",From new raw data
45,z (SDSS Model) AB,18.986,+/-0.075,asinh mag,325000000000000.0,9.06e-05,6.27e-06,6.27e-06,,,+/-6.27E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,59.3916504956 -5.6221399827 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
46,z (SDSS CModel) AB,18.89,,asinh mag,325000000000000.0,9.9e-05,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,9222       A,Broad-band measurement,59.3916504956 -5.6221399827 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
47,W1 (WISE),15.86,+/-0.057,mag,89400000000000.0,0.00014,7.36e-06,7.36e-06,,,+/-7.36E-06,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
48,W1 (WISE),14.926,+/-0.032,mag,89400000000000.0,0.000331,9.77e-06,9.77e-06,,,+/-9.77E-06,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
49,W1 (WISE),12.72,+/-0.01,mag,89400000000000.0,0.00253,2.33e-05,2.33e-05,,,+/-2.33E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
50,3.6 microns (IRAC),140.24,+/-2.2229E+00,microJy,84400000000000.0,0.00014,2.22e-06,2.22e-06,,,+/-2.22E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
51,3.6 microns (IRAC),116.79,+/-1.6380E+00,microJy,84400000000000.0,0.000117,1.64e-06,1.64e-06,,,+/-1.64E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
52,4.5 microns (IRAC),111.94,+/-2.2786E+00,microJy,66700000000000.0,0.000112,2.28e-06,2.28e-06,,,+/-2.28E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
53,4.5 microns (IRAC),135.64,+/-3.4064E+00,microJy,66700000000000.0,0.000136,3.41e-06,3.41e-06,,,+/-3.41E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
54,W2 (WISE),15.247,+/-0.094,mag,65100000000000.0,0.000137,1.18e-05,1.18e-05,,,+/-1.18E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
55,W2 (WISE),14.578,+/-0.088,mag,65100000000000.0,0.000253,2.05e-05,2.05e-05,,,+/-2.05E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
56,W2 (WISE),12.798,+/-0.034,mag,65100000000000.0,0.00131,4.09e-05,4.09e-05,,,+/-4.09E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
57,5.8 microns (IRAC),129.77,+/-1.3367E+01,microJy,52300000000000.0,0.00013,1.34e-05,1.34e-05,,,+/-1.34E-05,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
58,5.8 microns (IRAC),89.263,+/-8.8630E+00,microJy,52300000000000.0,8.93e-05,8.86e-06,8.86e-06,,,+/-8.86E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
59,8.0 microns (IRAC),700.36,+/-1.3199E+01,microJy,38100000000000.0,0.0007,1.32e-05,1.32e-05,,,+/-1.32E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
60,8.0 microns (IRAC),745.19,+/-1.6975E+01,microJy,38100000000000.0,0.000745,1.7e-05,1.7e-05,,,+/-1.70E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
61,PAH 11.3 (IRS),7e-22,,W/cm^2^,26500000000000.0,700000000.0,,,,,,Jy-Hz,2010ApJ...715..986S,no uncertainty reported,11.3 microns,Line measurement; flux integrated over line; lines measured in emission,03 57 33.99 -05 37 19.7 (J2000),Total flux,,From new raw data
62,W3 (WISE),10.971,+/-0.136,mag,25900000000000.0,0.0013,0.000162,0.000162,,,+/-1.62E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
63,W3 (WISE),10.819,+/-0.141,mag,25900000000000.0,0.00149,0.000193,0.000193,,,+/-1.93E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
64,W3 (WISE),10.653,+/-0.15,mag,25900000000000.0,0.00174,0.00024,0.00024,,,+/-2.40E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
65,[Ne III] 15.5 (IRS),,<0.06E-20,W/cm^2^,19300000000000.0,,,,600000000.0,,<6.00E+08,Jy-Hz,2010ApJ...715..986S,no uncertainty reported,15.5 microns,Line measurement; flux integrated over line; lines measured in emission,03 57 33.99 -05 37 19.7 (J2000),Total flux,,From new raw data
66,W4 (WISE),7.495,+/-0.233,mag,13600000000000.0,0.0084,0.0018,0.0018,,,+/-1.80E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data; Uncorrected for known sources in beam
67,W4 (WISE),7.893,+/-0.2,mag,13600000000000.0,0.00582,0.00107,0.00107,,,+/-1.07E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
68,W4 (WISE),7.742,+/-0.236,mag,13600000000000.0,0.00669,0.00145,0.00145,,,+/-1.45E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
69,24 microns (MIPS),3584.8,+/-5.9441E+01,microJy,12700000000000.0,0.00358,5.94e-05,5.94e-05,,,+/-5.94E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
70,24 microns (MIPS),3812.3,+/-6.5957E+01,microJy,12700000000000.0,0.00381,6.6e-05,6.6e-05,,,+/-6.60E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
71,70 microns (MIPS),49.0,+/-6,milliJy,4200000000000.0,0.049,0.006,0.006,,,+/-6.00E-03,Jy,2007ApJS..173..457B,uncertainty,71.42 microns,Broad-band measurement,035733.99 -053719.7 (J2000),Flux in fixed aperture,"30"" circular aperture",From reprocessed raw data
72,1.4 GHz (VLA),444.0,+/-85,microJy,1400000000.0,0.000444,8.5e-05,8.5e-05,,,+/-8.50E-05,Jy,2007ApJS..173..457B,uncertainty,1.4 GHz,Broad-band measurement,035733.99 -053719.7 (J2000),Flux integrated from map,,From new raw data
