No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
121,[Ar II] (Spitzer),3e-20,+/-0.07E-19,W/cm^2^,42900000000000.0,30000000000.0,7000000000.0,7000000000.0,,,+/-7.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,6.99 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
122,7.7 microns Spitzer,3.82e-15,+/-2.98E-16,W/m^2^,38900000000000.0,382000000000.0,29800000000.0,29800000000.0,,,+/-2.98E+10,Jy-Hz,2010ApJ...725..605S,uncertainty,7.7 microns,Line measurement; flux integrated over line; lines measured in emission,06 15 36.3 +71 02 15 (J2000),Flux integrated from map,,From new raw data
123,8.0 microns (IRAC),250310.0,+/-2.1320E+02,microJy,38100000000000.0,0.25,0.000213,0.000213,,,+/-2.13E-04,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
124,8.0 microns (IRAC),246360.0,+/-1.6939E+02,microJy,38100000000000.0,0.246,0.000169,0.000169,,,+/-1.69E-04,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
125,8.6 microns Spitzer,1.14e-16,+/-0.35E-16,W/m^2^,34900000000000.0,11400000000.0,3500000000.0,3500000000.0,,,+/-3.50E+09,Jy-Hz,2010ApJ...725..605S,uncertainty,8.6 microns,Line measurement; flux integrated over line; lines measured in emission,06 15 36.3 +71 02 15 (J2000),Flux integrated from map,,From new raw data
126,[Ar III] 8.9 Spitzer,2.63e-16,+/-0.12E-16,W/m^2^,33700000000000.0,26300000000.0,1200000000.0,1200000000.0,,,+/-1.20E+09,Jy-Hz,2010ApJ...725..605S,uncertainty,8.9 microns,Line measurement; flux integrated over line; lines measured in emission,06 15 36.3 +71 02 15 (J2000),Flux integrated from map,,From new raw data
127,LW7 (ISOCAM),245.0,+/-15,milliJy,31200000000000.0,0.245,0.015,0.015,,,+/-1.50E-02,Jy,2007AJ....134.2006R,uncertainty,9.62 microns,Broad-band measurement,,Total flux,,From reprocessed raw data
128,10 microns (IRS),0.294,+/-4.24E-02,Jy,30000000000000.0,0.294,0.0424,0.0424,,,+/-4.24E-02,Jy,2009ApJ...705...14D,uncertainty,10 microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
129,10 microns (Spitzer),0.36,,Jy,30000000000000.0,0.36,,,,,,Jy,2005ApJ...633..706W,no uncertainty reported,10   microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
130,10 microns,4.9,,ergs/sec/cm^2^/Hz,29700000000000.0,0.407,,,,,,Jy,1976ApJ...205...29N,no uncertainty reported,10.1     microns,Broad-band measurement,,Flux in fixed aperture,"10"" aperture",From new raw data
131,[S IV] 10.5 Spitzer,6.26e-16,+/-0.08E-16,W/m^2^,28600000000000.0,62600000000.0,800000000.0,800000000.0,,,+/-8.00E+08,Jy-Hz,2010ApJ...725..605S,uncertainty,10.5 microns,Line measurement; flux integrated over line; lines measured in emission,06 15 36.3 +71 02 15 (J2000),Flux integrated from map,,From new raw data
132,[S IV] 10.51 (IRS),5.927e-16,+/-6.2E-18,W/m^2^,28500000000000.0,59300000000.0,620000000.0,620000000.0,,,+/-6.20E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
133,[S IV] (Spitzer),5.1e-20,+/-0.08E-19,W/cm^2^,28500000000000.0,51000000000.0,8000000000.0,8000000000.0,,,+/-8.00E+09,Jy-Hz,2007ApJ...671..124D,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
134,[S IV] 10.5 (IRS),6.06e-20,,W/cm^2^,28500000000000.0,60600000000.0,,,,,,Jy-Hz,2009ApJ...690.1105K,no uncertainty reported,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
135,10.6 microns,0.29,+/-0.030,Jy,28300000000000.0,0.29,0.03,0.03,,,+/-3.00E-02,Jy,1978ApJ...226..550R,uncertainty,10.6     microns,Broad-band measurement,,Flux in fixed aperture,"3.9"" aperture",From new raw data
136,10.7 microns Spitzer,1.22e-16,+/-0.17E-16,W/m^2^,28000000000000.0,12200000000.0,1700000000.0,1700000000.0,,,+/-1.70E+09,Jy-Hz,2010ApJ...725..605S,uncertainty,10.7 microns,Line measurement; flux integrated over line; lines measured in emission,06 15 36.3 +71 02 15 (J2000),Flux integrated from map,,From new raw data
