No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
61,B (Johnson) AB,9.14,+/-0.03,mag,681000000000000.0,0.802,0.0221,0.0221,,,+/-2.21E-02,Jy,2014MNRAS.445..881C,statistical error,4400 A,Broad-band measurement,12 18 57.50 +47 18 14.3 (J2000),Flux in fixed aperture,"a = 558.6""; b = 217.3""; PA = 150.0 deg",From reprocessed raw data
62,B (m_B),9.29,+/-0.15,mag,681000000000000.0,0.819,0.121,0.121,,,+/-1.21E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,121629.7 +473455 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
63,He II 4686,,<5.8E-15,erg/cm^2^/s,640000000000000.0,,,,580000000.0,,<5.80E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,4686 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
64,H{beta},5.23e-14,+/-1.5E-15,erg/cm^2^/s,617000000000000.0,5230000000.0,150000000.0,150000000.0,,,+/-1.50E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Narrow comp;spec fit flag=2; see paper,From reprocessed raw data
65,[O III] 5007 (SDSS),1.043e-13,,erg/s/cm^2^,599000000000000.0,10400000000.0,,,,,,Jy-Hz,2011ApJ...742...73Z,no uncertainty reported,5007 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,Averaged from previously published data
66,[O III] 5007,1.792e-13,+/-0.6E-15,erg/cm^2^/s,599000000000000.0,17900000000.0,60000000.0,60000000.0,,,+/-6.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=2; see paper,From reprocessed raw data
67,V (Cousins),8.31,+/-0.01,mag,545000000000000.0,1.73,0.016,0.016,,,+/-1.60E-02,Jy,1996A&AS..118..111H,uncertainty,5500       A,Broad-band measurement,12 18 43.0 +47 19 55 (1995 ),Flux in fixed aperture,,From new raw data
68,V (Johnson),10.88,,mag,542000000000000.0,0.162,,,,,,Jy,1968AJ.....73..866W,no uncertainty reported,5530 A,Broad-band measurement,,Flux in fixed aperture,"54.2"" aperture",From new raw data
69,V (Johnson),11.552,,mag,542000000000000.0,0.0873,,,,,,Jy,1968AJ.....73..866W,no uncertainty reported,5530 A,Broad-band measurement,,Flux in fixed aperture,"27.3"" aperture",From new raw data
70,V (V_T),8.41,+/-0.08,mag,542000000000000.0,1.57,0.114,0.114,,,+/-1.14E-01,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,121629.7 +473455 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
