No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
47,J,11.237,+/-0.020,mag,240000000000000.0,0.051,0.000947,0.000947,,,+/-9.47E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,013837.16 -400041.1 (J2000),Flux in fixed aperture,75.8 x   22.7 arcsec integration area.,From new raw data
48,H,10.342,+/-0.026,mag,182000000000000.0,0.0747,0.00181,0.00181,,,+/-1.81E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,013837.16 -400041.1 (J2000),Flux in fixed aperture,,From new raw data
49,H,10.442,+/-0.029,mag,182000000000000.0,0.0682,0.00185,0.00185,,,+/-1.85E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,013837.16 -400041.1 (J2000),Flux in fixed aperture,75.8 x   22.7 arcsec integration area.,From new raw data
50,H_14arcsec (2MASS),11.228,+/-0.010,mag,182000000000000.0,0.033,0.000306,0.000306,,,+/-3.06E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,013837.16 -400041.1 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
51,H (2MASS/CTIO),12.665,+/-0.126,mag,180000000000000.0,0.0088,0.00102,0.00102,,,+/-1.02E-03,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
52,H (2MASS/CTIO),11.738,+/-0.023,mag,180000000000000.0,0.0207,0.000438,0.000438,,,+/-4.38E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
53,K_s (2MASS/CTIO),12.069,+/-0.088,mag,139000000000000.0,0.00992,0.000804,0.000804,,,+/-8.04E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
54,K_s (2MASS/CTIO),11.377,+/-0.018,mag,139000000000000.0,0.0188,0.000311,0.000311,,,+/-3.11E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
55,K_s,10.036,+/-0.033,mag,138000000000000.0,0.0645,0.00199,0.00199,,,+/-1.99E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,013837.16 -400041.1 (J2000),Flux in fixed aperture,,From new raw data
56,K_s,10.13,+/-0.037,mag,138000000000000.0,0.0592,0.00205,0.00205,,,+/-2.05E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,013837.16 -400041.1 (J2000),Flux in fixed aperture,75.8 x   22.7 arcsec integration area.,From new raw data
