No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
250,HI 21 cm line,74.48,,Jy km s^-1^,1420000000.0,352000.0,,,,,,Jy-Hz,2005ApJS..160..149S,no uncertainty reported,308        km s^-1^,Line measurement; flux integrated over line; lines measured in emission,12 50 52.6 +41 07 09 (J2000),Flux integrated from map,,From new raw data
251,HI 21cm (VLA),87.0,,Jy km/s,1420000000.0,410000.0,,,,,,Jy-Hz,2008AJ....135..232H,no uncertainty reported,21 cm,Line measurement; flux integrated over line; lines measured in emission,12 50 53.00 +41 07 14.3 (J2000),Flux integrated from map,,From new raw data
252,HI 21 cm line,100.74,+/-8.93,Jy km s^-1^,1420000000.0,477000.0,42300.0,42300.0,,,+/-4.23E+04,Jy-Hz,2005ApJS..160..149S,uncertainty,308        km s^-1^,Line measurement; flux integrated over line; lines measured in emission,12 50 52.6 +41 07 09 (J2000),Flux integrated from map,Self-absorption corrected line flux,From new raw data
253,HI 21 cm line,98.89,,Jy km s^-1^,1420000000.0,468000.0,,,,,,Jy-Hz,2005ApJS..160..149S,no uncertainty reported,308        km s^-1^,Line measurement; flux integrated over line; lines measured in emission,12 50 52.6 +41 07 09 (J2000),Flux integrated from map,Corrected line flux,From new raw data
254,HI (21cm line) (VLA),76.78,+/-0.49,Jy km/s,1420000000.0,363000.0,2320.0,2320.0,,,+/-2.32E+03,Jy-Hz,2014A&A...567A..61S,rms uncertainty,21 cm,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,Averaged from previously published data
255,HI (21 cm line),62.5,+/-0.88,Jy km s^-1^,1420000000.0,295000.0,4150.0,4150.0,,,+/-4.15E+03,Jy-Hz,1989H&RHI.C...0000H,no uncertainty reported,21         cm,Line measurement; flux integrated over line; lines measured in emission,124832.4 +412328. (B1950),Not reported in paper,,Transformed from previously published data
256,HI (21 cm line),51.2,,Jy km s^-1^,1420000000.0,241000.0,,,,,,Jy-Hz,1989H&RHI.C...0000H,no uncertainty reported,21         cm,Line measurement; flux integrated over line; lines measured in emission,124832.4 +412328. (B1950),Not reported in paper,,Transformed from previously published data
257,HI (21 cm line),94.18,+/-4.70,Jy km s^-1^,1420000000.0,444000.0,22200.0,22200.0,,,+/-2.22E+04,Jy-Hz,1989H&RHI.C...0000H,no uncertainty reported,21         cm,Line measurement; flux integrated over line; lines measured in emission,124832.4 +412328. (B1950),Not reported in paper,,Transformed from previously published data
258,1.40 GHz,276.0,,milliJy,1400000000.0,0.276,,,,,,Jy,1992ApJS...79..331W,no uncertainty reported,1.4        GHz,Broad-band measurement,124832.4 +412357 (B1950),Peak flux,,From new raw data
259,1400 MHz (NRAO),0.3,,Jy,1400000000.0,0.3,,,,,,Jy,1964AJ.....69..277H,no uncertainty reported,1400      MHz,Broad-band measurement; peak value reported,124833 +4123 (B1950),Peak flux,,From new raw data
260,1.4GHz,13.53,,milliJy,1400000000.0,0.0135,,,,,,Jy,1995ApJ...450..559B,no uncertainty reported,1.4        GHz,Broad-band measurement; synthetic band,125053.061 +410713.65 (J2000),From fitting to map,,From new raw data; Corrected for contaminating sources
261,1.4GHz,8.89,+/-5   %,milliJy,1400000000.0,0.00889,0.000445,0.000445,,,+/-4.45E-04,Jy,1995ApJ...450..559B,rms noise,1.4        GHz,Broad-band measurement; synthetic band,125053.061 +410713.65 (J2000),Peak flux,,From new raw data; Corrected for contaminating sources
262,1.4 GHz (VLA),265.0,,milliJy,1400000000.0,0.265,,,,,,Jy,2002AJ....124..675C,no uncertainty reported,1.4   GHz,Broad-band measurement,,Flux integrated from map,Large galaxy; flux may be too low,Averaged from previously published data
263,20 cm (Effelsberg),295.0,+/-5.0,milliJy,1400000000.0,0.295,0.005,0.005,,,+/-5.00E-03,Jy,2017ApJ...836..185T,uncertainty,20   cm,Broad-band measurement,12 50 53.1 +41 07 13 (J2000),Flux integrated from map,,From new raw data
264,1365 MHz (WSRT),320.0,+/-10,milliJy,1370000000.0,0.32,0.01,0.01,,,+/-1.00E-02,Jy,2007A&A...461..455B,uncertainty,1365   MHz,Broad-band measurement,,Total flux,,From new raw data
265,22 cm (WSRT),0.265,+/-0.013,Jy,1360000000.0,0.265,0.013,0.013,,,+/-1.30E-02,Jy,2014AJ....147..103H,uncertainty,22 cm,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
266,750 MHz (NRAO),0.4,,Jy,750000000.0,0.4,,,,,,Jy,1964AJ.....69..277H,no uncertainty reported,750      MHz,Broad-band measurement; peak value reported,124833 +4123 (B1950),Peak flux,,From new raw data
267,408 MHz,0.44,+/-0.02,Jy,408000000.0,0.44,0.0219,0.0219,,,+/-2.19E-02,Jy,1985A&AS...59..255F,rms uncertainty,408        MHz,Broad-band measurement,12 48 32.1 41 23 33 (B1950),Total flux,,From new raw data
268,151 MHz (6C),1.11,+/-0.110,Jy,152000000.0,1.11,0.11,0.11,,,+/-1.10E-01,Jy,1988MNRAS.234..919H,typical accuracy,151.5      MHz,Broad-band measurement,124830.9 412321. (B1950),Flux integrated from map,,From new raw data
269,151 MHz (6C),0.8,+/-0.050,Jy,152000000.0,0.8,0.05,0.05,,,+/-5.00E-02,Jy,1988MNRAS.234..919H,typical accuracy,151.5      MHz,Broad-band measurement,124830.9 412321. (B1950),Peak flux,,From new raw data
270,57.5 MHz,1.4,+/-0.5,Jy,57500000.0,1.4,0.5,0.5,,,+/-5.00E-01,Jy,1990ApJ...352...30I,uncertainty,57.5       MHz,Broad-band measurement,,Flux integrated from map,,From new raw data
