No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),1.1e-13,,erg cm^-2^ s^-1^,1.45e+18,7.59e-09,,,,,,Jy,2006A&A...446..459C,no uncertainty reported,6   keV,Broad-band measurement,12 31 59.3 +14 25 13.4 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (XMM),6e-15,,erg/s/cm^2^,1.45e+18,4.14e-10,,,,,,Jy,2009A&A...500..999A,no uncertainty reported,6.00 keV,Broad-band measurement,12 31 59.34 +14 25 13.40 (J2000),Modelled datum,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV,1.07e-13,+/-0.73E-13,erg/s/cm^2^,1.45e+18,7.38e-09,5.03e-09,5.03e-09,,,+/-5.03E-09,Jy,2011ApJ...729...52L,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Chandra observation,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV (XMM),1.2e-13,,erg/s/cm^2^,1.45e+18,8.28e-09,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,187.990 +14.422 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,0.3-8 keV (Chandra),8.16e-14,,erg/s/cm^2^,1e+18,8.16e-09,,,,,,Jy,2011ApJS..192...10L,no uncertainty reported,4.15 keV,Broad-band measurement,12 31 59.153 +14 25 13.19 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,0.3-8 keV (Chandra),7.65e-14,,erg/cm^2^/s,1e+18,7.65e-09,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,0.2-4 keV (EINSTEIN),7.53e-13,,ergs sec^-1^ cm^-2^,5.25e+17,1.44e-07,,,,,,Jy,1992ApJS...80..531F,no uncertainty reported,2.1    keV,Broad-band measurement; synthetic band,12 29 27 +14 41 56 (B1950),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
8,0.5-2 keV (XMM),9e-14,,erg cm^-2^ s^-1^,3.02e+17,2.98e-08,,,,,,Jy,2006A&A...446..459C,no uncertainty reported,1.25   keV,Broad-band measurement,12 31 59.3 +14 25 13.4 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,FUV (GALEX) AB,13.66,+/-0.01,mag,1960000000000000.0,0.0125,0.000115,0.000115,,,+/-1.15E-04,Jy,2018ApJS..234...18B,1 sigma,1530 A,Broad-band measurement,187.996511 +14.420326 (J2000),Total flux,Asymptotic magnitude,From new raw data
10,1560A,2.41,+/-0.51,10^-14^erg/cm^2^/s/A,1920000000000000.0,0.00196,0.000415,0.000415,,,+/-4.15E-04,Jy,1990ApJ...363..422K,rms uncertainty,1560       A,Broad-band measurement,,Flux integrated from map,,From new raw data
11,NUV (GALEX) AB,12.89,+/-0.01,mag,1300000000000000.0,0.0254,0.000234,0.000234,,,+/-2.34E-04,Jy,2018ApJS..234...18B,1 sigma,2310 A,Broad-band measurement,187.996511 +14.420326 (J2000),Total flux,Asymptotic magnitude,From new raw data
