No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
68,1.27 microns,0.62,+/-0.03,log milliJy,236000000000000.0,0.00417,0.000279,0.000279,,,+/-2.79E-04,Jy,1987ApJS...63..615N,estimated error,1.27       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1983 Nov 21",From new raw data; Standard Caltech JHKL filters assumed
69,H (Subaru),3.62,+/-5   %,milliJy,183000000000000.0,0.00362,0.000181,0.000181,,,+/-1.81E-04,Jy,2006ApJS..166...89G,typical accuracy,1.635   microns,Broad-band measurement,10 07 26.11 +12 48 56.2 (J2000),Flux in fixed aperture,"5.5"" diameter aperture",From new raw data
70,H (AAO),13.66,,mag,183000000000000.0,0.00354,,,,,,Jy,1982MNRAS.199..943H,no uncertainty reported,1.64    microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; derived from a flux in a different bandand a color
71,1.65 microns,0.61,+/-0.04,log milliJy,182000000000000.0,0.00407,0.000359,0.000359,,,+/-3.59E-04,Jy,1987ApJS...63..615N,estimated error,1.65       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1977 Feb  8",From new raw data; Standard Caltech JHKL filters assumed
72,1.65 microns,0.65,+/-0.03,log milliJy,182000000000000.0,0.00447,0.000298,0.000298,,,+/-2.98E-04,Jy,1987ApJS...63..615N,estimated error,1.65       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1983 Nov 21",From new raw data; Standard Caltech JHKL filters assumed
73,log nu(Hz) 14.260,0.58,+/-0.05,log f_nu (milliJy),182000000000000.0,0.0038,0.000464,0.000464,,,+/-4.64E-04,Jy,1979ApJ...230...79N,uncertainty,14.26      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
74,H (Mt. Lemmon),5.9,+/-1.2,milliJy,182000000000000.0,0.0059,0.00012,0.00012,,,+/-1.20E-04,Jy,1982ApJ...259..486S,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"18"" aperture",From new raw data; Extinction-corrected for Milky Way
75,H (Mt. Lemmon),5.1,+/-0.2,milliJy,182000000000000.0,0.0051,0.0002,0.0002,,,+/-2.00E-04,Jy,1982ApJ...259..486S,uncertainty,1.65    microns,Broad-band measurement,,Flux in fixed aperture,"18"" aperture",From new raw data; Extinction-corrected for Milky Way
76,H (2MASS/FLWO),13.588,+/-0.086,mag,180000000000000.0,0.00376,0.000298,0.000298,,,+/-2.98E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
77,H (2MASS/FLWO),13.668,+/-0.043,mag,180000000000000.0,0.00349,0.000138,0.000138,,,+/-1.38E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
78,K_s (2MASS/FLWO),12.838,+/-0.033,mag,139000000000000.0,0.00488,0.000148,0.000148,,,+/-1.48E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
79,K_s (2MASS/FLWO),12.772,+/-0.026,mag,139000000000000.0,0.00519,0.000124,0.000124,,,+/-1.24E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
80,K (AAO),12.8,,mag,137000000000000.0,0.00493,,,,,,Jy,1982MNRAS.199..943H,no uncertainty reported,2.19    microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
81,log nu(Hz) 14.134,0.72,+/-0.05,log f_nu (milliJy),136000000000000.0,0.00525,0.00064,0.00064,,,+/-6.40E-04,Jy,1979ApJ...230...79N,uncertainty,14.13      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
82,2.2 microns,0.74,+/-0.04,log milliJy,136000000000000.0,0.00549,0.000483,0.000483,,,+/-4.83E-04,Jy,1987ApJS...63..615N,estimated error,2.2        microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1977 Feb  8",From new raw data; Standard Caltech JHKL filters assumed
83,2.2 microns,0.79,+/-0.03,log milliJy,136000000000000.0,0.00617,0.000412,0.000412,,,+/-4.12E-04,Jy,1987ApJS...63..615N,estimated error,2.2        microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1983 Nov 21",From new raw data; Standard Caltech JHKL filters assumed
