No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
25,J (2MASS/CTIO),16.937,+/-0.175,mag,243000000000000.0,0.000268,4.32e-05,4.32e-05,,,+/-4.32E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
26,H (2MASS/CTIO),15.984,+/-0.341,mag,180000000000000.0,0.000414,0.00013,0.00013,,,+/-1.30E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
27,H (2MASS/CTIO),15.924,+/-0.181,mag,180000000000000.0,0.000437,7.29e-05,7.29e-05,,,+/-7.29E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
28,K_s (2MASS/CTIO),14.794,+/-0.255,mag,139000000000000.0,0.000806,0.000189,0.000189,,,+/-1.89E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
29,K_s (2MASS/CTIO),14.914,+/-0.116,mag,139000000000000.0,0.000722,7.71e-05,7.71e-05,,,+/-7.71E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
30,3.3 PAH (AKARI),,<1.8E-14,erg/s/cm^2^,90800000000000.0,,,,1800000000000.0,,<1.80E+12,Jy-Hz,2010ApJ...721.1233I,no uncertainty reported,3.3 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
31,W1 (WISE),13.045,+/-0.024,mag,89400000000000.0,0.00187,4.14e-05,4.14e-05,,,+/-4.14E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
32,W1 (WISE),13.026,+/-0.008,mag,89400000000000.0,0.00191,1.41e-05,1.41e-05,,,+/-1.41E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
33,W1 (WISE),13.048,+/-0.013,mag,89400000000000.0,0.00187,2.24e-05,2.24e-05,,,+/-2.24E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
34,3.6 microns (IRAC),2464.0,+/-2.3054E+01,microJy,84400000000000.0,0.00246,2.31e-05,2.31e-05,,,+/-2.31E-05,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
35,3.6 microns (IRAC),2405.4,+/-2.0182E+01,microJy,84400000000000.0,0.00241,2.02e-05,2.02e-05,,,+/-2.02E-05,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
36,3.6 microns (IRAC),2.9,+/-0.3,milliJy,84400000000000.0,0.0029,0.0003,0.0003,,,+/-3.00E-04,Jy,2009ApJ...693.1223S,uncertainty,3.55 microns,Broad-band measurement,,Flux in fixed aperture,"12"" radius aperture",From new raw data
37,W2 (WISE),10.902,+/-0.02,mag,65100000000000.0,0.00748,0.000138,0.000138,,,+/-1.38E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
38,W2 (WISE),10.898,+/-0.006,mag,65100000000000.0,0.00751,4.15e-05,4.15e-05,,,+/-4.15E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
39,W2 (WISE),10.941,+/-0.007,mag,65100000000000.0,0.00722,4.66e-05,4.66e-05,,,+/-4.66E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
