No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
72,[O III] 88.36 (PACS),1.859e-16,+/-0.69E-17,W/m^2^,3390000000000.0,18600000000.0,690000000.0,690000000.0,,,+/-6.90E+08,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
73,[O III] 88.36 (PACS),2.142e-16,+/-2.39E-17,W/m^2^,3390000000000.0,21400000000.0,2390000000.0,2390000000.0,,,+/-2.39E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
74,[O III] 88.36 (PACS),2.292e-16,+/-2.69E-17,W/m^2^,3390000000000.0,22900000000.0,2690000000.0,2690000000.0,,,+/-2.69E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
75,100 microns (IRAS),2.129,+/-8   %,Jy,3000000000000.0,2.13,0.17,0.17,,,+/-1.70E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,182139.5 +641937 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
76,[N II] 121.90 (PACS),,<2.54E-17,W/m^2^,2460000000000.0,,,,2540000000.0,,<2.54E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,121.90 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
77,[N II] 121.90 (PACS),,<0.98E-17,W/m^2^,2460000000000.0,,,,980000000.0,,<9.80E+08,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,121.90 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
78,[N II] 121.90 (PACS),1.18e-17,+/-0.20E-17,W/m^2^,2460000000000.0,1180000000.0,200000000.0,200000000.0,,,+/-2.00E+08,Jy-Hz,2016ApJS..226...19F,uncertainty,121.90 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
79,[O I] 145.52 (PACS),,<4.74E-17,W/m^2^,2060000000000.0,,,,4740000000.0,,<4.74E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,145.52 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
80,[O I] 145.52 (PACS),,<2.52E-17,W/m^2^,2060000000000.0,,,,2520000000.0,,<2.52E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,145.52 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
81,[O I] 145.52 (PACS),,<3.28E-17,W/m^2^,2060000000000.0,,,,3280000000.0,,<3.28E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,145.52 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
82,[C II] 157.74 (PACS),,<3.59E-17,W/m^2^,1900000000000.0,,,,3590000000.0,,<3.59E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
83,[C II] 157.74 (PACS),,<1.67E-17,W/m^2^,1900000000000.0,,,,1670000000.0,,<1.67E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
84,[C II] 157.74 (PACS),,<3.10E-17,W/m^2^,1900000000000.0,,,,3100000000.0,,<3.10E+09,Jy-Hz,2016ApJS..226...19F,no uncertainty reported,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
85,170 microns (ISO),1.07,+/-30  %,Jy,1760000000000.0,1.07,0.321,0.321,,,+/-3.21E-01,Jy,2004A&A...422...39S,uncertainty,170      microns,Broad-band measurement,18 21 51.45 +64 21 23.9 (J2000),Integrated from scans,,Averaged from previously published data
86,CO(1-0) (IRAM),,<1.7,Jy km/s,115000000000.0,,,,504000.0,,<5.04E+05,Jy-Hz,2011A&A...528A.124C,3 sigma,115.271 GHz,Line measurement; flux integrated over line; lines measured in emission,18 21 57.3 +64 20 36 (J2000),Flux integrated from map,,From new raw data
87,^12^CO(1-0) (CARMA),,<1.0,Jy km/s,115000000000.0,,,,296000.0,,<2.96E+05,Jy-Hz,2011ApJ...737...64A,no uncertainty reported,115.271 GHz,Line measurement; flux integrated over line; lines measured in emission,18 21 57.207 +64 20 36.22 (J2000),Flux integrated from map,,From new raw data
88,93.1 GHz (CARMA),10.3,+/-0.5,milliJy,93100000000.0,0.0103,0.0005,0.0005,,,+/-5.00E-04,Jy,2011ApJ...737...64A,uncertainty,93.1   GHz,Broad-band measurement,18 21 57.207 +64 20 36.22 (J2000),Flux integrated from map,,From new raw data
89,88.9 GHz (CARMA),10.9,+/-0.7,milliJy,88900000000.0,0.0109,0.0007,0.0007,,,+/-7.00E-04,Jy,2011ApJ...737...64A,uncertainty,88.9   GHz,Broad-band measurement,18 21 57.207 +64 20 36.22 (J2000),Flux integrated from map,,From new raw data
90,5 GHz (VLA),7.0,,milliJy,4890000000.0,0.007,,,,,,Jy,1997A&AS..122..235L,no uncertainty reported,4.885 GHz,Broad-band measurement,18 21 57.22 +64 20 36.4 (J2000),Flux integrated from map,Core flux; S/N = 15,From new raw data
91,92 cm (WENSS),402.0,+/-16.7,milliJy,325000000.0,0.402,0.0167,0.0167,,,+/-1.67E-02,Jy,1997A&AS..124..259R,uncertainty,92         cm,Broad-band measurement,182140.81 +641921.0 (B1950),Flux integrated from map,Multiple component source,From new raw data
92,92 cm (WENSS),211.0,+/-9.7,milliJy,325000000.0,0.211,0.00965,0.00965,,,+/-9.65E-03,Jy,1997A&AS..124..259R,uncertainty,92         cm,Broad-band measurement,182140.81 +641921.0 (B1950),Peak flux,Multiple component source,From new raw data
93,325 MHz (WSRT),402.0,,milliJy,325000000.0,0.402,,,,,,Jy,1997A&AS..124..259R,no uncertainty reported,325.125 MHz,Broad-band measurement,18 21 40.81 +64 19 21.0 (B1950),Flux integrated from map,"a=92""; b=66""; PA=167 deg",From new raw data
94,151 MHz (6C),0.84,+/-0.060,Jy,152000000.0,0.84,0.06,0.06,,,+/-6.00E-02,Jy,1993MNRAS.262.1057H,typical accuracy,151.5      MHz,Broad-band measurement,182137.7 641929. (B1950),Peak flux,,From new raw data
95,151 MHz (6C),0.96,+/-0.130,Jy,152000000.0,0.96,0.13,0.13,,,+/-1.30E-01,Jy,1993MNRAS.262.1057H,typical accuracy,151.5      MHz,Broad-band measurement,182137.7 641929. (B1950),Flux integrated from map,,From new raw data
96,74 MHz (VLA),1.14,+/-0.16,Jy,73800000.0,1.14,0.16,0.16,,,+/-1.60E-01,Jy,2007AJ....134.1245C,rms uncertainty,73.8 MHz,Broad-band measurement,18 21 55.79 +64 20 57.4 (J2000),Flux integrated from map,Corrected for clean bias,From new raw data
97,38 MHz (8C),3.4,+/-0.8,Jy,37800000.0,3.4,0.773,0.773,,,+/-7.73E-01,Jy,1995MNRAS.274..447H,2.5 times noise,38         MHz,Broad-band measurement,182143. +641837. (B1950),Flux integrated from map,Single component source,From new raw data
98,38 MHz (8C),3.0,+/-15.0%,Jy,37800000.0,3.0,0.45,0.45,,,+/-4.50E-01,Jy,1995MNRAS.274..447H,no uncertainty reported,38         MHz,Broad-band measurement,182143. +641837. (B1950),Peak flux,Single component source,From new raw data
