No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
176,CO(2-1) (CSO),251.69,+/-38,Jy km/s,231000000000.0,187000000.0,28200000.0,28200000.0,,,+/-2.82E+07,Jy-Hz,2011ApJS..195...23M,uncertainty,230.538 GHz,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
177,S(6),2.2,+/-0.5,milliJy,4880000000.0,0.0022,0.0005,0.0005,,,+/-5.00E-04,Jy,1984ApJ...285..439U,uncertainty,6         cm,Broad-band measurement,193955.733 -102633.97 (B1950),Flux integrated from map,,From new raw data
178,1.465 GHz (VLA),12.0,+/-2,milliJy,1470000000.0,0.012,0.002,0.002,,,+/-2.00E-03,Jy,1985A&AS...60..293H,uncertainty,1.465   GHz,Broad-band measurement,,Total flux,,From new raw data
179,S(20),6.0,+/-0.6,milliJy,1460000000.0,0.006,0.0006,0.0006,,,+/-6.00E-04,Jy,1984ApJ...285..439U,uncertainty,20        cm,Broad-band measurement,193955.733 -102633.97 (B1950),Flux integrated from map,,From new raw data
180,1.425 GHz (VLA),26.7,,milliJy,1430000000.0,0.0267,,,,,,Jy,1996ApJS..103...81C,no uncertainty reported,1.425   GHz,Broad-band measurement,193955.2 -102634 (B1950),Total flux,"Beamwidth = 18""",From new raw data
181,1.425 GHz (VLA),4.3,,milliJy,1430000000.0,0.0043,,,,,,Jy,1996ApJS..103...81C,no uncertainty reported,1.425   GHz,Broad-band measurement,193955.8 -102634 (B1950),Flux integrated from map,"Beamwidth = 6""",From new raw data
182,1.425 GHz (VLA),5.0,,milliJy,1430000000.0,0.005,,,,,,Jy,1996ApJS..103...81C,no uncertainty reported,1.425   GHz,Broad-band measurement,193955.7 -102635 (B1950),Peak flux,"Beamwidth = 18""",From new raw data
183,HI (21 cm line),13.52,+/-0.00,m_21 mag,1420000000.0,171000.0,,,,,+/-...,Jy-Hz,1991RC3.9.C...0000d,rms uncertainty,21         cm,Line measurement; flux integrated over line; lines measured in emission,193955.8 -102634 (B1950),Multiple methods,m_21 equiv. to S(HI) = 1.706E-21 W m^-2,Homogenized from new and previously published data
184,HI 21 cm line,34.32,,Jy km s^-1^,1420000000.0,162000.0,,,,,,Jy-Hz,2005ApJS..160..149S,no uncertainty reported,1565       km s^-1^,Line measurement; flux integrated over line; lines measured in emission,19 42 40.1 -10 19 28 (J2000),Flux integrated from map,Corrected line flux,From new raw data
185,HI line (Parkes),37.8,,Jy km s^-1^,1420000000.0,178000.0,,,,,,Jy-Hz,2005MNRAS.361...34D,no uncertainty reported,1562.9     km s^-1^,Line measurement; flux integrated over line; lines measured in emission,194241.5 -101912. (J2000),Flux integrated from map,,Averaged from previously published data
