No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (ASCA),6.8e-13,,ergs s^-1^ cm^-2^,1.45e+18,4.69e-08,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,6   keV,Broad-band measurement,194.0527 56.8699 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
2,2-10 keV (ASCA),6.5e-13,,ergs/s/cm^2^,1.45e+18,4.48e-08,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,194.0478 +56.8728 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
3,2-10 keV (XMM),6.06e-13,,erg/cm^2^/s,1.45e+18,4.18e-08,,,,,,Jy,2011A&A...532A..84S,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV (XMM),6e-13,,erg/s/cm^2^,1.45e+18,4.14e-08,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,194.063 +56.871 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,0.5-10 keV BeppoSAX,6.3e-13,,ergs/cm^2^/s,1.27e+18,4.96e-08,,,,,,Jy,2004A&A...420...79B,no uncertainty reported,5.25   keV,Broad-band measurement,,Modelled datum,AGN flux; reflection-dominated model,From new raw data; NED frequency assigned to mid-point ofband in keV
6,0.5-10 keV BeppoSAX,8.2e-13,,ergs/cm^2^/s,1.27e+18,6.46e-08,,,,,,Jy,2004A&A...420...79B,no uncertainty reported,5.25   keV,Broad-band measurement,,Modelled datum,Scattering-dominated model,From new raw data; NED frequency assigned to mid-point ofband in keV
7,0.5-10 keV BeppoSAX,5e-13,,ergs/cm^2^/s,1.27e+18,3.94e-08,,,,,,Jy,2004A&A...420...79B,no uncertainty reported,5.25   keV,Broad-band measurement,,Modelled datum,AGN flux; scattering-dominated model,From new raw data; NED frequency assigned to mid-point ofband in keV
8,0.5-10 keV BeppoSAX,3.2e-13,,ergs/cm^2^/s,1.27e+18,2.52e-08,,,,,,Jy,2004A&A...420...79B,no uncertainty reported,5.25   keV,Broad-band measurement,,Modelled datum,Sbrst flux; scattering-dominated model,From new raw data; NED frequency assigned to mid-point ofband in keV
9,0.5-10 keV BeppoSAX,1.6e-13,,ergs/cm^2^/s,1.27e+18,1.26e-08,,,,,,Jy,2004A&A...420...79B,no uncertainty reported,5.25   keV,Broad-band measurement,,Modelled datum,Sbrst flux; reflection-dominated model,From new raw data; NED frequency assigned to mid-point ofband in keV
10,0.5-10 keV BeppoSAX,7.9e-13,,ergs/cm^2^/s,1.27e+18,6.22e-08,,,,,,Jy,2004A&A...420...79B,no uncertainty reported,5.25   keV,Broad-band measurement,,Modelled datum,Reflection-dominated model,From new raw data; NED frequency assigned to mid-point ofband in keV
11,2-7 keV (Chandra),4e-13,,erg/s/cm^2^,1.09e+18,3.67e-08,,,,,,Jy,2011A&A...529A.106I,no uncertainty reported,4.50 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
12,0.3-8 keV (Chandra),3.7e-13,,erg/cm^2^/s,1e+18,3.7e-08,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
13,0.7-7 keV (ASCA),5e-13,,ergs s^-1^ cm^-2^,9.31e+17,5.37e-08,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,3.85   keV,Broad-band measurement,194.0527 56.8699 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
14,0.7-7 keV (ASCA),4.9e-13,,ergs/s/cm^2^,9.31e+17,5.26e-08,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,3.85 keV,Broad-band measurement,194.0478 +56.8728 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
15,0.7-2 keV (ASCA),9e-14,,ergs s^-1^ cm^-2^,3.26e+17,2.76e-08,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,1.35   keV,Broad-band measurement,194.0527 56.8699 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
16,0.7-2 keV (ASCA),9e-14,,ergs/s/cm^2^,3.26e+17,2.76e-08,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,1.35 keV,Broad-band measurement,194.0478 +56.8728 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
17,0.2-2.4 keV (ROSAT),30.9,,nJy,3.15e+17,3.09e-08,,,,,,Jy,1996MNRAS.278.1049R,no uncertainty reported,1.3        keV,Broad-band measurement; synthetic band,125614.24 +565225.13 (J2000),Flux integrated from map,,From new raw data
18,0.1-2.4 keV (ROSAT),2.1e-13,+/-0.12E-12,erg/cm^2^/s,3.02e+17,6.95e-08,3.97e-08,3.97e-08,,,+/-3.97E-08,Jy,2007A&A...476..759B,statistical error,1.25 keV,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
19,0.5-2 keV (Chandra),9.5e-14,,erg/s/cm^2^,3.02e+17,3.15e-08,,,,,,Jy,2011A&A...529A.106I,no uncertainty reported,1.25 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
20,0.5-2 keV (XMM),9.9e-14,,erg/cm^2^/s,3.02e+17,3.28e-08,,,,,,Jy,2011A&A...532A..84S,no uncertainty reported,1.25 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
21,F330W (HST/ACS),14.54,,mag,908000000000000.0,0.00555,,,,,,Jy,2007AJ....134..648M,no uncertainty reported,3300   A,Broad-band measurement,,Flux in fixed aperture,"0.3"" radius aperture",From reprocessed raw data
22,F330W (HST/ACS),14.18,,mag,908000000000000.0,0.00773,,,,,,Jy,2007AJ....134..648M,no uncertainty reported,3300   A,Broad-band measurement,,Flux in fixed aperture,"4.59"" radius aperture",From reprocessed raw data
23,F330W (HST/ACS),14.43,,mag,908000000000000.0,0.00614,,,,,,Jy,2007AJ....134..648M,no uncertainty reported,3300   A,Broad-band measurement,,Flux in fixed aperture,"1"" radius aperture",From reprocessed raw data
24,u (SDSS PSF) AB,15.165,+/-0.016,asinh mag,836000000000000.0,0.00324,4.77e-05,4.77e-05,,,+/-4.77E-05,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,194.0592955525 56.8736997947 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; DEBLENDED_AS_PSF - child object is unresolved; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
25,U (Total),14.1,+/-0.2,mag,819000000000000.0,0.00415,0.000839,0.000839,,,+/-8.39E-04,Jy,2000AJ....120..604S,rms uncertainty,3660       A,Broad-band measurement,125614.2 +565226.1 (J2000),Flux integrated from map,,From new raw data
26,U (U_T^0),14.02,,mag,819000000000000.0,0.00446,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,3660       A,Broad-band measurement,125405.0 +57 837 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
27,U (U_T),14.54,+/-0.17,mag,819000000000000.0,0.00277,0.000477,0.000477,,,+/-4.77E-04,Jy,1991RC3.9.C...0000d,rms uncertainty,3660       A,Broad-band measurement,125405.0 +57 837 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
28,m_p,14.1,+/-0.4,mag,681000000000000.0,0.00976,0.00435,0.00435,,,+/-4.35E-03,Jy,1968CGCG4.C...0000Z,rms noise,4400       A,Broad-band measurement,125400.0 +570900. (B1950),Estimated by eye,,From new raw data
29,B (Total),13.8,+/-0.2,mag,681000000000000.0,0.0129,0.0026,0.0026,,,+/-2.60E-03,Jy,2000AJ....120..604S,rms uncertainty,4400       A,Broad-band measurement,125614.2 +565226.1 (J2000),Flux integrated from map,,From new raw data; Standard Johnson UBVRI filters assumed
30,B (m_B),14.04,+/-0.18,mag,681000000000000.0,0.0103,0.00186,0.00186,,,+/-1.86E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,125405.0 +57 837 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
31,B (B_T),14.41,+/-0.17,mag,681000000000000.0,0.00734,0.00124,0.00124,,,+/-1.24E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,125405.0 +57 837 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
32,B (B_T^0),13.97,,mag,681000000000000.0,0.011,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,125405.0 +57 837 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
33,J_pg,13.4,+/-0.3,mag,641000000000000.0,0.0172,0.00476,0.00476,,,+/-4.76E-03,Jy,2007ApJS..170...33P,estimated error,4680   A,Broad-band measurement,12 56 13.97 +56 52 24. (J2000),Flux in fixed aperture,Isophotal mag,From reprocessed raw data
34,g (SDSS PSF) AB,13.974,+/-0.014,asinh mag,617000000000000.0,0.00934,0.00012,0.00012,,,+/-1.20E-04,Jy,2007SDSS6.C...0000:,based on count statistics only,4858       A,Broad-band measurement,194.0592955525 56.8736997947 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; COSMIC_RAY - contains a cosmic ray pixel; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; DEBLENDED_AS_PSF - child object is unresolved; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
35,V (V_T^0),13.28,,mag,542000000000000.0,0.0178,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,125405.0 +57 837 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
36,V (V_T),13.61,+/-0.17,mag,542000000000000.0,0.0131,0.00222,0.00222,,,+/-2.22E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,125405.0 +57 837 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
37,r (SDSS PSF) AB,14.978,+/-0.014,asinh mag,477000000000000.0,0.00371,4.78e-05,4.78e-05,,,+/-4.78E-05,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,194.0592955525 56.8736997947 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; COSMIC_RAY - contains a cosmic ray pixel; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; SATUR - object contains saturated pixels; DEBLENDED_AS_PSF - child object is unresolved; BINNED1 - detected at >=5 sigma in original imaging frame; SATUR_CENTER - object's center is saturated; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r); NOTCHECKED_CENTER - object's center has pixels not checked for peaks;,From new raw data
38,F_pg,12.9,+/-0.3,mag,468000000000000.0,0.0213,0.00589,0.00589,,,+/-5.89E-03,Jy,2007ApJS..170...33P,estimated error,6400   A,Broad-band measurement,12 56 13.97 +56 52 24. (J2000),Flux in fixed aperture,Isophotal mag,From reprocessed raw data
