No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
50,K_s,10.028,+/-0.041,mag,138000000000000.0,0.065,0.0025,0.0025,,,+/-2.50E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,045558.96 -753228.2 (J2000),Flux in fixed aperture,,From new raw data
51,K_s,10.188,+/-0.043,mag,138000000000000.0,0.0561,0.00227,0.00227,,,+/-2.27E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,045558.96 -753228.2 (J2000),Flux in fixed aperture,46.4 x   38.0 arcsec integration area.,From new raw data; Corrected for contaminating sources
52,K (ESO/SPM),36.1,+/-2.40,milliJy,137000000000000.0,0.0361,0.0024,0.0024,,,+/-2.40E-03,Jy,1995ApJ...453..616S,rms uncertainty,2.194      microns,Broad-band measurement,045735.7 -753706 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
53,W1 (WISE),9.637,+/-0.023,mag,89400000000000.0,0.0432,0.000916,0.000916,,,+/-9.16E-04,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data; Uncorrected for known sources in beam
54,W1 (WISE),9.667,+/-0.005,mag,89400000000000.0,0.0421,0.000194,0.000194,,,+/-1.94E-04,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
55,W1 (WISE),9.469,+/-0.006,mag,89400000000000.0,0.0505,0.000279,0.000279,,,+/-2.79E-04,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
56,3.6 microns (IRAC),9.4,+/-0.09,mag,84400000000000.0,0.0488,0.00405,0.00405,,,+/-4.05E-03,Jy,2010ApJS..187..172G,uncertainty,3.550 microns,Broad-band measurement,04 55 58.88 -75 32 28.4 (J2000),Flux in fixed aperture,,From new raw data
57,4.5 microns (IRAC),42207.0,+/-4.3968E+01,microJy,66700000000000.0,0.0422,4.4e-05,4.4e-05,,,+/-4.40E-05,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
58,4.5 microns (IRAC),55254.0,+/-4.5132E+01,microJy,66700000000000.0,0.0553,4.51e-05,4.51e-05,,,+/-4.51E-05,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
59,4.5 microns (IRAC),8.69,+/-0.08,mag,66700000000000.0,0.0601,0.00443,0.00443,,,+/-4.43E-03,Jy,2010ApJS..187..172G,uncertainty,4.493 microns,Broad-band measurement,04 55 58.88 -75 32 28.4 (J2000),Flux in fixed aperture,,From new raw data
60,W2 (WISE),8.697,+/-0.02,mag,65100000000000.0,0.057,0.00105,0.00105,,,+/-1.05E-03,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
61,W2 (WISE),8.719,+/-0.005,mag,65100000000000.0,0.0559,0.000257,0.000257,,,+/-2.57E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
62,W2 (WISE),8.647,+/-0.006,mag,65100000000000.0,0.0597,0.00033,0.00033,,,+/-3.30E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
63,5.5 microns (IRS),0.0898,+/-1.84E-02,Jy,54500000000000.0,0.0898,0.0184,0.0184,,,+/-1.84E-02,Jy,2009ApJ...705...14D,uncertainty,5.5 microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
64,5.8 microns (IRAC),76677.0,+/-1.4303E+02,microJy,52300000000000.0,0.0767,0.000143,0.000143,,,+/-1.43E-04,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
65,5.8 microns (IRAC),65563.0,+/-1.5334E+02,microJy,52300000000000.0,0.0656,0.000153,0.000153,,,+/-1.53E-04,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
