No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
146,[Ne V] 24.32 (IRS),,<1.1E-17,W/m^2^,12300000000000.0,,,,1100000000.0,,<1.10E+09,Jy-Hz,2012ApJ...747...95G,2 sigma,24.32 microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.4 +12 17 24.2 (J2000),From fitting to map,,From new raw data
147,25 microns (Spitzer),0.523,,Jy,12000000000000.0,0.523,,,,,,Jy,2011ApJ...730...19S,no uncertainty reported,25 microns,Broad-band measurement,13 47 33.36 +12 17 24.2 (J2000),Flux in fixed aperture,,From reprocessed raw data
148,25 microns (Spitzer),629.3,,milliJy,12000000000000.0,0.629,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,25 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
149,25 microns (IRAS),621.0,+/-15  %,milliJy,12000000000000.0,0.621,0.0932,0.0932,,,+/-9.32E-02,Jy,1988AJ.....95...26G,typical accuracy,25         microns,Broad-band measurement,,From fitting to map,From coadded survey scans,From new raw data
150,25 microns (IRAS),0.6695,+/-10  %,Jy,12000000000000.0,0.67,0.0143,0.0143,,,+/-1.43E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,134506.3 +123219 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
151,[O IV] 25.89 (IRS),,<5.17E-21,W/cm^2^,11600000000000.0,,,,5170000000.0,,<5.17E+09,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,25.890 microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.3 +12 17 24 (J2000),Flux integrated from map,,From new raw data
152,[O IV] 25.89 (IRS),2.787e-17,+/-5.24E-18,W/m^2^,11600000000000.0,2790000000.0,524000000.0,524000000.0,,,+/-5.24E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
153,[O IV] 25.89 (IRS),2.88e-17,+/-0.25E-17,W/m^2^,11600000000000.0,2880000000.0,250000000.0,250000000.0,,,+/-2.50E+08,Jy-Hz,2012ApJ...747...95G,uncertainty,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.4 +12 17 24.2 (J2000),From fitting to map,,From new raw data
154,[Fe II] 15.99 (IRS),,<1.85E-21,W/cm^2^,11500000000000.0,,,,1850000000.0,,<1.85E+09,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,25.988 microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.3 +12 17 24 (J2000),Flux integrated from map,,From new raw data
155,[Fe II] 25.99 (IRS),,<0.21E-17,W/m^2^,11500000000000.0,,,,210000000.0,,<2.10E+08,Jy-Hz,2012ApJ...747...95G,2 sigma,25.99 microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.4 +12 17 24.2 (J2000),From fitting to map,,From new raw data
156,H_2 S(0) (IRS),2.31e-17,+/-0.13E-17,W/m^2^,10600000000000.0,2310000000.0,130000000.0,130000000.0,,,+/-1.30E+08,Jy-Hz,2012ApJ...747...95G,uncertainty,28.22 microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.4 +12 17 24.2 (J2000),From fitting to map,,From new raw data
157,H_2 S(0) line (IRS),,<4.5E-20,W cm^-2^,10600000000000.0,,,,45000000000.0,,<4.50E+10,Jy-Hz,2006ApJ...648..323H,no uncertainty reported,28.22   microns,Line measurement; flux integrated over line; lines measured in emission,13 47 33.36 +12 17 24.20 (J2000),Flux integrated from map,,From new raw data
158,30 microns (Spitzer),909.1,,milliJy,9990000000000.0,0.909,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,30 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
