No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
44,[S IV] (GeminiS),1.25e-13,+/-2.5E-14,erg/s/cm^2^,28500000000000.0,12500000000.0,2500000000.0,2500000000.0,,,+/-2.50E+09,Jy-Hz,2010ApJ...711..328D,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
45,PAH 11.3 (GeminiS),,<10.1E-14,erg/s/cm^2^,26500000000000.0,,,,10100000000.0,,<1.01E+10,Jy-Hz,2010ApJ...711..328D,2.2 sigma,11.3 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
46,W3 (WISE),5.373,+/-0.006,mag,25900000000000.0,0.225,0.00124,0.00124,,,+/-1.24E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
47,W3 (WISE),5.351,+/-0.006,mag,25900000000000.0,0.229,0.00127,0.00127,,,+/-1.27E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
48,W3 (WISE),5.307,+/-0.014,mag,25900000000000.0,0.239,0.00308,0.00308,,,+/-3.08E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
49,[Ne II] (GeminiS),2.29e-13,+/-4.1E-14,erg/s/cm^2^,23400000000000.0,22900000000.0,4100000000.0,4100000000.0,,,+/-4.10E+09,Jy-Hz,2010ApJ...711..328D,uncertainty,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
50,[Ne II] 12.8 Spitzer,4e-13,,erg/cm^2^/s,23400000000000.0,40000000000.0,,,,,,Jy-Hz,2010ApJ...725.2270P,no uncertainty reported,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,14 57 41.2 -43 07 55 (J2000),From fitting to map,,From reprocessed raw data
51,[Ne V] 14.3 Spitzer,2.5e-13,,erg/cm^2^/s,20900000000000.0,25000000000.0,,,,,,Jy-Hz,2010ApJ...725.2270P,no uncertainty reported,14.32 microns,Line measurement; flux integrated over line; lines measured in emission,14 57 41.2 -43 07 55 (J2000),From fitting to map,,From reprocessed raw data
52,[NeIII] 15.6 Spitzer,4.9e-13,,erg/cm^2^/s,19300000000000.0,49000000000.0,,,,,,Jy-Hz,2010ApJ...725.2270P,no uncertainty reported,15.56 microns,Line measurement; flux integrated over line; lines measured in emission,14 57 41.2 -43 07 55 (J2000),From fitting to map,,From reprocessed raw data
53,W4 (WISE),2.624,+/-0.006,mag,13600000000000.0,0.746,0.00412,0.00412,,,+/-4.12E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
54,W4 (WISE),2.344,+/-0.006,mag,13600000000000.0,0.966,0.00534,0.00534,,,+/-5.34E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
55,W4 (WISE),2.355,+/-0.018,mag,13600000000000.0,0.956,0.0158,0.0158,,,+/-1.58E-02,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
56,24 microns (MIPS),938660.0,+/-4.0811E+02,microJy,12700000000000.0,0.939,0.000408,0.000408,,,+/-4.08E-04,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
57,24 microns (MIPS),923200.0,+/-3.5571E+02,microJy,12700000000000.0,0.923,0.000356,0.000356,,,+/-3.56E-04,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
58,[Ne V] 24.3 Spitzer,2.4e-13,,erg/cm^2^/s,12300000000000.0,24000000000.0,,,,,,Jy-Hz,2010ApJ...725.2270P,no uncertainty reported,24.32 microns,Line measurement; flux integrated over line; lines measured in emission,14 57 41.2 -43 07 55 (J2000),From fitting to map,,From reprocessed raw data
59,[O IV] 25.9 Spitzer,8.5e-13,,erg/cm^2^/s,11600000000000.0,85000000000.0,,,,,,Jy-Hz,2010ApJ...725.2270P,no uncertainty reported,25.89 microns,Line measurement; flux integrated over line; lines measured in emission,14 57 41.2 -43 07 55 (J2000),From fitting to map,,From reprocessed raw data
60,[O I] 63.18 (PACS),8.947e-16,+/-3.01E-17,W/m^2^,4750000000000.0,89500000000.0,3010000000.0,3010000000.0,,,+/-3.01E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,63.18 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
61,[O I] 63.18 (PACS),1.0083e-15,+/-4.95E-17,W/m^2^,4750000000000.0,101000000000.0,4950000000.0,4950000000.0,,,+/-4.95E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,63.18 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
62,[O I] 63.18 (PACS),9.169e-16,+/-9.65E-17,W/m^2^,4750000000000.0,91700000000.0,9650000000.0,9650000000.0,,,+/-9.65E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,63.18 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
63,70 microns (PACS),5.209,+/-0.261,Jy,4280000000000.0,5.21,0.261,0.261,,,+/-2.61E-01,Jy,2014ApJ...794..152M,uncertainty,70 microns,Broad-band measurement,14 57 41.2 -43 07 56 (J2000),Flux in fixed aperture,"14"" aperture",From new raw data; Corrected for contaminating sources
64,[C II] 157.74 (PACS),9.495e-16,+/-1.05E-17,W/m^2^,1900000000000.0,95000000000.0,1050000000.0,1050000000.0,,,+/-1.05E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
65,[C II] 157.74 (PACS),7.114e-16,+/-1.23E-17,W/m^2^,1900000000000.0,71100000000.0,1230000000.0,1230000000.0,,,+/-1.23E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
66,[C II] 157.74 (PACS),1.0222e-15,+/-1.25E-17,W/m^2^,1900000000000.0,102000000000.0,1250000000.0,1250000000.0,,,+/-1.25E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,157.74 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
67,160 microns (PACS),5.011,+/-0.251,Jy,1810000000000.0,5.01,0.251,0.251,,,+/-2.51E-01,Jy,2014ApJ...794..152M,uncertainty,166 microns,Broad-band measurement,14 57 41.2 -43 07 56 (J2000),Flux in fixed aperture,"14"" aperture",From new raw data; Corrected for contaminating sources
68,250 microns (SPIRE),5.663,+/-0.390,Jy,1200000000000.0,5.66,0.39,0.39,,,+/-3.90E-01,Jy,2016MNRAS.456.3335S,uncertainty,250 microns,Broad-band measurement,14 57 41.2 -43 07 56 (J2000),Flux in fixed aperture,Photom likely affected by neighbor,From new raw data
69,350 microns (SPIRE),2.297,+/-0.175,Jy,857000000000.0,2.3,0.175,0.175,,,+/-1.75E-01,Jy,2016MNRAS.456.3335S,uncertainty,350 microns,Broad-band measurement,14 57 41.2 -43 07 56 (J2000),Flux in fixed aperture,Photom likely affected by neighbor,From new raw data
70,500 microns (SPIRE),0.788,+/-0.094,Jy,600000000000.0,0.788,0.094,0.094,,,+/-9.40E-02,Jy,2016MNRAS.456.3335S,uncertainty,500 microns,Broad-band measurement,14 57 41.2 -43 07 56 (J2000),Flux in fixed aperture,Photom likely affected by neighbor,From new raw data
71,1.425 GHz (VLA),143.0,,milliJy,1430000000.0,0.143,,,,,,Jy,1996ApJS..103...81C,no uncertainty reported,1.425   GHz,Broad-band measurement,145424.1 -425553 (B1950),Flux integrated from map,"Beamwidth = 18""",From new raw data
72,843 MHz (SUMSS),245.3,+/-7.5,milliJy,843000000.0,0.245,0.0075,0.0075,,,+/-7.50E-03,Jy,2008SUMSS.2.1.....:,uncertainty,843   MHz,Broad-band measurement,145741.36 -430753.4 (J2000),Flux integrated from map,,From new raw data
73,843 MHz,225.8,+/-6.9,milliJy,843000000.0,0.226,0.0069,0.0069,,,+/-6.90E-03,Jy,2003MNRAS.342.1117M,uncertainty,843   MHz,Broad-band measurement,145741.35 -430753.4 (J2000),Flux integrated from map,,From new raw data
