No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
33,H{beta},3.02e-13,+/-3.0E-14,ergs/s/cm^2^,617000000000000.0,30200000000.0,3000000000.0,3000000000.0,,,+/-3.00E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,4861   A,Line measurement; flux integrated over line; lines measured in emission,08 44 33.9 +34 56 09 (J2000),Total flux,,From new raw data
34,4861 A,3.97e-15,,erg/cm^2^/s/A,617000000000000.0,0.00313,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,4861   A,Broad-band measurement,,Not reported in paper,H {beta} continuum,From new raw data; Extinction-corrected for Milky Way
35,5100 A,3.71e-15,+/-3.8E-16,ergs/cm^2^/s/A,588000000000000.0,0.00322,0.00033,0.00033,,,+/-3.30E-04,Jy,2000ApJ...533..631K,rms uncertainty,5100   A,Broad-band measurement,08 44 33.9 +34 56 09 (J2000),Total flux,,From new raw data
36,5100 A (HST/HRC),2.66e-15,+/-0.54E-15,erg/cm^2^/s/A,588000000000000.0,0.00231,0.000469,0.000469,,,+/-4.69E-04,Jy,2006ApJ...644..133B,uncertainty,5100   A,Broad-band measurement,,Flux in fixed aperture,"Aperture = 10"" x 13""",From new raw data
37,V (XMM),14.54,+/-0.01,mag,573000000000000.0,0.00491,4.52e-05,4.52e-05,,,+/-4.52E-05,Jy,2011MNRAS.412..161G,statistical error,5235 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
38,B (MAGNUM),0.42,+/-0.02,milliJy,549000000000000.0,0.00042,2e-05,2e-05,,,+/-2.00E-05,Jy,2010ApJ...711..461S,uncertainty,0.546 microns,Broad-band measurement,08 47 42.4 +34 45 04 (J2000),Flux in fixed aperture,"8.3"" aperture",From new raw data
39,V (Johnson),16.81,,mag,542000000000000.0,0.000687,,,,,,Jy,2009ApJ...694L.166B,no uncertainty reported,5530 A,Broad-band measurement,,Modelled datum,Bulge magnitude,From new raw data
40,V Johnson (FLWO),14.5,+/-0.053,mag,542000000000000.0,0.00577,0.000282,0.000282,,,+/-2.82E-04,Jy,1994ApJS...95....1E,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data
41,r (SDSS PSF) AB,14.573,+/-0.019,asinh mag,477000000000000.0,0.00538,9.42e-05,9.42e-05,,,+/-9.42E-05,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,131.9269389326 34.7512228940 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; BINNED1 - detected at >=5 sigma in original imaging frame; CANONICAL_BAND - this band was primary (usually r);,From new raw data
42,H{alpha},9.53e-13,+/-6.5E-14,ergs/s/cm^2^,457000000000000.0,95300000000.0,6500000000.0,6500000000.0,,,+/-6.50E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,6563   A,Line measurement; flux integrated over line; lines measured in emission,08 44 33.9 +34 56 09 (J2000),Total flux,,From new raw data
43,R Johnson (FLWO),14.021,+/-0.064,mag,433000000000000.0,0.00712,0.000417,0.000417,,,+/-4.17E-04,Jy,1994ApJS...95....1E,uncertainty,6930   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
44,i (SDSS PSF) AB,14.18,+/-0.012,asinh mag,389000000000000.0,0.00773,8.54e-05,8.54e-05,,,+/-8.54E-05,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,131.9269389326 34.7512228940 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
