No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
178,[O I] 63.18 (PACS),7.114e-16,+/-5.27E-17,W/m^2^,4750000000000.0,71100000000.0,5270000000.0,5270000000.0,,,+/-5.27E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,63.18 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
179,[O I] 63.18 (PACS),7.812e-16,+/-6.36E-17,W/m^2^,4750000000000.0,78100000000.0,6360000000.0,6360000000.0,,,+/-6.36E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,63.18 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
180,[O I] 63.18 (PACS),6.541e-16,+/-4.45E-17,W/m^2^,4750000000000.0,65400000000.0,4450000000.0,4450000000.0,,,+/-4.45E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,63.18 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
181,70 microns (PACS),18.21,+/-0.840,Jy,4280000000000.0,18.2,0.84,0.84,,,+/-8.40E-01,Jy,2017ApJS..229...25C,uncertainty,70 microns,Broad-band measurement,,Total flux,,From new raw data
182,[O III] 88.36 (PACS),1.924e-16,+/-3.58E-17,W/m^2^,3390000000000.0,19200000000.0,3580000000.0,3580000000.0,,,+/-3.58E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central 3x3 array,From new raw data
183,[O III] 88.36 (PACS),1.258e-16,+/-2.38E-17,W/m^2^,3390000000000.0,12600000000.0,2380000000.0,2380000000.0,,,+/-2.38E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from central spaxel,From new raw data
184,[O III] 88.36 (PACS),2.149e-16,+/-5.71E-17,W/m^2^,3390000000000.0,21500000000.0,5710000000.0,5710000000.0,,,+/-5.71E+09,Jy-Hz,2016ApJS..226...19F,uncertainty,88.36 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Flux extracted from full 5x5 array,From new raw data
185,100 microns (IRAS),16.86,+/-0.135,Jy,3000000000000.0,16.9,0.135,0.135,,,+/-1.35E-01,Jy,2003AJ....126.1607S,1 sigma,100   microns,Broad-band measurement,00 11 06.6 -12 06 27 (J2000),Total flux,"Size, Method, Flag codes: UT;see paper",From reprocessed raw data
186,100 microns (IRAS),16.97,+/-0.2,Jy,3000000000000.0,17.0,0.2,0.2,,,+/-2.00E-01,Jy,1989AJ.....98..766S,rms noise,100        microns,Broad-band measurement,000833.4 -122310 (B1950),Integrated from scans,Unresolved with 2.94' beam,From reprocessed raw data
187,100 microns (IRAS),17.16,+/-7   %,Jy,3000000000000.0,17.2,1.2,1.2,,,+/-1.20E+00,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,000833.5 -122308 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
