No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
27,1549 A,3.59e-14,,erg/cm^2^/s/A,1940000000000000.0,0.00288,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,1549.05   A,Broad-band measurement,,Not reported in paper,C IV continuum,From new raw data; Extinction-corrected for Milky Way
28,C IV 1549 (HST),1.64e-13,+/-40  %,ergs/s/cm^2^,1940000000000000.0,16400000000.0,6560000000.0,6560000000.0,,,+/-6.56E+09,Jy-Hz,2007ApJ...666..757S,uncertainty,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Narrow component,From reprocessed raw data
29,C IV 1549 (HST),8.5e-13,,ergs/s/cm^2^,1940000000000000.0,85000000000.0,,,,,,Jy-Hz,2007ApJ...666..757S,no uncertainty reported,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Broad component,From reprocessed raw data
30,NUV (GALEX) AB,16.0991,+/-0.0136782,mag,1290000000000000.0,0.00132,1.66e-05,1.66e-05,,,+/-1.66E-05,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,7.3070597301403 13.267962729545 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
31,NUV (GALEX) AB,16.5251,+/-0.0182852,mag,1290000000000000.0,0.000891,1.5e-05,1.5e-05,,,+/-1.50E-05,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,7.3070597301403 13.267962729545 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
32,2500 A,-25.47,,log(erg/cm^2^/s/Hz),1200000000000000.0,0.00339,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2500   A,Broad-band measurement,00 29 13.8 +13 16 05 (J2000),Flux integrated from map,,Averaged new and previously published data
33,log nu(Hz) 14.95,0.22,+/-0.02,log f_nu (milliJy),891000000000000.0,0.00166,7.82e-05,7.82e-05,,,+/-7.82E-05,Jy,1979ApJ...230...79N,uncertainty,14.95      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
34,log nu(Hz) 14.90,0.35,+/-0.02,log f_nu (milliJy),794000000000000.0,0.00224,0.000106,0.000106,,,+/-1.06E-04,Jy,1979ApJ...230...79N,uncertainty,14.90      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
35,log nu(Hz) 14.85,0.4,+/-0.02,log f_nu (milliJy),708000000000000.0,0.00251,0.000118,0.000118,,,+/-1.18E-04,Jy,1979ApJ...230...79N,uncertainty,14.85      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
36,B Johnson (FLWO),15.677,+/-0.048,mag,681000000000000.0,0.00228,0.000102,0.000102,,,+/-1.02E-04,Jy,1994ApJS...95....1E,uncertainty,4400   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
37,B Johnson (FLWO),15.72,+/-0.081,mag,681000000000000.0,0.0022,0.000163,0.000163,,,+/-1.63E-04,Jy,1994ApJS...95....1E,uncertainty,4400   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
38,B (Johnson),15.253,+/-0.017,mag,681000000000000.0,0.00337,5.28e-05,5.28e-05,,,+/-5.28E-05,Jy,2009AJ....138..845O,rms uncertainty,4400 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
39,B (LCO),14.89,+/-0.11,mag,678000000000000.0,0.00471,0.000478,0.000478,,,+/-4.78E-04,Jy,2011ApJS..193...28P,uncertainty,4419 A,Broad-band measurement,00 29 13.6 +13 16 04 (J2000),Flux in fixed aperture,,From new raw data
40,log nu(Hz) 14.80,0.41,+/-0.02,log f_nu (milliJy),631000000000000.0,0.00257,0.000121,0.000121,,,+/-1.21E-04,Jy,1979ApJ...230...79N,uncertainty,14.80      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
41,4861 A,3.12e-15,,erg/cm^2^/s/A,617000000000000.0,0.00246,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,4861   A,Broad-band measurement,,Not reported in paper,H {beta} continuum,From new raw data; Extinction-corrected for Milky Way
42,H{beta},1.27e-13,+/-1.1E-14,ergs/s/cm^2^,617000000000000.0,12700000000.0,1100000000.0,1100000000.0,,,+/-1.10E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,4861   A,Line measurement; flux integrated over line; lines measured in emission,00 26 38.1 +12 59 30 (J2000),Total flux,,From new raw data
43,H{beta},5e-15,+/-1.3E-15,erg/cm^2^/s,617000000000000.0,500000000.0,130000000.0,130000000.0,,,+/-1.30E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Broad comp;spec fit flag=1; see paper,From reprocessed raw data
44,[O III] 5007,4.95e-14,+/-1.3E-15,erg/cm^2^/s,599000000000000.0,4950000000.0,130000000.0,130000000.0,,,+/-1.30E+08,Jy-Hz,2017ApJ...850...74K,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=1; see paper,From reprocessed raw data
45,5100 A,2.69e-15,+/-4.0E-16,ergs/cm^2^/s/A,588000000000000.0,0.00234,0.000348,0.000348,,,+/-3.48E-04,Jy,2000ApJ...533..631K,rms uncertainty,5100   A,Broad-band measurement,00 26 38.1 +12 59 30 (J2000),Total flux,,From new raw data
46,log nu(Hz) 14.75,0.42,+/-0.02,log f_nu (milliJy),562000000000000.0,0.00263,0.000124,0.000124,,,+/-1.24E-04,Jy,1979ApJ...230...79N,uncertainty,14.75      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
47,V Johnson (FLWO),15.314,+/-0.040,mag,542000000000000.0,0.00273,0.0001,0.0001,,,+/-1.00E-04,Jy,1994ApJS...95....1E,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data
48,V Johnson (FLWO),15.325,+/-0.053,mag,542000000000000.0,0.0027,0.000132,0.000132,,,+/-1.32E-04,Jy,1994ApJS...95....1E,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data
49,V (Johnson),15.17,+/-0.031,mag,542000000000000.0,0.00311,8.89e-05,8.89e-05,,,+/-8.89E-05,Jy,2009AJ....138..845O,rms uncertainty,5530 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
50,V (Johnson),16.23,,mag,542000000000000.0,0.00117,,,,,,Jy,2009ApJ...694L.166B,no uncertainty reported,5530 A,Broad-band measurement,,Modelled datum,Bulge magnitude,From new raw data
51,log nu(Hz) 14.70,0.45,+/-0.02,log f_nu (milliJy),501000000000000.0,0.00282,0.000133,0.000133,,,+/-1.33E-04,Jy,1979ApJ...230...79N,uncertainty,14.70      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
52,R (LCO),14.5,+/-0.08,mag,472000000000000.0,0.00488,0.00036,0.00036,,,+/-3.60E-04,Jy,2011ApJS..193...28P,uncertainty,6352 A,Broad-band measurement,00 29 13.6 +13 16 04 (J2000),Flux in fixed aperture,,From new raw data
53,H{alpha},5.9e-13,+/-5.6E-14,ergs/s/cm^2^,457000000000000.0,59000000000.0,5600000000.0,5600000000.0,,,+/-5.60E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,6563   A,Line measurement; flux integrated over line; lines measured in emission,00 26 38.1 +12 59 30 (J2000),Total flux,,From new raw data
54,log nu(Hz) 14.65,0.53,+/-0.02,log f_nu (milliJy),447000000000000.0,0.00339,0.00016,0.00016,,,+/-1.60E-04,Jy,1979ApJ...230...79N,uncertainty,14.65      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
55,R Johnson (FLWO),15.071,+/-0.043,mag,433000000000000.0,0.00271,0.000108,0.000108,,,+/-1.08E-04,Jy,1994ApJS...95....1E,uncertainty,6930   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
56,R Johnson (FLWO),15.072,+/-0.064,mag,433000000000000.0,0.00271,0.000158,0.000158,,,+/-1.58E-04,Jy,1994ApJS...95....1E,uncertainty,6930   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
57,R (Johnson),14.854,+/-0.002,mag,433000000000000.0,0.00331,6.09e-06,6.09e-06,,,+/-6.09E-06,Jy,2009AJ....138..845O,rms uncertainty,6930 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
58,log nu(Hz) 14.60,0.55,+/-0.02,log f_nu (milliJy),398000000000000.0,0.00355,0.000167,0.000167,,,+/-1.67E-04,Jy,1979ApJ...230...79N,uncertainty,14.60      log nu(Hz),Broad-band measurement,,Flux in fixed aperture,,From new raw data
