No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
138,3.7 microns,1.24,+/-0.06,log milliJy,85700000000000.0,0.0174,0.00224,0.00224,,,+/-2.24E-03,Jy,1987ApJS...63..615N,estimated error,3.5        microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 Nov  8",From new raw data; Standard Caltech JHKL filters assumed
139,3.6 microns (IRAC),17928.0,+/-3.4469E+00,microJy,84400000000000.0,0.0179,3.45e-06,3.45e-06,,,+/-3.45E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
140,3.6 microns (IRAC),17902.0,+/-3.8415E+00,microJy,84400000000000.0,0.0179,3.84e-06,3.84e-06,,,+/-3.84E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
141,3.6 microns (IRAC),19.2,+/-5   %,milliJy,84400000000000.0,0.0192,0.00096,0.00096,,,+/-9.60E-04,Jy,2007ApJ...670..129M,uncertainty,3.550 microns,Broad-band measurement,,Flux in fixed aperture,"12.2"" radius aperture",From reprocessed raw data
142,4.5 microns (IRAC),22614.0,+/-4.2688E+00,microJy,66700000000000.0,0.0226,4.27e-06,4.27e-06,,,+/-4.27E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
143,4.5 microns (IRAC),22174.0,+/-4.7165E+00,microJy,66700000000000.0,0.0222,4.72e-06,4.72e-06,,,+/-4.72E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
144,4.5 microns (IRAC),23.2,+/-5   %,milliJy,66700000000000.0,0.0232,0.00116,0.00116,,,+/-1.16E-03,Jy,2007ApJ...670..129M,uncertainty,4.493 microns,Broad-band measurement,,Flux in fixed aperture,"12.2"" radius aperture",From reprocessed raw data
145,W2 (WISE),9.757,+/-0.020,mag,65200000000000.0,0.0215,0.000396,0.000396,,,+/-3.96E-04,Jy,2014A&A...570A.110Z,uncertainty,4.6 microns,Broad-band measurement,01 59 50.20 +00 23 41.0 (J2000),From fitting to map,,Averaged from previously published data
146,W2 (WISE),9.792,+/-0.019,mag,65100000000000.0,0.0208,0.000364,0.000364,,,+/-3.64E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended;variable,From new raw data
147,W2 (WISE),9.78,+/-0.006,mag,65100000000000.0,0.021,0.000116,0.000116,,,+/-1.16E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended;variable",From new raw data
148,W2 (WISE),9.779,+/-0.006,mag,65100000000000.0,0.0211,0.000116,0.000116,,,+/-1.16E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended;variable",From new raw data; Uncorrected for known sources in beam
149,4.8 microns (ISO),27.0,+/-30  %,milliJy,61700000000000.0,0.027,0.0081,0.0081,,,+/-8.10E-03,Jy,2003A&A...402...87H,uncertainty,4.86       microns,Broad-band measurement,,Flux in fixed aperture,Aperture 23 arcsec,From new raw data
150,H_2 S(7) line (IRS),,<4.6E-20,W cm^-2^,54400000000000.0,,,,46000000000.0,,<4.60E+10,Jy-Hz,2006ApJ...648..323H,no uncertainty reported,5.51   microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.23 +00 23 40.50 (J2000),Flux integrated from map,,From new raw data
151,5.8 microns (IRAC),28169.0,+/-1.1668E+01,microJy,52300000000000.0,0.0282,1.17e-05,1.17e-05,,,+/-1.17E-05,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
152,5.8 microns (IRAC),28205.0,+/-9.7123E+00,microJy,52300000000000.0,0.0282,9.71e-06,9.71e-06,,,+/-9.71E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
153,6 microns (Spitzer),31.6,,milliJy,50000000000000.0,0.0316,,,,,,Jy,2009ApJS..182..628V,no uncertainty reported,6 microns,Broad-band measurement,,Flux integrated from map,From IRS spectra with 3.3% bandpass,From new raw data
154,6 microns (ISO),0.0218,,Jy,50000000000000.0,0.0218,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   microns,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data
155,PAH 6.2 (IRS),1.44e-20,+/-1.8E-21,W/cm^2^,48400000000000.0,14400000000.0,1800000000.0,1800000000.0,,,+/-1.80E+09,Jy-Hz,2004ApJS..154..178A,uncertainty,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
156,PAH 6.2 (Spitzer),1.12e-20,,W/cm^2^,48400000000000.0,11200000000.0,,,,,,Jy-Hz,2011ApJ...730...19S,no uncertainty reported,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.23 +00 23 40.5 (J2000),Total flux,,From reprocessed raw data
157,7.3 microns (ISO),45.0,+/-30  %,milliJy,40300000000000.0,0.045,0.0135,0.0135,,,+/-1.35E-02,Jy,2003A&A...402...87H,uncertainty,7.43       microns,Broad-band measurement,,Flux in fixed aperture,Aperture 52 arcsec,From new raw data
158,[Ne VI] 7.65 (IRS),5.5e-21,+/-0.5E-21,W/cm^2^,39200000000000.0,5500000000.0,500000000.0,500000000.0,,,+/-5.00E+08,Jy-Hz,2004ApJS..154..178A,uncertainty,7.65 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
159,7.7 microns Spitzer,77.9,,milliJy,38900000000000.0,0.0779,,,,,,Jy,2011ApJ...730...19S,no uncertainty reported,7.7 microns,Broad-band measurement,01 59 50.23 +00 23 40.5 (J2000),Flux integrated from map,,From reprocessed raw data
160,PAH 7.7 (IRS),3.2e-20,+/-5E-21,W/cm^2^,38900000000000.0,32000000000.0,5000000000.0,5000000000.0,,,+/-5.00E+09,Jy-Hz,2004ApJS..154..178A,uncertainty,7.7 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Blended with PAH 7.7 line,From new raw data
161,7.7 microns (IRS),6.71e-13,+/-2.44E-13,ergs/s/cm^2^,38900000000000.0,67100000000.0,24400000000.0,24400000000.0,,,+/-2.44E+10,Jy-Hz,2007ApJ...669..841S,uncertainty,7.7 microns,Line measurement; flux integrated over line,,From fitting to map,,From new raw data
162,PAH 7.7 microns IRS,5.93e-20,,W cm^-2^,38900000000000.0,59300000000.0,,,,,,Jy-Hz,2006ApJ...649...79S,no uncertainty reported,7.7   microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
163,8.0 microns (IRAC),47172.0,+/-1.0195E+01,microJy,38100000000000.0,0.0472,1.02e-05,1.02e-05,,,+/-1.02E-05,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
164,8.0 microns (IRAC),45562.0,+/-8.8263E+00,microJy,38100000000000.0,0.0456,8.83e-06,8.83e-06,,,+/-8.83E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
165,8 microns (Spitzer),36.0,+/-5   %,milliJy,37500000000000.0,0.036,0.0018,0.0018,,,+/-1.80E-03,Jy,2009ApJ...698.1682W,typical accuracy,8 microns,Broad-band measurement,01 59 50.21 +00 23 40.6 (J2000),Peak flux,,From reprocessed raw data
166,[Ar III] 8.99 (IRS),7.3e-22,,W/cm^2^,33300000000000.0,730000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,8.991 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data
167,H_2 S(3) line (IRS),7e-22,+/-0.03E-20,W cm^-2^,31000000000000.0,700000000.0,300000000.0,300000000.0,,,+/-3.00E+08,Jy-Hz,2006ApJ...648..323H,uncertainty,9.67   microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.23 +00 23 40.50 (J2000),Flux integrated from map,,From new raw data
168,H_2 S(3) 9.66 (IRS),1.6e-21,+/-0.5E-21,W/cm^2^,31000000000000.0,1600000000.0,500000000.0,500000000.0,,,+/-5.00E+08,Jy-Hz,2004ApJS..154..178A,uncertainty,9.66 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
169,10.1 microns,1.96,+/-0.06,log milliJy,29700000000000.0,0.0912,0.0118,0.0118,,,+/-1.18E-02,Jy,1987ApJS...63..615N,estimated error,10.1       microns,Broad-band measurement,,Flux in fixed aperture,"4"".5 aperture, 1981 Nov  8",From new raw data; Standard Caltech JHKL filters assumed
170,[S IV] 10.51 (IRS),3.06e-21,,W/cm^2^,28500000000000.0,3060000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,10.511 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data
171,[S IV] 10.51 (IRS),3.32e-17,+/-1.67E-18,W/m^2^,28500000000000.0,3320000000.0,167000000.0,167000000.0,,,+/-1.67E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
172,[S IV] 10.51 (IRS),7.9e-21,+/-0.9E-21,W/cm^2^,28500000000000.0,7900000000.0,900000000.0,900000000.0,,,+/-9.00E+08,Jy-Hz,2004ApJS..154..178A,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
173,PAH 11.3 (Spitzer),1.37e-20,,W/cm^2^,26500000000000.0,13700000000.0,,,,,,Jy-Hz,2011ApJ...730...19S,no uncertainty reported,11.3 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.23 +00 23 40.5 (J2000),Total flux,,From reprocessed raw data
174,PAH 11.3 (IRS),4.6e-21,+/-0.8E-21,W/cm^2^,26500000000000.0,4600000000.0,800000000.0,800000000.0,,,+/-8.00E+08,Jy-Hz,2004ApJS..154..178A,uncertainty,11.3 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
175,11.3 microns (IRS),2.44e-13,+/-0.16E-13,ergs/s/cm^2^,26500000000000.0,24400000000.0,1600000000.0,1600000000.0,,,+/-1.60E+09,Jy-Hz,2007ApJ...669..841S,uncertainty,11.3 microns,Line measurement; flux integrated over line,,From fitting to map,,From new raw data
176,W3 (WISE),6.363,+/-0.016,mag,25900000000000.0,0.0903,0.00133,0.00133,,,+/-1.33E-03,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data; Uncorrected for known sources in beam
177,W3 (WISE),6.375,+/-0.006,mag,25900000000000.0,0.0893,0.000493,0.000493,,,+/-4.93E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
178,W3 (WISE),6.495,+/-0.006,mag,25900000000000.0,0.0799,0.000442,0.000442,,,+/-4.42E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
179,W3 (WISE),6.362,+/-0.015,mag,25900000000000.0,0.0903,0.00125,0.00125,,,+/-1.25E-03,Jy,2014A&A...570A.110Z,uncertainty,11.56 microns,Broad-band measurement,01 59 50.20 +00 23 41.0 (J2000),From fitting to map,,Averaged from previously published data
180,11.7 microns Subaru,80.0,,milliJy,25600000000000.0,0.08,,,,,,Jy,2011AJ....141..156I,no uncertainty reported,11.7 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
181,N11.7 (Subaru),101.5,+/-8.2,milliJy,25500000000000.0,0.102,0.0082,0.0082,,,+/-8.20E-03,Jy,2014MNRAS.439.1648A,uncertainty,11.74   microns,Broad-band measurement,029.959167 +00.394722 (J2000),Flux in fixed aperture,Nuclear flux,From reprocessed raw data
182,12.0 microns (ISO),134.0,+/-30  %,milliJy,25200000000000.0,0.134,0.0402,0.0402,,,+/-4.02E-02,Jy,2003A&A...402...87H,uncertainty,11.9       microns,Broad-band measurement,,Flux in fixed aperture,Aperture 52 arcsec,From new raw data
183,12 microns (IRAS),137.0,+/-38.,milliJy,25000000000000.0,0.137,0.038,0.038,,,+/-3.80E-02,Jy,1989ApJ...347...29S,uncertainty,12         microns,Broad-band measurement,,Integrated from scans,From pointed observations,From new raw data
184,12 microns (IRAS),0.1232,+/-31  %,Jy,25000000000000.0,0.123,0.0382,0.0382,,,+/-3.82E-02,Jy,1990IRASF.C...0000M,uncertainty,12        microns,Broad-band measurement,015716.8 +000913 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
185,H_2 S(2) line (IRS),,<1.5E-20,W cm^-2^,24400000000000.0,,,,15000000000.0,,<1.50E+10,Jy-Hz,2006ApJ...648..323H,no uncertainty reported,12.28   microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.23 +00 23 40.50 (J2000),Flux integrated from map,,From new raw data
186,HI 7-6 (IRS),,<0.72E-21,W/cm^2^,24200000000000.0,,,,720000000.0,,<7.20E+08,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,12.368 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data
187,[Ne II] (IRS),5.52e-21,,W cm^-2^,23400000000000.0,5520000000.0,,,,,,Jy-Hz,2006ApJ...649...79S,no uncertainty reported,12.8   microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
188,[Ne II] 12.81 (IRS),5.826e-17,+/-1.42E-18,W/m^2^,23400000000000.0,5830000000.0,142000000.0,142000000.0,,,+/-1.42E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
189,[Ne II] 12.81 (IRS),7.8e-21,+/-0.8E-21,W/cm^2^,23400000000000.0,7800000000.0,800000000.0,800000000.0,,,+/-8.00E+08,Jy-Hz,2004ApJS..154..178A,uncertainty,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
190,[Ne II] 12.81 (IRS),6.15e-21,,W/cm^2^,23400000000000.0,6150000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,12.814 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data
191,[Ne V] (IRS),5.18e-21,,W cm^-2^,21000000000000.0,5180000000.0,,,,,,Jy-Hz,2006ApJ...649...79S,no uncertainty reported,14.3   microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
192,[Ne V] 14.3 (IRS),6.8e-21,+/-0.6E-21,W/cm^2^,21000000000000.0,6800000000.0,600000000.0,600000000.0,,,+/-6.00E+08,Jy-Hz,2004ApJS..154..178A,uncertainty,14.3 microns,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,,From new raw data
193,[Ne V] 14.32 (IRS),5.51e-21,,W/cm^2^,20900000000000.0,5510000000.0,,,,,,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,14.322 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data
194,[Cl II] 14.37 (IRS),,<3.23E-21,W/cm^2^,20900000000000.0,,,,3230000000.0,,<3.23E+09,Jy-Hz,2011ApJS..193...18W,no uncertainty reported,14.369 microns,Line measurement; flux integrated over line; lines measured in emission,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data
195,[Ne V] 14.32 (IRS),4.601e-17,+/-2.39E-18,W/m^2^,20900000000000.0,4600000000.0,239000000.0,239000000.0,,,+/-2.39E+08,Jy-Hz,2011ApJ...740...94D,uncertainty,14.32 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From reprocessed raw data
