No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
58,CO(1-0) (IRAM),3.9,+/-0.7,Jy km/s,115000000000.0,1160000.0,208000.0,208000.0,,,+/-2.08E+05,Jy-Hz,2009AJ....138..262E,uncertainty,115.27 GHz,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,Averaged new and previously published data
59,90 GHz (NRAO),,<75,milliJy,90000000000.0,,,,0.075,,<7.50E-02,Jy,1989ApJS...70..257B,3 sigma,90    GHz,Broad-band measurement,,Not reported in paper,,From new raw data
60,40 GHz (FCRAO),,<212,milliJy,40000000000.0,,,,0.212,,<2.12E-01,Jy,1989ApJS...70..257B,3 sigma,40    GHz,Broad-band measurement,,Not reported in paper,,From new raw data
61,14.9 GHz,1.9,+/-0.39,milliJy,14900000000.0,0.0019,0.00039,0.00039,,,+/-3.90E-04,Jy,1996AJ....111.1431B,uncertainty,14.9       GHz,Broad-band measurement,,Peak flux,,From new raw data
62,14.9 GHz (VLA),1.9,+/-0.22,milliJy,14900000000.0,0.0019,0.00022,0.00022,,,+/-2.20E-04,Jy,1989ApJS...70..257B,rms uncertainty,14.9  GHz,Broad-band measurement,,Peak flux,,From new raw data
63,8.4 GHz (VLBI),3.0,,milliJy,8400000000.0,0.003,,,,,,Jy,2010A&A...520A.113B,no uncertainty reported,8.4 GHz,Broad-band measurement,17 01 24.8980 +51 49 20.380 (J2000),Flux integrated from map,Correlated flux,From new raw data
64,4.89 GHz,5.98,+/-0.44,milliJy,4890000000.0,0.00598,0.00044,0.00044,,,+/-4.40E-04,Jy,1996AJ....111.1431B,uncertainty,4.89       GHz,Broad-band measurement,,Peak flux,,From new raw data
65,4.89 GHz (VLA),5.98,+/-0.24,milliJy,4890000000.0,0.00598,0.00024,0.00024,,,+/-2.40E-04,Jy,1989ApJS...70..257B,rms uncertainty,4.89  GHz,Broad-band measurement,,Peak flux,,From new raw data
66,1.49 GHz,20.0,+/-1.50,milliJy,1490000000.0,0.02,0.0015,0.0015,,,+/-1.50E-03,Jy,1996AJ....111.1431B,uncertainty,1.49       GHz,Broad-band measurement,,Peak flux,,From new raw data
67,1.45 GHz (VLA),20.0,+/-0.7,milliJy,1450000000.0,0.02,0.0007,0.0007,,,+/-7.00E-04,Jy,1989ApJS...70..257B,rms uncertainty,1.45  GHz,Broad-band measurement,,Peak flux,,From new raw data
68,1.4GHz,22.0,+/-0.8,milliJy,1400000000.0,0.022,0.0008,0.0008,,,+/-8.00E-04,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,17 01 24.87 +51 49 20.5 (J2000),Flux integrated from map,,From new raw data
