No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
26,i (SDSS PSF) AB,17.47,+/-0.027,asinh mag,389000000000000.0,0.000373,9.28e-06,9.28e-06,,,+/-9.28E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,217.7236260182 34.9768243080 (J2000),Modelled datum,"SDSS flags: MANYPETRO - more than one Petrosian radius; MANYR90 - more than one 90% radius; BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
27,i (SDSS CModel) AB,16.051,,asinh mag,389000000000000.0,0.00138,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,7706       A,Broad-band measurement,217.7236260182 34.9768243080 (J2000),Modelled datum,"SDSS flags: MANYPETRO - more than one Petrosian radius; MANYR90 - more than one 90% radius; BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
28,i (SDSS Model) AB,16.012,+/-0.004,asinh mag,389000000000000.0,0.00143,5.27e-06,5.27e-06,,,+/-5.27E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,217.7236260182 34.9768243080 (J2000),Modelled datum,"SDSS flags: MANYPETRO - more than one Petrosian radius; MANYR90 - more than one 90% radius; BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
29,z (SDSS CModel) AB,15.809,,asinh mag,325000000000000.0,0.00172,,,,,,Jy,2005SDSS4.C...0000:,no uncertainty reported,9222       A,Broad-band measurement,217.723633 34.976822 (J2000),Modelled datum,"SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
30,z (SDSS Petrosian)AB,15.931,+/-0.016,asinh mag,325000000000000.0,0.00151,2.16e-05,2.16e-05,,,+/-2.16E-05,Jy,2005SDSS4.C...0000:,based on count statistics only,9222       A,Broad-band measurement,217.723633 34.976822 (J2000),Modelled datum,"SDSS Petrosian Radius =    1.38"".         
SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
31,z (SDSS Model) AB,15.827,+/-0.010,asinh mag,325000000000000.0,0.00166,1.46e-05,1.46e-05,,,+/-1.46E-05,Jy,2005SDSS4.C...0000:,based on count statistics only,9222       A,Broad-band measurement,217.723633 34.976822 (J2000),Modelled datum,"SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
32,z (SDSS PSF) AB,17.304,+/-0.021,asinh mag,325000000000000.0,0.000427,8.26e-06,8.26e-06,,,+/-8.26E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,217.7236260182 34.9768243080 (J2000),Modelled datum,"SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
33,z (SDSS PSF) AB,17.304,+/-0.021,asinh mag,325000000000000.0,0.000427,8.15e-06,8.15e-06,,,+/-8.15E-06,Jy,2005SDSS4.C...0000:,based on count statistics only,9222       A,Broad-band measurement,217.723633 34.976822 (J2000),Modelled datum,"SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
34,z (SDSS CModel) AB,15.809,,asinh mag,325000000000000.0,0.00169,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,9222       A,Broad-band measurement,217.7236260182 34.9768243080 (J2000),Modelled datum,"SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
35,z (SDSS Model) AB,15.827,+/-0.010,asinh mag,325000000000000.0,0.00166,1.53e-05,1.53e-05,,,+/-1.53E-05,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,217.7236260182 34.9768243080 (J2000),Modelled datum,"SDSS flags: BAD_RADIAL - some low S/N radial points; INCOMPLETE_PROFILE - Petrosian radius hits edge of frame; TOO_LARGE - very large object, poorly determined sky, or bad deblend; ELLIPFAINT - no isophotal fits performed; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
36,J (2MASS/FLWO),15.059,+/-0.055,mag,243000000000000.0,0.00151,7.65e-05,7.65e-05,,,+/-7.65E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
37,J (2MASS/FLWO),14.771,+/-0.052,mag,243000000000000.0,0.00197,9.43e-05,9.43e-05,,,+/-9.43E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
38,J_14arcsec (2MASS),14.551,+/-0.065,mag,240000000000000.0,0.00241,0.000149,0.000149,,,+/-1.49E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
39,J,14.332,+/-0.081,mag,240000000000000.0,0.00295,0.000228,0.000228,,,+/-2.28E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,,From new raw data
40,J,14.698,+/-0.056,mag,240000000000000.0,0.0021,0.000111,0.000111,,,+/-1.11E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,10.0 x   10.0 arcsec integration area.,From new raw data
41,H,13.97,+/-0.145,mag,182000000000000.0,0.00264,0.000378,0.000378,,,+/-3.78E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,,From new raw data
42,H_14arcsec (2MASS),13.988,+/-0.090,mag,182000000000000.0,0.0026,0.000225,0.000225,,,+/-2.25E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
43,H,14.078,+/-0.070,mag,182000000000000.0,0.00239,0.000159,0.000159,,,+/-1.59E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,10.0 x   10.0 arcsec integration area.,From new raw data
44,H (2MASS/FLWO),14.558,+/-0.073,mag,180000000000000.0,0.00154,0.000103,0.000103,,,+/-1.03E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
45,H (2MASS/FLWO),14.07,+/-0.086,mag,180000000000000.0,0.00241,0.000191,0.000191,,,+/-1.91E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
46,K_s (2MASS/FLWO),13.677,+/-0.045,mag,139000000000000.0,0.00226,9.35e-05,9.35e-05,,,+/-9.35E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
47,K_s (2MASS/FLWO),14.112,+/-0.063,mag,139000000000000.0,0.00151,8.77e-05,8.77e-05,,,+/-8.77E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
48,K_s_14arcsec (2MASS),13.581,+/-0.090,mag,138000000000000.0,0.00246,0.000213,0.000213,,,+/-2.13E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
49,K_s,13.63,+/-0.155,mag,138000000000000.0,0.00236,0.000361,0.000361,,,+/-3.61E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,,From new raw data
50,K_s,13.683,+/-0.071,mag,138000000000000.0,0.00224,0.000152,0.000152,,,+/-1.52E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,143053.65 +345836.5 (J2000),Flux in fixed aperture,10.0 x   10.0 arcsec integration area.,From new raw data
51,W1 (WISE),13.417,+/-0.023,mag,89400000000000.0,0.00133,2.82e-05,2.82e-05,,,+/-2.82E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data; Uncorrected for known sources in beam
52,W1 (WISE),13.343,+/-0.011,mag,89400000000000.0,0.00142,1.44e-05,1.44e-05,,,+/-1.44E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
53,W1 (WISE),13.141,+/-0.017,mag,89400000000000.0,0.00172,2.69e-05,2.69e-05,,,+/-2.69E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
54,3.6 microns (IRAC),1378.1,+/-1.0292E+00,microJy,84400000000000.0,0.00138,1.03e-06,1.03e-06,,,+/-1.03E-06,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
55,3.6 microns (IRAC),1086.1,+/-9.7330E-01,microJy,84400000000000.0,0.00109,9.73e-07,9.73e-07,,,+/-9.73E-07,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
56,4.5 microns (IRAC),1152.7,+/-1.0788E+00,microJy,66700000000000.0,0.00115,1.08e-06,1.08e-06,,,+/-1.08E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
57,4.5 microns (IRAC),1358.5,+/-1.1616E+00,microJy,66700000000000.0,0.00136,1.16e-06,1.16e-06,,,+/-1.16E-06,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
58,W2 (WISE),12.791,+/-0.024,mag,65100000000000.0,0.00131,2.9e-05,2.9e-05,,,+/-2.90E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data; Uncorrected for known sources in beam
59,W2 (WISE),12.772,+/-0.012,mag,65100000000000.0,0.00134,1.48e-05,1.48e-05,,,+/-1.48E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data; Uncorrected for known sources in beam
60,W2 (WISE),12.748,+/-0.021,mag,65100000000000.0,0.00137,2.64e-05,2.64e-05,,,+/-2.64E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
61,5.5 microns Spitzer,1.9,+/-5   %,milliJy,54500000000000.0,0.0019,9.5e-05,9.5e-05,,,+/-9.50E-05,Jy,2009ApJ...693..370W,typical accuracy,5.5 microns,Broad-band measurement,14 30 53.70 +34 58 36.7 (J2000),Flux integrated from map,,From new raw data
62,5.8 microns (IRAC),2118.5,+/-3.2716E+00,microJy,52300000000000.0,0.00212,3.27e-06,3.27e-06,,,+/-3.27E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
63,5.8 microns (IRAC),1990.6,+/-3.3635E+00,microJy,52300000000000.0,0.00199,3.36e-06,3.36e-06,,,+/-3.36E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
64,6 microns (Spitzer),2.4,+/-5   %,milliJy,50000000000000.0,0.0024,0.00012,0.00012,,,+/-1.20E-04,Jy,2007ApJ...671..323H,typical accuracy,6 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
65,6.2 microns Spitzer,3.6e-21,+/-10  %,W/cm^2^,48400000000000.0,3600000000.0,360000000.0,360000000.0,,,+/-3.60E+08,Jy-Hz,2007ApJ...671..323H,typical accuracy,6.2 microns,Line measurement; flux integrated over line; lines measured in emission,,Total flux,,From new raw data
66,8.0 microns (IRAC),6906.3,+/-4.2823E+00,microJy,38100000000000.0,0.00691,4.28e-06,4.28e-06,,,+/-4.28E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
67,8.0 microns (IRAC),6735.0,+/-4.3289E+00,microJy,38100000000000.0,0.00673,4.33e-06,4.33e-06,,,+/-4.33E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
68,[S IV] 10.51 Spitzer,6.1e-22,+/-10  %,W/cm^2^,28500000000000.0,610000000.0,61000000.0,61000000.0,,,+/-6.10E+07,Jy-Hz,2007ApJ...671..323H,typical accuracy,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Total flux,,From new raw data
69,11.3 microns Spitzer,4e-21,+/-10  %,W/cm^2^,26500000000000.0,4000000000.0,400000000.0,400000000.0,,,+/-4.00E+08,Jy-Hz,2007ApJ...671..323H,typical accuracy,11.3 microns,Line measurement; flux integrated over line; lines measured in emission,,Total flux,,From new raw data
70,W3 (WISE),8.423,+/-0.02,mag,25900000000000.0,0.0135,0.000249,0.000249,,,+/-2.49E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
71,W3 (WISE),8.4,+/-0.011,mag,25900000000000.0,0.0138,0.00014,0.00014,,,+/-1.40E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
72,W3 (WISE),8.499,+/-0.014,mag,25900000000000.0,0.0126,0.000163,0.000163,,,+/-1.63E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
73,12 microns (IRAS),,<7.466E-02,Jy,25000000000000.0,,,,0.0747,,<7.47E-02,Jy,1990IRASF.C...0000M,90% confidence,12        microns,Broad-band measurement,142847.7 +351151 (B1950),Flux in fixed aperture,,From new raw data
74,[Ne II] 12.8 Spitzer,6.7e-21,+/-10  %,W/cm^2^,23400000000000.0,6700000000.0,670000000.0,670000000.0,,,+/-6.70E+08,Jy-Hz,2007ApJ...671..323H,typical accuracy,12.81 microns,Line measurement; flux integrated over line; lines measured in emission,,Total flux,,From new raw data
75,15 microns Spitzer,33.5,+/-5   %,milliJy,20000000000000.0,0.0335,0.00168,0.00168,,,+/-1.68E-03,Jy,2009ApJ...693..370W,typical accuracy,15 microns,Broad-band measurement,14 30 53.70 +34 58 36.7 (J2000),Flux integrated from map,,From new raw data
76,W4 (WISE),4.966,+/-0.029,mag,13600000000000.0,0.0863,0.0023,0.0023,,,+/-2.30E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
77,W4 (WISE),4.942,+/-0.013,mag,13600000000000.0,0.0882,0.00106,0.00106,,,+/-1.06E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected",From new raw data; Uncorrected for known sources in beam
78,W4 (WISE),5.237,+/-0.013,mag,13600000000000.0,0.0672,0.000805,0.000805,,,+/-8.05E-04,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
79,24 microns (MIPS),81.6,,milliJy,12700000000000.0,0.0816,,,,,,Jy,2007ApJ...671..323H,no uncertainty reported,23.68 microns,Broad-band measurement,,Flux in fixed aperture,Unresolved source,Averaged from previously published data
80,24 microns (MIPS),80140.0,+/-3.6427E+01,microJy,12700000000000.0,0.0801,3.64e-05,3.64e-05,,,+/-3.64E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
81,24 microns (MIPS),79005.0,+/-2.1544E+01,microJy,12700000000000.0,0.079,2.15e-05,2.15e-05,,,+/-2.15E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
82,25 microns (IRAS),0.1262,+/-28  %,Jy,12000000000000.0,0.126,0.0209,0.0209,,,+/-2.09E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,142847.7 +351151 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
83,60 microns (IRAS),0.2796,+/-14  %,Jy,5000000000000.0,0.28,0.0391,0.0391,,,+/-3.91E-02,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,142847.7 +351151 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
84,70 microns (MIPS),236.0,,milliJy,4200000000000.0,0.236,,,,,,Jy,2007ApJ...671..323H,no uncertainty reported,71.42 microns,Broad-band measurement,,Flux in fixed aperture,Unresolved source,Averaged from previously published data
85,70 microns (MIPS),352462.0,+/-904,microJy,4200000000000.0,0.353,0.000904,0.000904,,,+/-9.04E-04,Jy,2015ApJS..217...17H,uncertainty,71.42 microns,Broad-band measurement,217.723337 +34.976704 (J2000),From fitting to map,PSF flux; SN = 471.7,From new raw data
86,70 microns (MIPS),134300.0,+/-397,microJy,4200000000000.0,0.134,0.000397,0.000397,,,+/-3.97E-04,Jy,2015ApJS..217...17H,uncertainty,71.42 microns,Broad-band measurement,217.723337 +34.976704 (J2000),Flux in fixed aperture,"aper. radius = 18""",From new raw data
87,100 microns (IRAS),,<6.935E-01,Jy,3000000000000.0,,,,0.694,,<6.94E-01,Jy,1990IRASF.C...0000M,90% confidence,100       microns,Broad-band measurement,142847.7 +351151 (B1950),Flux in fixed aperture,,From new raw data
