Main_id RA DEC otype redshift [NeV]/[NeII] [NeV]/[NeII]_err [NeV]/[NeIII] [NeV]/[NeIII]_err [NeIII]/[NeII] [NeIII]/[NeII]_err bayes.agn.fracAGN bayes.agn.fracAGN_err bayes.agn.i bayes.agn.i_err bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err best.reduced_chi_square log.reduced_chi_square
"2C   94" 17.220292429510003 13.33729522217 Sy2 0.059615 0.5128205128205128 0.0812943431354469 0.37735849056603776 0.05836748377170459 1.358974358974359 0.08652562196640158 0.6480681560257449 0.09276326172662115 69.66892251977355 3.624015302277517 1.6657912806480166 0.9789876714495314 30138354591.898685 5099040758.666071 1.2950784566811409 0.11229607905169209
"2C 1883" 349.14663898619995 4.08841586141 Sy2 0.22 nan nan nan nan 0.3215434083601286 0.03199976335108683 0.32208330842877636 0.08324033255971083 60.56433792538642 16.98218961730912 78.94081174225944 12.95918487733214 103980874386.1715 43864297039.03055 1.0612390066809732 0.02581320444162545
"2E  2389" 166.0577547903 76.98283181919 Sy1 0.3115 1.1556064073226544 0.17151303566833198 nan nan nan nan 0.8188987719707819 0.024258975221072464 26.011843998959925 11.071888539354369 32.99957287515418 13.005716016371974 82007440862.93582 69392222513.68936 1.442908260688541 0.15923871976759285
"2E  3648" 245.09091058141 17.60665343366 Sy1 0.55517 nan nan 0.75 nan nan nan 0.7373844941753334 0.09571439256469585 32.20528489575952 9.404682549643882 110.83038756721615 54.366157677823296 96631370793.32745 102566202983.27977 2.3766658631781086 0.37596812830862414
"2E  3648" 245.09091058141 17.60665343366 Sy1 0.55517 1.7878787878787878 0.279439361062646 0.7283950617283951 0.12011916377404842 2.4545454545454546 0.2468333394786096 0.7373844941753334 0.09571439256469585 32.20528489575952 9.404682549643882 110.83038756721615 54.366157677823296 96631370793.32745 102566202983.27977 2.3766658631781086 0.37596812830862414
"2MASS J13000535+1632148" 195.02228295163 16.53743305218 Sy1 0.07993 nan nan nan nan 0.8682634730538922 nan 0.8965686836336649 0.012756600426181958 30.00012232757058 0.06995061014321474 0.32288521124759556 0.3671437943670147 100638928966.24312 23208507814.63596 2.784891277648112 0.44480824495349636
"2MASSI J0918486+211717" 139.7025485953 21.288075035289996 Sy1 0.14903 4.562118126272912 nan 1.7230769230769232 nan 2.6476578411405294 nan 0.8988839720632542 0.013870021401598235 44.20391814907898 14.529180682596715 0.5329401797567834 1.1935901737550823 152823017793.68384 53131442843.11487 0.9454285200616502 -0.024371300786463282
"2MASX J00215355-7910077" 5.47314754327 -79.16889600056 Sy2 0.072724 1.987075928917609 nan 0.8785714285714286 nan 2.261712439418417 nan 0.7225731028018826 0.13549129438776933 69.98328584712858 0.8174880745007991 37.02416983121186 16.963715640098286 19719855704.91828 10148856789.975262 1.1751291876016825 0.07008561331282434
"2MASX J10181928+3722419" 154.58017544017 37.37842791621 Sy2 0.04932 1.9146482122260668 0.46739783580631533 1.129251700680272 0.2385736666800438 1.6955017301038062 0.3688426653048256 0.17895688976450264 0.09590029691063096 67.05922014399198 10.43949271175648 3.6920164753357017 0.5145798193506781 4684816979.63097 924282712.6033785 0.4449460434587791 -0.35169265070191036
"2MASX J14510879+2709272" 222.78651997439997 27.15748964087 Sy1 0.06449 5.266272189349112 nan nan nan nan nan 0.899955362964844 0.0014940994387965115 7.5626569304964075 7.822212659918313 0.15462531197470453 0.31682075857974806 26200318190.297752 11239826484.458948 1.2185272266241656 0.08583523745224399
"2MASX J22041914+0333511" 331.07985144241997 3.56423713312 Sy2 0.0611 1.4 nan 0.5907801418439717 nan 2.369747899159664 nan 0.8034772342919497 0.05764760918306174 63.27370956183844 5.131987731592176 8.406223998670196 3.510156460305732 25023754285.502865 8748674592.276484 1.3187962121295964 0.12017769108441771
"3C 234.0" 150.45634473807 28.7858176354 Sy1 0.18494 4.125 1.3524428130239001 0.4024390243902439 0.09201936826462354 10.25 2.7077723778043086 0.7969805426542415 0.05517300476229385 30.056888079145082 1.5074106647679544 35.86713622751423 11.281488739406168 88100575855.77481 32579238962.71051 1.985865933800802 0.2979499258432289
"3C 234.0" 150.45634473807 28.7858176354 Sy1 0.18494 nan nan 0.6911764705882353 0.100914932142928 nan nan 0.7969805426542415 0.05517300476229385 30.056888079145082 1.5074106647679544 35.86713622751423 11.281488739406168 88100575855.77481 32579238962.71051 1.985865933800802 0.2979499258432289
"7C 1821+6419" 275.4883876131 64.34339480891 Sy1 0.297 1.8472727272727272 0.15141003725431723 0.48846153846153845 0.02311472217491531 3.7818181818181817 0.31056886962893887 0.6915592854364581 0.11269035291407396 33.40082195370531 10.102853041982137 489.74909023323397 166.51602998912847 245212945616.7012 240727355723.95312 2.0802254795831856 0.3181104115163454
"ESO  12-21" 10.19198817425 -79.24003722924 Sy1 0.033396756044708376 0.2658333333333333 nan 0.4968847352024922 nan 0.535 nan 0.21508369490617207 0.03860409079268917 28.656096724735818 16.950601102446953 4.828426087670747 3.564445634025986 46391431187.28613 18019007276.98409 1.8345684956900046 0.2635339312704195
"ESO  33-2" 73.99551422113 -75.54118678611 Sy2 0.018426 nan nan 0.6666666666666666 0.10015420209622192 nan nan 0.7014976803654287 0.014646780742315464 30.036269068283154 1.2039299340124687 0.1478728210536548 0.06573710749051094 20133164226.932953 3421433365.4844065 0.8947834189538039 -0.04828207232192938
